Authors	records	% of 4438
BROWDER FE	33	0.744
ERDOS P	27	0.608
BERGER MS	16	0.361
STEIN EM	15	0.338
AUSLANDER L	14	0.315
CAPPELL SE	13	0.293
SHANESON JL	13	0.293
BAUMSLAG G	11	0.248
MARCUS M	11	0.248
GLUCK H	10	0.225
MAZUR B	10	0.225
PETRIE T	10	0.225
SHAH SM	10	0.225
WALSH JL	10	0.225
YOUNGS JWT	10	0.225
ALEXANDERSON GL	9	0.203
BROWDER W	9	0.203
HIRSCH MW	9	0.203
RUDIN W	9	0.203
SARIO L	9	0.203
SIMON B	9	0.203
YORKE JA	9	0.203
BING RH	8	0.180
BREZIS H	8	0.180
CHEN KT	8	0.180
FARRELL FT	8	0.180
KAPLANSKY I	8	0.180
KARLIN S	8	0.180
MOTZKIN T	8	0.180
SMALE S	8	0.180
WALL HS	8	0.180
WEINSTEIN A	8	0.180
WU H	8	0.180
BELLMAN R	7	0.158
BOAS RP	7	0.158
BOREL A	7	0.158
BRAUER R	7	0.158
CESARI L	7	0.158
CONNER PE	7	0.158
DUFFIN RJ	7	0.158
JONES LE	7	0.158
LANG S	7	0.158
MIZEL VJ	7	0.158
POLLARD H	7	0.158
SCHECHTER M	7	0.158
TAMURA T	7	0.158
WALL CTC	7	0.158
WEST JE	7	0.158
WILF HS	7	0.158
ALMGREN FJ	6	0.135
BAER R	6	0.135
BECKENBACH EF	6	0.135
BERS L	6	0.135
BOURGIN DG	6	0.135
BUTZER PL	6	0.135
CARLITZ L	6	0.135
CHEN BY	6	0.135
DECICCO J	6	0.135
DOUGLAS RG	6	0.135
FAITH C	6	0.135
FEFFERMAN C	6	0.135
GERSTEN SM	6	0.135
GOTTSCHALK WH	6	0.135
HELGASON S	6	0.135
HOCHSTER M	6	0.135
HOFMANN KH	6	0.135
HSIANG WY	6	0.135
KOSTANT B	6	0.135
LAX PD	6	0.135
MACKEY GW	6	0.135
MEEKS WH	6	0.135
MOORE RT	6	0.135
MORAWETZ CS	6	0.135
NAKAI M	6	0.135
ROTA GC	6	0.135
RUBEL LA	6	0.135
RUELLE D	6	0.135
SELL GR	6	0.135
SHAPIRO HS	6	0.135
SHUB M	6	0.135
SIU YT	6	0.135
WALLACH NR	6	0.135
WILKINS JE	6	0.135
ANDERSON RD	5	0.113
BASS H	5	0.113
BEALS R	5	0.113
BERGER CA	5	0.113
BIRMAN JS	5	0.113
BROOKS JK	5	0.113
CHACON RV	5	0.113
CHANDRASEKHARAN K	5	0.113
CHERN SS	5	0.113
COBURN LA	5	0.113
CONNELL EH	5	0.113
DEBRANGES L	5	0.113
DRESS A	5	0.113
EISENBUD D	5	0.113
FEDERER H	5	0.113
FLOYD EE	5	0.113
FRIEDLANDER EM	5	0.113
FRIEDMAN A	5	0.113
FURSTENBERG H	5	0.113
GERSTENHABER M	5	0.113
GILBERT RP	5	0.113
GLIMM J	5	0.113
GREENE RE	5	0.113
HANSON DL	5	0.113
HARARY F	5	0.113
HEJHAL DA	5	0.113
HSIANG WC	5	0.113
JONES FB	5	0.113
KAHN PJ	5	0.113
KATZNELSON Y	5	0.113
KENIG CE	5	0.113
KOBAYASHI S	5	0.113
LASHOF R	5	0.113
MAHOWALD M	5	0.113
MARSDEN JE	5	0.113
MAY JP	5	0.113
MCKEAN HP	5	0.113
MILGRAM RJ	5	0.113
MILNOR J	5	0.113
MOSTERT PS	5	0.113
NITSCHE JCC	5	0.113
NIVEN I	5	0.113
PETRYSHYN WV	5	0.113
POENARU V	5	0.113
QUINN F	5	0.113
RALLIS S	5	0.113
RAUCH HE	5	0.113
READE MO	5	0.113
REINER I	5	0.113
RIEGER GJ	5	0.113
SACKS GE	5	0.113
SCHAFER RD	5	0.113
SCHECHTE M	5	0.113
SMALL LW	5	0.113
STRANG G	5	0.113
SUCHESTON L	5	0.113
SULLIVAN D	5	0.113
TAKESAKI M	5	0.113
