Authors	records	% of 641
ZASLAVSKY GM	13	2.028
KANTZ H	8	1.248
KULAGIN NE	7	1.092
NEISHTADT AI	7	1.092
ELEONSKY VM	6	0.936
HOOVER WG	6	0.936
POSCH HA	6	0.936
SCHREIBER T	6	0.936
TRESSER C	6	0.936
URIAS J	6	0.936
ABDULLAEV SS	5	0.780
ARECCHI FT	5	0.780
FOX RF	5	0.780
LERMAN LM	5	0.780
MULLER SC	5	0.780
POJMAN JA	5	0.780
CARROLL TL	4	0.624
COLLINS JJ	4	0.624
CVITANOVIC P	4	0.624
GASPARD P	4	0.624
KAPRAL R	4	0.624
KOROLEV VG	4	0.624
LOWENSTEIN JH	4	0.624
MOSS F	4	0.624
PARMENTER RH	4	0.624
SEVRYUK MB	4	0.624
SHOWALTER K	4	0.624
SPANO ML	4	0.624
TEL T	4	0.624
YU LY	4	0.624
ALFIMOV GL	3	0.468
BALMFORTH NJ	3	0.468
BOHR T	3	0.468
BUNIMOVICH LA	3	0.468
CHERNIKOV AA	3	0.468
CROSS MC	3	0.468
DITTO WL	3	0.468
ELEONSKII VM	3	0.468
ENCISO A	3	0.468
EPSTEIN IR	3	0.468
FRIEDLANDER S	3	0.468
GLASS L	3	0.468
GREBOGI C	3	0.468
GUNARATNE GH	3	0.468
HEGGER R	3	0.468
JALIFE J	3	0.468
JUNG C	3	0.468
LEBOWITZ JL	3	0.468
LIMA R	3	0.468
MACKEY MC	3	0.468
MAINIERI R	3	0.468
MEISS JD	3	0.468
MILLER BN	3	0.468
MOON FC	3	0.468
MOSEKILDE E	3	0.468
NEZLIN MV	3	0.468
NOSZTICZIUS Z	3	0.468
PECORA LM	3	0.468
PIKOVSKY AS	3	0.468
RONDONI L	3	0.468
SALAZAR G	3	0.468
SHIL'NIKOV LP	3	0.468
SWINNEY HL	3	0.468
UEDA Y	3	0.468
UGALDE E	3	0.468
VASILIEV AA	3	0.468
VISHIK MM	3	0.468
WIGGINS S	3	0.468
YAMAGUCHI T	3	0.468
YUDOVICH VI	3	0.468
AFRAIMOVICH VS	2	0.312
ALBANO AM	2	0.312
AMEMIYA T	2	0.312
ARMBRUSTER D	2	0.312
ASTUMIAN RD	2	0.312
AVNIR D	2	0.312
BARANGER M	2	0.312
BELAIR J	2	0.312
BENKADDA S	2	0.312
BERMAN GP	2	0.312
BESTEHORN M	2	0.312
BEUTER A	2	0.312
BOCCALETTI S	2	0.312
BRADLEY E	2	0.312
CAMPBELL DK	2	0.312
CHEN PS	2	0.312
CHERNOV NI	2	0.312
COSENZA MG	2	0.312
