Authors	records	% of 15380
WANG RZ	66	0.429
WANG Y	66	0.429
LI Y	53	0.345
LIN BQ	51	0.332
ZHANG Y	48	0.312
MARECHAL F	47	0.306
DINCER I	45	0.293
KUMAR A	44	0.286
LI J	44	0.286
LEE S	43	0.280
TSATSARONIS G	43	0.280
ZHANG L	39	0.254
KIM J	38	0.247
LIU Y	38	0.247
WANG J	38	0.247
WANG L	38	0.247
CHEN Y	36	0.234
YEH HM	35	0.228
WANG H	34	0.221
ZHANG N	34	0.221
LIU W	33	0.215
ROSEN MA	33	0.215
VALERO A	33	0.215
ZHANG H	33	0.215
DUIC N	32	0.208
JIN HG	32	0.208
LUND H	32	0.208
WANG Q	32	0.208
ZHAO Y	32	0.208
LI Z	31	0.202
ANG BW	29	0.189
MASJUKI HH	29	0.189
ZHANG Q	29	0.189
ZHANG X	29	0.189
ZHAO L	29	0.189
LAZZARETTO A	28	0.182
LI W	28	0.182
LI X	28	0.182
WANG Z	28	0.182
ZHANG XL	28	0.182
ELMEGAARD B	27	0.176
WANG C	27	0.176
ZHANG XS	27	0.176
KIM H	26	0.169
KIM JS	26	0.169
LI ZQ	26	0.169
LIU P	26	0.169
NIKNAM T	26	0.169
WANG K	26	0.169
CHEN WH	25	0.163
DE OLIVEIRA S	25	0.163
FAVRAT D	25	0.163
LI L	25	0.163
LI Q	25	0.163
LIOR N	25	0.163
PENNER SS	25	0.163
WANG XL	25	0.163
YANG L	25	0.163
YANG YP	25	0.163
CHEN J	24	0.156
FENG X	24	0.156
HUANG GH	24	0.156
LEE J	24	0.156
MATHIESEN BV	24	0.156
WANG YF	24	0.156
YANG Y	24	0.156
CHEN JC	23	0.150
LI H	23	0.150
LI XS	23	0.150
LIU C	23	0.150
LIU H	23	0.150
PARK S	23	0.150
SUN FR	23	0.150
VERDA V	23	0.150
WANG X	23	0.150
WORRELL E	23	0.150
ZHU L	23	0.150
ZUBAIR SM	23	0.150
CHEN LG	22	0.143
FLETCHER EA	22	0.143
JOUHARA H	22	0.143
KIM Y	22	0.143
LI YY	22	0.143
LIU J	22	0.143
WANG B	22	0.143
WANG JF	22	0.143
WANG W	22	0.143
ZHANG J	22	0.143
ZHANG YF	22	0.143
CHEN L	21	0.137
CHEN X	21	0.137
IGLESIAS G	21	0.137
KANG YT	21	0.137
LIU X	21	0.137
MOROSUK T	21	0.137
SAXENA SC	21	0.137
SCIUBBA E	21	0.137
STANEK W	21	0.137
WANG JY	21	0.137
YANG J	21	0.137
HABIB MA	20	0.130
JI J	20	0.130
MAHMOUDI SMS	20	0.130
MEHRPOOYA M	20	0.130
OSTERGAARD PA	20	0.130
SOVACOOL BK	20	0.130
WANG XD	20	0.130
WANG XH	20	0.130
YANG HX	20	0.130
YANG Z	20	0.130
ZHANG M	20	0.130
BHATTACHARYA SC	19	0.124
CEN KF	19	0.124
CHEN Q	19	0.124
DAI YJ	19	0.124
KOTOWICZ J	19	0.124
LI YP	19	0.124
LIU JP	19	0.124
LIU M	19	0.124
MITSOS A	19	0.124
STEINFELD A	19	0.124
WANG SF	19	0.124
WOO CK	19	0.124
XU Y	19	0.124
ZHANG B	19	0.124
ZHANG C	19	0.124
HAGLIND F	18	0.117
HIRST E	18	0.117
HUANG YH	18	0.117
JIANG Y	18	0.117
LEE H	18	0.117
LIU ZC	18	0.117
RAKOPOULOS CD	18	0.117
SHU GQ	18	0.117
TIAN H	18	0.117
WANG F	18	0.117
WANG JZ	18	0.117
WU W	18	0.117
YOKOYAMA R	18	0.117
BERNTSSON T	17	0.111
CALISE F	17	0.111
CATALAO JPS	17	0.111
CHEN B	17	0.111
CHENG WL	17	0.111
HARVEY S	17	0.111
KAMADA Y	17	0.111
KIM MH	17	0.111
KODAMA T	17	0.111
LIU JZ	17	0.111
QIN J	17	0.111
SUN J	17	0.111
WAKUI T	17	0.111
WANG LW	17	0.111
XU JL	17	0.111
DAI YP	16	0.104
FERNANDEZ EF	16	0.104
GARG HP	16	0.104
GUSTAVSSON L	16	0.104
HONG H	16	0.104
HUANG Z	16	0.104
KIM D	16	0.104
KIM S	16	0.104
KUMAR R	16	0.104
LI M	16	0.104
LI QA	16	0.104
LI YH	16	0.104
LI YR	16	0.104
MAEDA T	16	0.104
OUYANG MG	16	0.104
PARK J	16	0.104
SCHAEFFER R	16	0.104
SUN L	16	0.104
TIWARI GN	16	0.104
TOFFOLO A	16	0.104
ZHANG P	16	0.104
ZHANG YJ	16	0.104
AMIDPOUR M	15	0.098
ATKINS MJ	15	0.098
CHEN HP	15	0.098
CHEN ZC	15	0.098
GAO L	15	0.098
GAO Y	15	0.098
HAN W	15	0.098
KAISER MJ	15	0.098
KAKARAS E	15	0.098
KIM TS	15	0.098
KLEMES JJ	15	0.098
LEE SH	15	0.098
LI C	15	0.098
LI XY	15	0.098
LI YZ	15	0.098
LIU F	15	0.098
LIU L	15	0.098
QIAN Y	15	0.098
SHI L	15	0.098
SVENDSEN S	15	0.098
TABATABAEI M	15	0.098
ULGIATI S	15	0.098
VANOLI L	15	0.098
VINE EL	15	0.098
WALMSLEY TG	15	0.098
WANG JJ	15	0.098
WANG P	15	0.098
WEI HQ	15	0.098
WU SY	15	0.098
ZHENG ZQ	15	0.098
AGHBASHLO M	14	0.091
ARPORNWICHANOP A	14	0.091
BEJAN A	14	0.091
BLOK K	14	0.091
CHENG CT	14	0.091
CONNOLLY D	14	0.091
COSTA M	14	0.091
DENG S	14	0.091
GE TS	14	0.091
GENG Y	14	0.091
GHOBADIAN B	14	0.091
GUO H	14	0.091
HAN D	14	0.091
LAM JC	14	0.091
LEE KS	14	0.091
LI B	14	0.091
LIU XW	14	0.091
LONG R	14	0.091
MAHLIA TMI	14	0.091
MEYER JP	14	0.091
MOHAMED MH	14	0.091
PARK C	14	0.091
RADERMACHER R	14	0.091
RAFIEE S	14	0.091
SAIDUR R	14	0.091
SAINI RP	14	0.091
SANTARELLI M	14	0.091
SHAMSHIRBAND S	14	0.091
SPLIETHOFF H	14	0.091
TAMAURA Y	14	0.091
VINE E	14	0.091
WANG JL	14	0.091
WANG JX	14	0.091
WANG XY	14	0.091
WANG YJ	14	0.091
YARI M	14	0.091
ZHANG D	14	0.091
ZHANG SL	14	0.091
ZHAO HB	14	0.091
ZHOU P	14	0.091
ZHU QY	14	0.091
ZIEBIK A	14	0.091
ALMONACID F	13	0.085
ANDRESEN GB	13	0.085
ARDEHALI MM	13	0.085
BADESCU V	13	0.085
BOJIC M	13	0.085
CARBALLO R	13	0.085
DUAN LQ	13	0.085
ENSINAS AV	13	0.085
FAN Y	13	0.085
FU L	13	0.085
HARADEN J	13	0.085
KJELSTRUP S	13	0.085
LI G	13	0.085
LI K	13	0.085
LI S	13	0.085
LI YF	13	0.085
LIU S	13	0.085
LU L	13	0.085
MA CF	13	0.085
MA LW	13	0.085
MA YT	13	0.085
MANFRIDA G	13	0.085
OLABI AG	13	0.085
PEI G	13	0.085
SARAY RK	13	0.085
STOPPATO A	13	0.085
SYRI S	13	0.085
TAGHAVIFAR H	13	0.085
TASDEMIROGLU E	13	0.085
WALMSLEY MRW	13	0.085
WANG S	13	0.085
WANG ZY	13	0.085
WU C	13	0.085
ZEVENHOVEN R	13	0.085
