Authors	records	% of 178136
BROWN HC	542	0.304
HOUK KN	479	0.269
TROST BM	474	0.266
GILMAN H	457	0.257
PAQUETTE LA	449	0.252
OLAH GA	428	0.240
ADAMS R	405	0.227
DJERASSI C	398	0.223
COREY EJ	382	0.214
SCHLEYER PV	373	0.209
COTTON FA	340	0.191
BERGMAN RG	338	0.190
MARKS TJ	315	0.177
CRAM DJ	312	0.175
BRUICE TC	307	0.172
RHEINGOLD AL	297	0.167
SOLOMON EI	292	0.164
ROBERTS JD	286	0.161
LIPPARD SJ	277	0.155
GRAY HB	273	0.153
WHITESIDES GM	260	0.146
WOLFROM ML	254	0.143
SCHAEFER HF	250	0.140
WINSTEIN S	250	0.140
FIESER LF	243	0.136
HUDSON CS	243	0.136
TURRO NJ	241	0.135
DEWAR MJS	233	0.131
KOLTHOFF IM	228	0.128
LIU Y	223	0.125
NICOLAOU KC	223	0.125
WANG Y	219	0.123
BARD AJ	215	0.121
HOFFMAN BM	214	0.120
MARVEL CS	211	0.118
COPE AC	210	0.118
HAUSER CR	210	0.118
KOCHI JK	210	0.118
HARTWIG JF	209	0.117
BERSON JA	207	0.116
FUKUZUMI S	202	0.113
HOFFMANN R	200	0.112
HOLM RH	199	0.112
WIBERG KB	195	0.109
BRESLOW R	193	0.108
MISLOW K	193	0.108
DANISHEFSKY SJ	192	0.108
GODDARD WA	191	0.107
ADAM W	189	0.106
INGOLD KU	189	0.106
SCHROCK RR	189	0.106
BUCHWALD SL	186	0.104
FOLKERS K	185	0.104
FUSON RC	185	0.104
MEYER TJ	185	0.104
WEST R	185	0.104
WHITMORE FC	185	0.104
YAMAMOTO Y	182	0.102
ZHANG Y	182	0.102
GRUBBS RH	181	0.102
KANATZIDIS MG	180	0.101
LI J	180	0.101
WANG J	179	0.100
BRAUMAN JI	178	0.100
LEONARD NJ	178	0.100
HUFFMAN JC	177	0.099
HURD CD	177	0.099
REBEK J	177	0.099
YAMAMOTO H	177	0.099
JOHNSON TB	176	0.099
OLMSTEAD MM	176	0.099
NEWMAN MS	175	0.098
MICHL J	172	0.097
WASIELEWSKI MR	172	0.097
BARTLETT PD	171	0.096
MULLEN K	170	0.095
JOHNSON WS	168	0.094
JENCKS WP	167	0.094
DRAGO RS	164	0.092
STORK G	164	0.092
BORDWELL FG	163	0.092
ZHANG J	163	0.092
BOGER DL	159	0.089
GELLMAN SH	159	0.089
TAUBE H	159	0.089
BORDEN WT	156	0.088
CLARDY J	156	0.088
QUE L	156	0.088
BALCH AL	155	0.087
HAMMOND GS	154	0.086
STREITWIESER A	154	0.086
GASSMAN PG	152	0.085
IBERS JA	152	0.085
LIU J	152	0.085
MOROKUMA K	152	0.085
NAKANISHI K	151	0.085
NELSEN SF	151	0.085
MARKER RE	150	0.084
SAVEANT JM	150	0.084
SMITH AB	150	0.084
MCELVAIN SM	149	0.084
SCAIANO JC	148	0.083
STODDART JF	148	0.083
COLLMAN JP	147	0.083
RAPOPORT H	147	0.083
STANG PJ	147	0.083
HAWTHORNE MF	146	0.082
KIM D	146	0.082
NAKAMURA E	146	0.082
BOGERT MT	145	0.081
KIM J	145	0.081
DAUBEN WG	144	0.081
MIRKIN CA	144	0.081
WITKOP B	143	0.080
LI Y	141	0.079
RADOM L	141	0.079
RAYMOND KN	140	0.079
SMYTH CP	140	0.079
HODGSON KO	136	0.076
LEE S	136	0.076
NOYES WA	136	0.076
ANONYMOUS	135	0.076
HAYASHI T	135	0.076
MARTELL AE	135	0.076
SCHULTZ PG	135	0.076
