Authors	records	% of 8837
RICHARDS TW	125	1.415
JOHNSON TB	118	1.335
ADAMS R	116	1.313
BOGERT MT	90	1.018
BAXTER GP	84	0.951
NOYES WA	78	0.883
HUDSON CS	77	0.871
GILMAN H	76	0.860
SHERMAN HC	67	0.758
CONANT JB	62	0.702
REID EE	61	0.690
HARKINS WD	60	0.679
KRAUS CA	60	0.679
ANONYMOUS	53	0.600
JAMES C	53	0.600
KOHLER EP	52	0.588
LEWIS GN	50	0.566
MARVEL CS	48	0.543
LENHER V	47	0.532
GOMBERG M	42	0.475
ORNDORFF WR	42	0.475
DEHN WM	41	0.464
HILDEBRAND JH	40	0.453
WHEELER AS	40	0.453
RANDALL M	39	0.441
WILLARD HH	39	0.441
MAASS O	38	0.430
ADKINS H	36	0.407
NOYES AA	36	0.407
DOX AW	35	0.396
BRAY WC	34	0.385
DENNIS LM	34	0.385
LONG JH	34	0.385
FALK KG	33	0.373
DATTA RL	32	0.362
HEIDELBERGER M	32	0.362
KENDALL J	32	0.362
HARNED HS	31	0.351
JACOBS WA	31	0.351
HIBBERT H	30	0.339
JONES LW	30	0.339
TOLMAN RC	30	0.339
BROWNE AW	29	0.328
SMITH EF	29	0.328
EVANS WL	27	0.306
GORTNER RA	27	0.306
MACINNES DA	27	0.306
NELSON JM	27	0.306
MORGAN R	26	0.294
TAYLOR HS	26	0.294
FOOTE HW	25	0.283
FRY HS	25	0.283
MENZIES AWC	25	0.283
RAIFORD LC	25	0.283
HURD CD	24	0.272
NICOLET BH	24	0.272
SVEDBERG T	24	0.272
BAILEY JR	23	0.260
CLARKE FW	23	0.260
DAINS FB	23	0.260
HILL AJ	23	0.260
LIND SC	23	0.260
LIVINGSTON J	23	0.260
NELSON EK	23	0.260
PEASE RN	23	0.260
SMITH GM	23	0.260
DANIELS F	22	0.249
FORBES GS	22	0.249
HILL AE	22	0.249
JOHNSTON J	22	0.249
MATHEWS JH	22	0.249
MORGAN JLR	22	0.249
WASHBURN EW	22	0.249
CHRISTIANSEN WG	21	0.238
DICKINSON RG	21	0.238
FRANKFORTER GB	21	0.238
HAWK PB	21	0.238
KOBER PA	21	0.238
LAMB AB	21	0.238
RODEBUSH WH	21	0.238
WALTON JH	21	0.238
ACREE SF	20	0.226
JAMIESON GS	20	0.226
LANGMUIR I	20	0.226
LUCAS HJ	20	0.226
MCINTOSH D	20	0.226
CURTMAN LJ	19	0.215
DAVIS TL	19	0.215
HALE WJ	19	0.215
HOWE JL	19	0.215
LATIMER WM	19	0.215
NORRIS JF	19	0.215
ROSANOFF MA	19	0.215
SMITH A	19	0.215
THOMAS AW	19	0.215
ADAMS EQ	18	0.204
EKELEY JB	18	0.204
PRATT DS	18	0.204
RENSHAW RR	18	0.204
SCATCHARD G	18	0.204
STIEGLITZ J	18	0.204
WHITMORE FC	18	0.204
WILLIAMS JW	18	0.204
CLARKE L	17	0.192
EASTMAN ED	17	0.192
KEYES FG	17	0.192
MCELVAIN SM	17	0.192
PAULING L	17	0.192
PORTER CW	17	0.192
BELL JM	16	0.181
BLICKE FF	16	0.181
BRAUNS DH	16	0.181
BRONSTED JN	16	0.181
FRANKLIN EC	16	0.181
POWER FB	16	0.181
VOSBURGH WC	16	0.181
CAROTHERS WH	15	0.170
DERICK CG	15	0.170
FIESER LF	15	0.170
HEYL FW	15	0.170
LACHMAN A	15	0.170
PARR SW	15	0.170
PARSONS CL	15	0.170
SMYTH CP	15	0.170
WITZEMANN EJ	15	0.170
ANDERSON RJ	14	0.158
CALDWELL ML	14	0.158
CAMPBELL ED	14	0.158
CRETCHER LH	14	0.158
EDGAR G	14	0.158
FURMAN NH	14	0.158
HOLMES WC	14	0.158
HULETT GA	14	0.158
JOHNSON FMG	14	0.158
LEWIS WL	14	0.158
MCDERMOTT FA	14	0.158
MCMASTER L	14	0.158
MOORE FJ	14	0.158
SCHLESINGER HI	14	0.158
SHRINER RL	14	0.158
TARTAR HV	14	0.158
TOLMAN LM	14	0.158
TORREY HA	14	0.158
WORRALL DE	14	0.158
BARNEBEY OL	13	0.147
BEATTIE JA	13	0.147
BERGSTROM FW	13	0.147
FUSON RC	13	0.147
HAMILTON CS	13	0.147
HOLMES HN	13	0.147
HOPKINS BS	13	0.147
JONES G	13	0.147
KAMM O	13	0.147
LOWY A	13	0.147
MCBAIN JW	13	0.147
NIERENSTEIN M	13	0.147
PARKS GS	13	0.147
SCHREINER O	13	0.147
TINGLE JB	13	0.147
BACHMANN WE	12	0.136
BARDWELL DC	12	0.136
BASKERVILLE C	12	0.136
BIDDLE HC	12	0.136
BYERS HG	12	0.136
CLARK GL	12	0.136
COOLIDGE AS	12	0.136
FENWICK F	12	0.136
GETMAN FH	12	0.136
GILL AH	12	0.136
GRINDLEY HS	12	0.136
HAHN DA	12	0.136
HUSTON RC	12	0.136
JACOBSON CA	12	0.136
KHARASCH MS	12	0.136
KOLTHOFF IM	12	0.136
LAFORGE FB	12	0.136
LINHART GA	12	0.136
MACK E	12	0.136
MCCOY HN	12	0.136
OSBORNE TB	12	0.136
RICE FO	12	0.136
SMITH LI	12	0.136
YOUNG SW	12	0.136
ZANETTI JE	12	0.136
AVERY S	11	0.124
CAMERON FK	11	0.124
FRAZER JCW	11	0.124
GIAUQUE WF	11	0.124
HENDRIXSON WS	11	0.124
KING CV	11	0.124
KIRNER WR	11	0.124
KISTIAKOWSKY GB	11	0.124
LUTZ RE	11	0.124
MABERY CF	11	0.124
NIEUWLAND JA	11	0.124
RAMSPERGER HC	11	0.124
SMITH GF	11	0.124
TURRENTINE JW	11	0.124
URBAIN G	11	0.124
WHEELER HL	11	0.124
WHITE WP	11	0.124
YODER L	11	0.124
YOUNG P	11	0.124
ANDREWS LW	10	0.113
BRANCH GEK	10	0.113
BRINTON PHMP	10	0.113
BROWN FE	10	0.113
BROWNE CA	10	0.113
CHESNUT VK	10	0.113
DALE JK	10	0.113
DAVIS HS	10	0.113
DOUGHTY HW	10	0.113
DRAKE NL	10	0.113
GIBBS RC	10	0.113
GIBSON GE	10	0.113
GLATTFELD JWE	10	0.113
HANN RM	10	0.113
HILL HS	10	0.113
HUNTER WH	10	0.113
LARSON AT	10	0.113
MACDOUGALL FH	10	0.113
MATHERS FC	10	0.113
MCCAY LW	10	0.113
MILLER EH	10	0.113
NEIDLE M	10	0.113
PATRICK WA	10	0.113
PHILLIPS M	10	0.113
PICCARD J	10	0.113
SCHUETTE HA	10	0.113
SHAPIRO CV	10	0.113
SMITH DF	10	0.113
THATCHER RW	10	0.113
THORPE TE	10	0.113
VENABLE FP	10	0.113
WELLS RC	10	0.113
WITHROW JR	10	0.113
WYCKOFF RWG	10	0.113
ADAMS LH	9	0.102
ALLEN CFH	9	0.102
ARCHIBALD EH	9	0.102
BALKE CW	9	0.102
BARTELL FE	9	0.102
BARTLETT EP	9	0.102
BAUGHMAN WF	9	0.102
BEANS HT	9	0.102
BENTON AF	9	0.102
BRODE WR	9	0.102
BUCK JS	9	0.102
CLARKE HT	9	0.102
COLEMAN GH	9	0.102
FALES HA	9	0.102
GIBBS HD	9	0.102
GILLESPIE LJ	9	0.102
HALL NF	9	0.102
HENDERSON WE	9	0.102
HENDRICKS SB	9	0.102
HIXON RM	9	0.102
HOLM GE	9	0.102
JACKSON CL	9	0.102
JODIDI SL	9	0.102
JONES HC	9	0.102
KENDALL EC	9	0.102
LA MER VK	9	0.102
LANGE NA	9	0.102
LEVENE PA	9	0.102
LUNDELL GEF	9	0.102
NABENHAUER FP	9	0.102
RINKENBACH WH	9	0.102
ROWE AW	9	0.102
SCHUMB WC	9	0.102
SEIDELL A	9	0.102
SHOREY EC	9	0.102
STEWART TD	9	0.102
THORVALDSON T	9	0.102
TOWER OF	9	0.102
UPSON FW	9	0.102
WERTHEIM E	9	0.102
YOST DM	9	0.102
ALDRICH TB	8	0.091
ANDERSON E	8	0.091
ANDERSON WT	8	0.091
BATES SJ	8	0.091
BEAL GD	8	0.091
BENNER RC	8	0.091
BIGELOW LA	8	0.091
BOZORTH RM	8	0.091
BROOKS BT	8	0.091
BURRELL GA	8	0.091
COOK AN	8	0.091
CURTISS RS	8	0.091
DODGE FD	8	0.091
EMMETT PH	8	0.091
FRARY FC	8	0.091
GERKE RH	8	0.091
HART MC	8	0.091
KILPATRICK M	8	0.091
