Authors	records	% of 11621
WANG Y	187	1.609
WANG J	153	1.317
ZHANG J	145	1.248
LIU Y	143	1.231
LI Y	138	1.188
ZHANG Y	131	1.127
LI J	121	1.041
ZHANG L	115	0.990
LIU J	109	0.938
WANG L	104	0.895
ZHANG H	97	0.835
WANG X	90	0.774
YANG J	89	0.766
WANG H	87	0.749
LI C	86	0.740
ZHANG X	86	0.740
LI L	84	0.723
LIU H	83	0.714
YANG Y	82	0.706
CHEN Y	79	0.680
WANG Q	74	0.637
CHEN L	72	0.620
LI X	71	0.611
ZHAO Y	70	0.602
LI YF	67	0.577
WANG C	67	0.577
LI H	66	0.568
LIU Q	65	0.559
CHEN J	64	0.551
ZHANG Q	63	0.542
LI M	61	0.525
WANG XL	60	0.516
KIM J	59	0.508
LEE JH	56	0.482
LIU L	56	0.482
KIM JH	55	0.473
LI F	55	0.473
LIU X	55	0.473
ZHOU Y	54	0.465
JIANG L	53	0.456
KIM H	51	0.439
WANG W	50	0.430
ZHANG C	50	0.430
LEE J	49	0.422
LI W	48	0.413
LU Y	48	0.413
WANG B	48	0.413
YANG L	48	0.413
CHEN S	47	0.404
LI B	47	0.404
LI Z	47	0.404
WANG S	47	0.404
ZHANG B	47	0.404
WANG T	46	0.396
ZHANG M	46	0.396
ZHANG W	46	0.396
WANG XY	45	0.387
WU H	44	0.379
LI N	43	0.370
WANG N	43	0.370
XU J	43	0.370
ZHOU J	43	0.370
HUANG H	42	0.361
LI XY	42	0.361
WANG M	42	0.361
CAO GZ	41	0.353
MANTHIRAM A	41	0.353
ZHANG ZY	41	0.353
HU Y	40	0.344
PARKIN IP	40	0.344
WANG P	40	0.344
ZHANG HM	40	0.344
CHEN G	39	0.336
LI Q	39	0.336
LIU C	39	0.336
YU Y	39	0.336
ZHANG K	39	0.336
ZHANG XY	39	0.336
ZHU J	39	0.336
HUANG W	38	0.327
LEE S	38	0.327
LIU B	38	0.327
LIU HK	38	0.327
WANG K	38	0.327
LI YY	37	0.318
WANG F	37	0.318
ZHANG T	37	0.318
CAO Y	36	0.310
JIN J	36	0.310
LI CZ	36	0.310
LIU F	36	0.310
SHEN PK	36	0.310
SHEN Y	36	0.310
WANG Z	36	0.310
CHEN X	35	0.301
PARK S	35	0.301
WANG ZY	35	0.301
ZHANG F	35	0.301
WANG G	34	0.293
ZHANG S	34	0.293
ZHANG YF	34	0.293
ZHOU W	34	0.293
CHEN Z	33	0.284
LI XH	33	0.284
LU XH	33	0.284
CHEN C	32	0.275
GUO X	32	0.275
LIU W	32	0.275
WANG D	32	0.275
ZHAO DY	32	0.275
DOU SX	31	0.267
HUANG L	31	0.267
HUANG YH	31	0.267
KIM Y	31	0.267
LI XF	31	0.267
LIU P	31	0.267
PENG HS	31	0.267
