Authors	records	% of 66598
WILLIAMS R	101	0.152
MURRAY CJL	91	0.137
PETO R	90	0.135
SHERLOCK S	78	0.117
YUSUF S	75	0.113
COLLINS R	71	0.107
CAMPBELL H	65	0.098
LOPEZ AD	65	0.098
BHUTTA ZA	61	0.092
REMUZZI G	58	0.087
MCKEE M	53	0.080
WRIGHT AE	53	0.080
NAGHAVI M	52	0.078
VOS T	49	0.074
BLACK RE	47	0.071
BLOOM SR	46	0.069
COLEBROOK L	44	0.066
DYKE SC	44	0.066
HALL R	44	0.066
SHIBUYA K	43	0.065
WHITE NJ	43	0.065
ISRAELS MCG	42	0.063
KEITH A	42	0.063
LOZANO R	42	0.063
ROGERS L	42	0.063
GUPTA R	41	0.062
MARSHALL J	41	0.062
WEBER FP	41	0.062
DODDS EC	40	0.060
WEATHERALL DJ	40	0.060
EZZATI M	39	0.059
FARZADFAR F	39	0.059
HALL AJ	39	0.059
MCCANCE RA	39	0.059
BERAL V	38	0.057
RAJU TNK	38	0.057
JONAS JB	37	0.056
KHANG YH	37	0.056
WAKELEY CPG	37	0.056
WILKINSON JF	37	0.056
BONNEY V	36	0.054
DANDONA L	36	0.054
FRASER R	36	0.054
LIM SS	36	0.054
POYNTON FJ	36	0.054
RYLE JA	36	0.054
SALOMON JA	36	0.054
DEGENHARDT L	35	0.053
DUDGEON LS	35	0.053
HAY SI	35	0.053
BROOKE BN	34	0.051
CAMPBELL S	34	0.051
LAWN JE	34	0.051
DOLL R	33	0.050
FINDLAY GM	33	0.050
HOLBOROW EJ	33	0.050
MALEKZADEH R	33	0.050
ANDERSON J	32	0.048
COOPER C	32	0.048
HANKEY GJ	32	0.048
HURST AF	32	0.048
MCINTOSH J	32	0.048
MORRIS JN	32	0.048
OLIVER T	32	0.048
SLEIGHT P	32	0.048
SMITH A	32	0.048
TAYLOR S	32	0.048
DOLLERY CT	31	0.047
GREENWOOD BM	31	0.047
HAMPTON JR	31	0.047
HOFFBRAND AV	31	0.047
LANE WA	31	0.047
MENSAH GA	31	0.047
MOKDAD AH	31	0.047
OLIVER MF	31	0.047
TURNER P	31	0.047
BATTLE WH	30	0.045
CUZICK J	30	0.045
DANDONA R	30	0.045
DHARMARATNE SD	30	0.045
GAKIDOU E	30	0.045
GOLDBERG A	30	0.045
HANDLEY WS	30	0.045
JONES R	30	0.045
MILLER TR	30	0.045
PATTON GC	30	0.045
SEPANLOU SG	30	0.045
TOGNONI G	30	0.045
VICTORA CG	30	0.045
WALTON AJ	30	0.045
WEIDERPASS E	30	0.045
WITTS LJ	30	0.045
ABRAHAMS A	29	0.044
AMMAR W	29	0.044
FLEMING A	29	0.044
FOWKES FGR	29	0.044
HARRIS W	29	0.044
MEADE TW	29	0.044
MEMISH ZA	29	0.044
PHILLIPS MR	29	0.044
RAHMAN M	29	0.044
SMITH GD	29	0.044
SMITH S	29	0.044
TAYLOR J	29	0.044
TYRRELL DAJ	29	0.044
WANG Y	29	0.044
COOKE WT	28	0.042
FORD I	28	0.042
HARB HL	28	0.042
MACKAY IR	28	0.042
SMITH J	28	0.042
ANTONIO CAT	27	0.041
BASU S	27	0.041
BENNETT TI	27	0.041
BOURNE G	27	0.041
CATALA-LOPEZ F	27	0.041
FORREST APM	27	0.041
HAVMOELLER R	27	0.041
HAYWARD JL	27	0.041
HOFMAN A	27	0.041
JULIAN DG	27	0.041
KENGNE AP	27	0.041
KHADER YS	27	0.041
KOSEN S	27	0.041
KUMAR GA	27	0.041
LEVER AF	27	0.041
LOTUFO PA	27	0.041
MOLLISON PL	27	0.041
