Authors	records	% of 16725
LIU Y	148	0.885
ZHANG Y	143	0.855
WANG J	142	0.849
LI J	121	0.723
WANG Y	117	0.700
LI Y	105	0.628
KIM J	96	0.574
ZHANG J	90	0.538
LI L	89	0.532
LIU J	89	0.532
WANG H	80	0.478
ZHANG X	79	0.472
KIM H	78	0.466
WANG L	78	0.466
CHEN Y	76	0.454
LEE J	76	0.454
ZHANG L	73	0.436
KIM S	69	0.413
LEE S	69	0.413
YANG Y	69	0.413
WANG X	64	0.383
LI H	54	0.323
WANG C	54	0.323
ZHANG H	54	0.323
CHEN X	53	0.317
YANG J	52	0.311
LI X	51	0.305
CHEN L	49	0.293
LI C	49	0.293
ZHOU Y	49	0.293
CHEN J	48	0.287
LI M	48	0.287
CUI Y	46	0.275
LIU Z	46	0.275
KIM JH	45	0.269
LIU C	45	0.269
WANG F	45	0.269
HUANG Y	44	0.263
LEE JH	44	0.263
LIU X	44	0.263
WANG S	44	0.263
WANG Z	44	0.263
LI Q	43	0.257
WANG Q	43	0.257
LEE H	42	0.251
ZHANG C	42	0.251
ZHANG Q	42	0.251
KIM K	41	0.245
LI Z	41	0.245
YANG H	41	0.245
YU Y	41	0.245
LI W	40	0.239
LIU L	40	0.239
PARK J	40	0.239
SUN Y	40	0.239
WATANABE K	39	0.233
CHEN C	38	0.227
LEE SH	38	0.227
WU J	38	0.227
YANG L	38	0.227
ZHAO Y	38	0.227
HUANG L	37	0.221
LU J	37	0.221
WU Y	37	0.221
ZHANG P	37	0.221
ZHANG W	37	0.221
KUMAR S	36	0.215
ZHANG S	36	0.215
LI B	35	0.209
LU Y	35	0.209
WANG T	35	0.209
WU H	35	0.209
ZHANG T	35	0.209
ZHAO J	35	0.209
KIM D	34	0.203
LI F	34	0.203
PARK S	34	0.203
TANAKA H	34	0.203
TANIGUCHI T	34	0.203
XU X	34	0.203
YANG F	34	0.203
LEE JS	33	0.197
LIU Q	33	0.197
PARK JH	33	0.197
SHI Y	33	0.197
WANG W	33	0.197
CHEN Z	32	0.191
LEE K	32	0.191
TOKURA Y	32	0.191
ZHENG Y	32	0.191
CHEN H	31	0.185
LIU H	31	0.185
WANG M	31	0.185
ZHU J	31	0.185
CHEN G	30	0.179
CHEN K	30	0.179
CHEN W	30	0.179
JIANG L	30	0.179
KIM M	30	0.179
KIM Y	30	0.179
LI N	30	0.179
ZHANG Z	30	0.179
GAO Y	29	0.173
LEE HJ	29	0.173
WANG B	29	0.173
YAMAMOTO T	29	0.173
ZHANG K	29	0.173
KIM JS	28	0.167
KIMURA T	28	0.167
MA J	28	0.167
WANG D	28	0.167
WANG K	28	0.167
XIE Y	28	0.167
ZHU Y	28	0.167
KIM SJ	27	0.161
LEE Y	27	0.161
LIU B	27	0.161
LIU P	27	0.161
LIU W	27	0.161
LIU YH	27	0.161
TANAKA K	27	0.161
WANG ZL	27	0.161
ZHANG F	27	0.161
CHEN Q	26	0.155
LEE YH	26	0.155
LI G	26	0.155
LIN H	26	0.155
LU L	26	0.155
NAKAMURA T	26	0.155
SATO T	26	0.155
XU L	26	0.155
YANG S	26	0.155
ZHANG B	26	0.155
HE C	25	0.149
WANG P	25	0.149
XU J	25	0.149
YAMAMOTO K	25	0.149
CHEN JJ	24	0.143
HE L	24	0.143
HUANG J	24	0.143
LEE SY	24	0.143
LIU F	24	0.143
WANG HY	24	0.143
WANG JL	24	0.143
WATANABE S	24	0.143
YAN J	24	0.143
ZHANG YF	24	0.143
ZHANG YH	24	0.143
CHEN LQ	23	0.138
CHEN S	23	0.138
KIM DH	23	0.138
LEE C	23	0.138
LEE D	23	0.138
LI K	23	0.138
LI LJ	23	0.138
LI YY	23	0.138
LIU M	23	0.138
SUZUKI Y	23	0.138
WANG XH	23	0.138
WANG YJ	23	0.138
WANG YL	23	0.138
ZHANG ZY	23	0.138
