Authors	records	% of 27665
FINLAND M	81	0.293
CASTLEMAN B	69	0.249
LISTER J	68	0.246
BRAUNWALD E	66	0.239
CURRAN WJ	56	0.202
WILLETT WC	53	0.192
STAMPFER MJ	46	0.166
DAMESHEK W	44	0.159
MUNRO D	44	0.159
HARRIS NL	43	0.155
LOSCALZO J	43	0.155
YUSUF S	43	0.155
ROSEN FS	42	0.152
IGLEHART JK	40	0.145
THOMAS L	40	0.145
WHITE PD	40	0.145
COREY L	38	0.137
BENEDICT EB	37	0.134
DAVIDSON CS	37	0.134
SAINT S	37	0.134
DIAMOND LK	36	0.130
HENNEKENS CH	36	0.130
MARK EJ	36	0.130
SCULLY RE	36	0.130
CALIFF RM	35	0.127
HOLMES KK	35	0.127
MALLORY TB	35	0.127
WEINSTEIN L	35	0.127
CHALMERS TC	34	0.123
CRAWFORD JD	34	0.123
THOMAS ED	34	0.123
WELCH CE	34	0.123
DOWNING JG	33	0.119
JEWETT JF	33	0.119
MANSON JE	33	0.119
SPEIZER FE	33	0.119
BAUER W	32	0.116
COLDITZ GA	32	0.116
FERRUCCI JT	32	0.116
JONES CM	32	0.116
ROSNER B	32	0.116
BARTLETT MK	31	0.112
HIRSH J	31	0.112
MERRILL JP	31	0.112
VIETS HR	31	0.112
AUSTEN KF	30	0.108
GENT M	30	0.108
NATHAN DG	30	0.108
CLUTE HM	29	0.105
DIAZ R	29	0.105
TERASAKI PI	29	0.105
MEIGS JV	28	0.101
MOORE M	28	0.101
SPIRO HM	28	0.101
THORN GW	28	0.101
EPSTEIN AM	27	0.098
EPSTEIN SE	27	0.098
ISSELBACHER KJ	27	0.098
KASS EH	27	0.098
LERMAN J	27	0.098
SHAPIRO S	27	0.098
STORB R	27	0.098
ALLEN AW	26	0.094
GONZALEZ RG	26	0.094
LAHEY FH	26	0.094
MERIGAN TC	26	0.094
MOORE FD	26	0.094
PFEFFER MA	26	0.094
WANG Y	26	0.094
COTTON FJ	25	0.090
HIRSCH MS	25	0.090
ROOT HF	25	0.090
SCHWARTZ WB	25	0.090
SMITH J	25	0.090
INGALLS TH	24	0.087
LEVINE SA	24	0.087
PALMER RS	24	0.087
WARREN R	24	0.087
GORLIN R	23	0.083
LOMBARD HL	23	0.083
SOLOMON SD	23	0.083
TOPOL EJ	23	0.083
ALTSCHULE MD	22	0.080
CASTLEMA B	22	0.080
CHAPMAN EM	22	0.080
COHEN A	22	0.080
EDWARDS EA	22	0.080
GOLDMAN L	22	0.080
JANEWAY CA	22	0.080
JOSLIN EP	22	0.080
LEE KL	22	0.080
MARK DB	22	0.080
MCNEIL BJ	22	0.080
PACKER M	22	0.080
POGUE J	22	0.080
SCANNELL JG	22	0.080
WARREN S	22	0.080
AUSTEN WG	21	0.076
BARNEY JD	21	0.076
BHATT DL	21	0.076
BLENDON RJ	21	0.076
BULLER HR	21	0.076
COLBY FH	21	0.076
GETTING VA	21	0.076
HOMANS J	21	0.076
KLEIN JO	21	0.076
MCMURRAY JJV	21	0.076
OSKI FA	21	0.076
RIDKER PM	21	0.076
ROULEAU JL	21	0.076
SCHRIER RW	21	0.076
SMITHWICK RH	21	0.076
SPRAGUE HB	21	0.076
STEG PG	21	0.076
SWEET RH	21	0.076
TAYLOR GW	21	0.076
ZEUZEM S	21	0.076
ALLEN FH	20	0.072
