Authors	records	% of 1742
CHUA NH	33	1.894
JONES JDG	20	1.148
GOLDBERG RB	18	1.033
VANMONTAGU M	18	1.033
FISCHER RL	16	0.918
KLESSIG DF	15	0.861
NASRALLAH JB	15	0.861
RAIKHEL NV	15	0.861
QUAIL PH	14	0.804
DENG XW	13	0.746
INZE D	13	0.746
NASRALLAH ME	13	0.746
GRUISSEM W	12	0.689
THOMPSON WF	12	0.689
CHORY J	11	0.631
CLARKE AE	11	0.631
DIXON RA	11	0.631
HARADA JJ	11	0.631
WILLMITZER L	11	0.631
BAULCOMBE DC	10	0.574
CHRISPEELS MJ	10	0.574
FERL RJ	10	0.574
GOODMAN HM	10	0.574
HIRT H	10	0.574
MARTIN C	10	0.574
MEYEROWITZ EM	10	0.574
SCHELL J	10	0.574
AUSUBEL FM	9	0.517
DENECKE J	9	0.517
DENNIS ES	9	0.517
FROMMER WB	9	0.517
HAKE S	9	0.517
KAY SA	9	0.517
SCHMIDT RJ	9	0.517
TOBIN EM	9	0.517
BOGRE L	8	0.459
ENGLER G	8	0.459
FELDMANN KA	8	0.459
LARKINS BA	8	0.459
LAST RL	8	0.459
MARKS MD	8	0.459
MOL JNM	8	0.459
PEACOCK WJ	8	0.459
QUATRANO RS	8	0.459
SCHROEDER JI	8	0.459
SHEEN J	8	0.459
TREWAVAS AJ	8	0.459
VANKAMMEN A	8	0.459
VANTUNEN AJ	8	0.459
YANOFSKY MF	8	0.459
ZHU JK	8	0.459
APEL K	7	0.402
BLEECKER AB	7	0.402
CASHMORE AR	7	0.402
FLUHR R	7	0.402
GIRAUDAT J	7	0.402
GUILFOYLE TJ	7	0.402
HARRISON K	7	0.402
HAUGHN GW	7	0.402
MCCARTY DR	7	0.402
MEEKSWAGNER DR	7	0.402
MULLET JE	7	0.402
NIELSEN NC	7	0.402
RYALS J	7	0.402
SHINOZAKI K	7	0.402
STAIGER CJ	7	0.402
STERN DB	7	0.402
UKNES S	7	0.402
WESSLER SR	7	0.402
ANDERSON MA	6	0.344
ANGENENT GC	6	0.344
CHASAN R	6	0.344
COEN ES	6	0.344
CRAWFORD NM	6	0.344
DELLAPENNA D	6	0.344
DICKEY LF	6	0.344
DONG XN	6	0.344
DOONER HK	6	0.344
DUMAS C	6	0.344
FRANKEN J	6	0.344
FURUYA M	6	0.344
GRAY JC	6	0.344
HAGEN G	6	0.344
HAHLBROCK K	6	0.344
HEBERLEBORS E	6	0.344
KLEE HJ	6	0.344
LAM E	6	0.344
LUAN S	6	0.344
MARTIN GB	6	0.344
MATSUOKA M	6	0.344
MESKIENE I	6	0.344
METRAUX JP	6	0.344
ROBERTS K	6	0.344
ROGERS JC	6	0.344
ROTHSTEIN SJ	6	0.344
RYAN CA	6	0.344
WALBOT V	6	0.344
YAMAGUCHI J	6	0.344
YANG ZB	6	0.344
BEACHY RN	5	0.287
BENNETT AB	5	0.287
BISSELING T	5	0.287
BOHNERT HJ	5	0.287
BOSTON RS	5	0.287
BRESSAN RA	5	0.287
BRISSON N	5	0.287
BROWSE J	5	0.287
CABOCHE M	5	0.287
CARRINGTON JC	5	0.287
COUPLAND G	5	0.287
DANGL JL	5	0.287
DANIELS MJ	5	0.287
DEAN C	5	0.287
DEAN RA	5	0.287
ELLIOTT RC	5	0.287
ELLIS JG	5	0.287
FINK GR	5	0.287
FRANKLIN-TONG VE	5	0.287
FUJIOKA S	5	0.287
GALILI G	5	0.287
GHEYSEN G	5	0.287
GORING DR	5	0.287
GROSSMAN AR	5	0.287
HAMER JE	5	0.287
HANLEYBOWDOIN L	5	0.287
HO THD	5	0.287
INNES RW	5	0.287
JOFUKU KD	5	0.287
JONAK C	5	0.287
JONES RL	5	0.287
KANDASAMY MK	5	0.287
KAO TH	5	0.287
LAMB C	5	0.287
LAMB CJ	5	0.287
LANGDALE JA	5	0.287
LARSSON C	5	0.287
LAZAROWITZ SG	5	0.287
LIFSCHITZ E	5	0.287
MA H	5	0.287
MCCORMICK S	5	0.287
MEIER I	5	0.287
NELSON T	5	0.287
NISHIMURA M	5	0.287
OPARKA KJ	5	0.287
SCHAFER E	5	0.287
SCHULZE-LEFERT P	5	0.287
SNUSTAD DP	5	0.287
SONNEWALD U	5	0.287
STASKAWICZ BJ	5	0.287
STIEKEMA WJ	5	0.287
SUSSEX IM	5	0.287
TAKATSUTO S	5	0.287
