Authors	records	% of 52424
LI J	287	0.547
ZHANG J	269	0.513
BANERJEE S	267	0.509
JESSOP CP	264	0.504
FORD WT	262	0.500
HARA K	262	0.500
SMITH JG	262	0.500
TANAKA M	261	0.498
KASS R	260	0.496
KAGAN H	259	0.494
ALAM MS	257	0.490
LEE J	254	0.485
GAN KK	252	0.481
EIGEN G	250	0.477
GLADNEY L	250	0.477
BODEK A	249	0.475
OLSEN J	246	0.469
CASTRO A	245	0.467
HAUSER J	244	0.465
SAKUMOTO WK	243	0.464
WANG CH	243	0.464
AMIDEI D	241	0.460
HONSCHEID K	241	0.460
KONDO K	241	0.460
SLIWA K	240	0.458
BARNETT BA	239	0.456
MUKHERJEE A	239	0.456
CAMPAGNARI C	238	0.454
ERREDE S	237	0.452
NAKANO I	237	0.452
BERETVAS A	236	0.450
BINKLEY M	236	0.450
BISELLO D	236	0.450
GOLD M	236	0.450
HANDLER R	236	0.450
LORETI M	236	0.450
YEH GP	236	0.450
BARNES VE	235	0.448
BLOCKER C	235	0.448
BYRUM KL	235	0.448
CARLSMITH D	235	0.448
CHIARELLI G	235	0.448
CORDELLI M	235	0.448
DEMORTIER L	235	0.448
HABER C	235	0.448
HAHN SR	235	0.448
HARRIS RM	235	0.448
KAMON T	235	0.448
KIRSCH L	235	0.448
LAASANEN AT	235	0.448
NODULMAN L	235	0.448
PATRICK J	235	0.448
PUNZI G	235	0.448
RISTORI L	235	0.448
SCHLABACH P	235	0.448
SCHMIDT EE	235	0.448
SCRIBANO A	235	0.448
SHOCHET M	235	0.448
APOLLINARI G	234	0.446
BELLINGER J	234	0.446
BRANDENBURG G	234	0.446
CAMPBELL M	234	0.446
GARFINKEL AF	234	0.446
GOULIANOS K	234	0.446
PONDROM L	234	0.446
PROUDFOOT J	234	0.446
RIMONDI F	234	0.446
SINERVO P	234	0.446
WAGNER RG	234	0.446
WAGNER RL	234	0.446
WILLIAMS HH	234	0.446
YOH J	234	0.446
BEDESCHI F	233	0.444
BELLETTINI G	233	0.444
GIANNETTI P	233	0.444
KUHLMANN SE	233	0.444
MENZIONE A	233	0.444
PHILLIPS TJ	233	0.444
UKEGAWA F	233	0.444
FRANKLIN M	232	0.443
PATEL PM	232	0.443
SNIDER FD	232	0.443
KEPHART R	230	0.439
VIDAL R	230	0.439
BUDD HS	228	0.435
BACCHETTA N	227	0.433
BORTOLETTO D	227	0.433
BROWDER TE	227	0.433
PAAR HP	227	0.433
TIPTON P	227	0.433
HOCKER A	226	0.431
LONG O	226	0.431
SEIYA Y	226	0.431
DERWENT PF	225	0.429
FOSTER GW	225	0.429
MAESHIMA K	225	0.429
TKACZYK S	225	0.429
BELFORTE S	224	0.427
YOSHIDA T	224	0.427
LEWIS JD	223	0.425
PAPADIMITRIOU V	223	0.425
RICHMAN JD	223	0.425
TAKIKAWA K	223	0.425
WICKLUND AB	223	0.425
WICKLUND E	223	0.425
WINER BL	223	0.425
KIM YK	222	0.423
WESTER WC	222	0.423
ZANETTI A	222	0.423
BAUER G	221	0.422
BUSETTO G	221	0.422
LEONE S	221	0.422
KIM H	220	0.420
KONIGSBERG J	220	0.420
LUKENS P	220	0.420
PAULETTA G	220	0.420
RYD A	220	0.420
TURINI N	220	0.420
MULLER T	219	0.418
ZUCCHELLI S	219	0.418
KIM SH	218	0.416
BENJAMIN D	217	0.414
KINOSHITA K	217	0.414
WILSON P	217	0.414
KATO Y	216	0.412
MCINTYRE P	216	0.412
ROODMAN A	216	0.412
RODRIGO T	215	0.410
COCHRAN J	214	0.408
PTOHOS F	214	0.408
ABE K	212	0.404
PAOLETTI R	212	0.404
LINDGREN M	211	0.402
ZETTI F	211	0.402
LAMMEL S	210	0.401
WU X	208	0.397
WARBURTON A	207	0.395
LUCCHESI D	206	0.393
PERAZZO A	206	0.393
SHARMA V	206	0.393
MARSISKE H	205	0.391
SEIDEL S	205	0.391
SEVERINI H	205	0.391
SUZUKI T	205	0.391
FREY R	204	0.389
KIM DH	204	0.389
LECOMPTE T	203	0.387
MIAO T	203	0.387
ZHANG L	203	0.387
LISS TM	202	0.385
BLAIR RE	201	0.383
GOSHAW AT	201	0.383
MARTIN A	201	0.383
NARSKY I	201	0.383
CHAPMAN J	200	0.382
MISCETTI S	200	0.382
SCHUMM BA	200	0.382
YAGIL A	200	0.382
MILLER R	199	0.380
SCHMIDT MP	199	0.380
WATTS T	199	0.380
ERREDE D	198	0.378
JENSEN H	198	0.378
KIM SB	198	0.378
