Authors	records	% of 4363
GLANZEL W	93	2.132
LEYDESDORFF L	70	1.604
SCHUBERT A	69	1.581
BORNMANN L	59	1.352
ROUSSEAU R	59	1.352
BRAUN T	49	1.123
EGGHE L	48	1.100
THELWALL M	41	0.940
ABRAMO G	34	0.779
D'ANGELO CA	34	0.779
GUAN JC	34	0.779
GUPTA BM	32	0.733
HO YS	32	0.733
HUANG MH	32	0.733
MOED HF	27	0.619
PARK HW	26	0.596
THIJS B	25	0.573
CHEN DZ	23	0.527
LEWISON G	23	0.527
GARG KC	22	0.504
COURTIAL JP	21	0.481
MEYER M	21	0.481
PORTER AL	20	0.458
PRATHAP G	20	0.458
DE MOYA-ANEGON F	19	0.435
VINKLER P	19	0.435
BAR-ILAN J	18	0.413
DEBACKERE K	18	0.413
FDEZ-VALDIVIA J	17	0.390
MARX W	17	0.390
RODRIGUEZ-SANCHEZ R	17	0.390
VAN RAAN AFJ	17	0.390
YU G	17	0.390
KUMAR S	16	0.367
PERSSON O	16	0.367
GARCIA JA	15	0.344
KRETSCHMER H	15	0.344
POURIS A	15	0.344
VANRAAN AFJ	15	0.344
CAMPANARIO JM	14	0.321
DANIEL HD	14	0.321
TSAY MY	14	0.321
WANG XW	14	0.321
HARTLEY J	13	0.298
LETA J	13	0.298
SMALL H	13	0.298
TIJSSEN RJW	13	0.298
ZITT M	13	0.298
BHATTACHARYA S	12	0.275
ETO H	12	0.275
HAUNSCHILD R	12	0.275
LARIVIERE V	12	0.275
NAGPAUL PS	12	0.275
NEDERHOF AJ	12	0.275
ORDUNA-MALEA E	12	0.275
YOON J	12	0.275
ZHANG X	12	0.275
ZHOU P	12	0.275
AGUILLO IF	11	0.252
BORDONS M	11	0.252
CHEN YS	11	0.252
DI COSTA F	11	0.252
GORRAIZ J	11	0.252
HUANG Y	11	0.252
MOYA-ANEGON F	11	0.252
ORTEGA JL	11	0.252
PINTO M	11	0.252
SHAPIRA P	11	0.252
VAN LEEUWEN TN	11	0.252
VAN LOOY B	11	0.252
WANG J	11	0.252
ZHANG J	11	0.252
BURRELL QL	10	0.229
CHINCHILLA-RODRIGUEZ Z	10	0.229
COSTAS R	10	0.229
DING Y	10	0.229
HAITUN SD	10	0.229
KIM K	10	0.229
KOSTOFF RN	10	0.229
LIANG LM	10	0.229
REY-ROCHA J	10	0.229
RUSSELL JM	10	0.229
SOORYAMOORTHY R	10	0.229
SOTUDEH H	10	0.229
TORGLER B	10	0.229
WANG YD	10	0.229
ZHANG L	10	0.229
ZSINDELY S	10	0.229
BONITZ M	9	0.206
DA SILVA JAT	9	0.206
FRANCESCHINI F	9	0.206
GUMPENBERGER C	9	0.206
HARZING AW	9	0.206
INGWERSEN P	9	0.206
KHAN GF	9	0.206
KIM J	9	0.206
MAISANO D	9	0.206
MARTIN BR	9	0.206
MORAVCSIK MJ	9	0.206
SUGIMOTO CR	9	0.206
VAN DEN BESSELAAR P	9	0.206
WRAY KB	9	0.206
YOUTIE J	9	0.206
ZHAO YH	9	0.206
BARRIOS M	8	0.183
BREIMER LH	8	0.183
CABANAC G	8	0.183
DE MARCHI M	8	0.183
FANG H	8	0.183
JANG SL	8	0.183
KARISIDDAPPA CR	8	0.183
LI J	8	0.183
LIU JS	8	0.183
MARKPIN T	8	0.183
OKUBO Y	8	0.183
QIU JP	8	0.183
RONDA-PUPO GA	8	0.183
SOMBATSOMPOP N	8	0.183
SONG M	8	0.183
TODOROV R	8	0.183
WILSON CS	8	0.183
WOLFRAM D	8	0.183
WU YS	8	0.183
YANG SL	8	0.183
YE FY	8	0.183
ZHANG Y	8	0.183
ZHENG J	8	0.183
ZHU DH	8	0.183
ABBASI A	7	0.160
ABT HA	7	0.160
AHLGREN P	7	0.160
ARUNACHALAM S	7	0.160
BORNER K	7	0.160
CHAN HF	7	0.160
CHANG YW	7	0.160
CHEN CM	7	0.160
DOCAMPO D	7	0.160
DORE JC	7	0.160
GOMEZ I	7	0.160
GRUPP H	7	0.160
GUERRERO-BOTE VP	7	0.160
HASSAN SU	7	0.160
JIMENEZ-CONTRERAS E	7	0.160
KRAMPEN G	7	0.160
LANCASTER FW	7	0.160
LIU XZ	7	0.160
LIU Y	7	0.160
LOPEZ-COZAR ED	7	0.160
MENDEZ A	7	0.160
MORILLO F	7	0.160
NARIN F	7	0.160
PERITZ BC	7	0.160
PLAZA LM	7	0.160
PRPIC K	7	0.160
RUIZ-CASTILLO J	7	0.160
SANZ-CASADO E	7	0.160
SCHMOCH U	7	0.160
SCHUBERT T	7	0.160
SENGUPTA IN	7	0.160
TANG L	7	0.160
TORRES-SALINAS D	7	0.160
UZUN A	7	0.160
VAN ECK NJ	7	0.160
VARGAS-QUESADA B	7	0.160
WAGNER CS	7	0.160
WONG CY	7	0.160
WU Q	7	0.160
YAN EJ	7	0.160
YU DR	7	0.160
ADAMS J	6	0.138
ALEIXANDRE-BENAVENT R	6	0.138
AUSLOOS M	6	0.138
BAILON-MORENO R	6	0.138
BASSECOULARD E	6	0.138
BERCHE B	6	0.138
BOSHOFF N	6	0.138
BOUABID H	6	0.138
