Authors	records	% of 784
YUSUF S	6	0.765
COLLINS R	4	0.510
KAMM MA	4	0.510
KEECH A	4	0.510
SMITH A	4	0.510
SMITH GD	4	0.510
ADAMI HO	3	0.383
ANDERSON J	3	0.383
BABIKER A	3	0.383
BARNES PJ	3	0.383
EGGER M	3	0.383
GIBB DM	3	0.383
GREENWOOD B	3	0.383
IRONSIDE JW	3	0.383
KREMSNER PG	3	0.383
LELL B	3	0.383
LOWE B	3	0.383
MACMAHON S	3	0.383
MARSH K	3	0.383
MELBYE M	3	0.383
PETO R	3	0.383
PITT B	3	0.383
RAZAVI B	3	0.383
SLEIGHT P	3	0.383
SMITH J	3	0.383
SMITH M	3	0.383
WILL RG	3	0.383
WILLIAMS D	3	0.383
YOUNG J	3	0.383
ANAND SS	2	0.255
ANDERSEN PK	2	0.255
AXON ATR	2	0.255
BALMER D	2	0.255
BELLOMO R	2	0.255
BERAL V	2	0.255
BLACK RE	2	0.255
BOISSEL JP	2	0.255
BRECHOT C	2	0.255
BREEDVELD FC	2	0.255
BRITTON J	2	0.255
BROWN D	2	0.255
BROWN E	2	0.255
BROWN K	2	0.255
BROWN R	2	0.255
BULLER HR	2	0.255
BURROUGHS AK	2	0.255
CALIFF RM	2	0.255
CAMM AJ	2	0.255
CAMPBELL C	2	0.255
CARSON D	2	0.255
CELLIER C	2	0.255
CHAIX ML	2	0.255
CHAN S	2	0.255
CHANG A	2	0.255
CONSTANTINOVICI N	2	0.255
COOPER D	2	0.255
DAHLOF B	2	0.255
DAVIES J	2	0.255
DENIS L	2	0.255
DIAZ R	2	0.255
EDWARDS A	2	0.255
EIKELBOOM JW	2	0.255
ELLERTSON C	2	0.255
EVANS A	2	0.255
FARRINGTON CP	2	0.255
FISHER L	2	0.255
FISK NM	2	0.255
FONTAINE H	2	0.255
FOX K	2	0.255
FRANCIOLI P	2	0.255
FURLONGE C	2	0.255
FURRER H	2	0.255
GASBARRINI G	2	0.255
GASTL G	2	0.255
GEBRE-MEDHIN M	2	0.255
GERSTEIN H	2	0.255
GERSTEIN HC	2	0.255
GIAQUINTO C	2	0.255
GOLDHIRSCH A	2	0.255
GRADY D	2	0.255
GRAY R	2	0.255
GRIFFITH M	2	0.255
GROB P	2	0.255
GUPTA S	2	0.255
GURWITZ JH	2	0.255
GYLLENSTEN UB	2	0.255
HALL AJ	2	0.255
HANSEL TT	2	0.255
HANSSON L	2	0.255
HARBARTH S	2	0.255
HASHIMOTO M	2	0.255
HEALY E	2	0.255
HEMMINKI E	2	0.255
HENNERICI M	2	0.255
HERZOG W	2	0.255
HOHNLOSER SH	2	0.255
HOOPER J	2	0.255
HUBBARD R	2	0.255
HUGHES T	2	0.255
HUNT D	2	0.255
INOUE M	2	0.255
ISON CA	2	0.255
JENSENIUS M	2	0.255
JICK H	2	0.255
JOHNSON A	2	0.255
JONGSAKUL K	2	0.255
JOSEFSSON AM	2	0.255
JOSEPH D	2	0.255
KAISER R	2	0.255
KANTIPONG P	2	0.255
KARAFOULIDOU A	2	0.255
KATLAMA C	2	0.255
KHAN J	2	0.255
KHAN M	2	0.255
KHAN S	2	0.255
KIRK O	2	0.255
KLEIN N	2	0.255
