Authors	records	% of 10337
WILLIAMS R	38	0.368
RAJU TNK	37	0.358
WHITE NJ	28	0.271
PETO R	26	0.252
HAMPTON JR	22	0.213
BOTTAZZO GF	20	0.193
TEDDER RS	20	0.193
WARRELL DA	20	0.193
BLOOM SR	19	0.184
WEATHERALL DJ	19	0.184
ADAMI HO	18	0.174
COLLINS R	18	0.174
BERAL V	17	0.164
CAMPBELL S	17	0.164
MARMOT MG	17	0.164
TOGNONI G	17	0.164
COOMBES RC	16	0.155
GREENWOOD BM	16	0.155
RODECK CH	16	0.155
VANDENBROUCKE JP	16	0.155
GALE RP	15	0.145
MEADE TW	15	0.145
REMUZZI G	15	0.145
WEISS RA	15	0.145
WHITTLE HC	15	0.145
CAMM AJ	14	0.135
GAZET JC	14	0.135
HENNEKENS CH	14	0.135
MACGREGOR GA	14	0.135
ROWE B	14	0.135
YUSUF S	14	0.135
ALBERTI KGMM	13	0.126
BIGGAR RJ	13	0.126
CUZICK J	13	0.126
GALLO RC	13	0.126
GAZZARD B	13	0.126
HOFFBRAND AV	13	0.126
LOOAREESUWAN S	13	0.126
NICHOLSON KG	13	0.126
QUINN TC	13	0.126
SMITH A	13	0.126
SMITH GD	13	0.126
STARZL TE	13	0.126
VANGIJN J	13	0.126
WARLOW CP	13	0.126
FENTIMAN IS	12	0.116
GOLDHIRSCH A	12	0.116
HODSON ME	12	0.116
HOFMAN A	12	0.116
JICK H	12	0.116
JULIAN DG	12	0.116
MARSDEN CD	12	0.116
MCPHERSON K	12	0.116
NICOLAIDES KH	12	0.116
PECKHAM CS	12	0.116
PETO J	12	0.116
POLAK JM	12	0.116
PRENTICE HG	12	0.116
WILL RG	12	0.116
BARNES PJ	11	0.106
BULLER HR	11	0.106
GOLDMAN JM	11	0.106
HOWELL A	11	0.106
KUMAR S	11	0.106
LEVINE MM	11	0.106
MCMASTER P	11	0.106
MILLER E	11	0.106
PALMER SR	11	0.106
PELTOLA H	11	0.106
PETERS TJ	11	0.106
PIKE MC	11	0.106
PRESCOTT RJ	11	0.106
ROBERTS CJ	11	0.106
ROSE G	11	0.106
SANDERCOCK P	11	0.106
SHANN F	11	0.106
STAMPFER MJ	11	0.106
STEEL CM	11	0.106
TUOMILEHTO J	11	0.106
TURNER RC	11	0.106
BARKER DJP	10	0.097
BLATTNER WA	10	0.097
BRODIE MJ	10	0.097
EDDLESTON ALWF	10	0.097
FARLEY TMM	10	0.097
FARTHING MJG	10	0.097
GASBARRINI G	10	0.097
GRANT A	10	0.097
HALL AJ	10	0.097
HARDCASTLE JD	10	0.097
HARRIS AL	10	0.097
LOWE GDO	10	0.097
MARTYN CN	10	0.097
MCELWAIN TJ	10	0.097
MEIRIK O	10	0.097
MOXON ER	10	0.097
MURRAY RM	10	0.097
OSMOND C	10	0.097
PHILLIPS RE	10	0.097
POWLES RL	10	0.097
POWLES TJ	10	0.097
ROSENDAAL FR	10	0.097
ROSNER B	10	0.097
SERJEANT GR	10	0.097
SHAPER AG	10	0.097
SHORVON SD	10	0.097
SLEIGHT P	10	0.097
THOMAS HC	10	0.097
TOPOL EJ	10	0.097
TRICHOPOULOS D	10	0.097
VESSEY MP	10	0.097
WARLOW C	10	0.097
WELLER IVD	10	0.097
WHITEHEAD RG	10	0.097
WILLETT WC	10	0.097
WILLIAMS G	10	0.097
ANDERSON J	9	0.087
BANATVALA JE	9	0.087
BERGSTROM R	9	0.087
BROCK DJH	9	0.087
BROWN MJ	9	0.087
CALNE RY	9	0.087
COOPER DA	9	0.087
CUNNINGHAM D	9	0.087
EKBOM A	9	0.087
ELDER GH	9	0.087
FORREST APM	9	0.087
FOWKES FGR	9	0.087
GOEDERT JJ	9	0.087
GRIFFITHS PD	9	0.087
HERMANS J	9	0.087
HOFFMAN SL	9	0.087
HORTON R	9	0.087
LEVY JA	9	0.087
LEWIS B	9	0.087
LINCH DC	9	0.087
MARKANDU ND	9	0.087
