Authors	records	% of 3907
LI J	57	1.459
MALIK S	56	1.433
STROM D	53	1.357
BANERJEE S	52	1.331
LIU Y	46	1.177
XIE Y	44	1.126
HOCKER A	41	1.049
KRAUS J	40	1.024
WANG L	39	0.998
KUMAR A	37	0.947
AOKI M	35	0.896
MIYAKE H	35	0.896
PAWLOSKI G	35	0.896
BAUER D	34	0.870
BELLANTONI L	34	0.870
CARVALHO W	34	0.870
CHEU E	34	0.870
CHOI S	34	0.870
HEBBEKER T	34	0.870
LEBRUN P	34	0.870
LI L	34	0.870
PETERS K	34	0.870
PIEGAIA R	34	0.870
RADEMACKER J	34	0.870
SEVERINI H	34	0.870
SNOW GR	34	0.870
YU J	34	0.870
ZHENG Y	34	0.870
ZHOU B	34	0.870
ZHU J	34	0.870
ABBOTT B	33	0.845
BANERJEE P	33	0.845
BELLAVANCE A	33	0.845
BROWN D	33	0.845
COOPER WE	33	0.845
COUDERC F	33	0.845
DAS A	33	0.845
DAVIES G	33	0.845
DESAI S	33	0.845
GARCIA C	33	0.845
GUO J	33	0.845
JOHNSON C	33	0.845
LEE WM	33	0.845
MCCARTHY R	33	0.845
STARK J	33	0.845
WEBER M	33	0.845
ABAZOV VM	32	0.819
ABOLINS M	32	0.819
ACHARYA BS	32	0.819
ADAMS M	32	0.819
ADAMS T	32	0.819
AGUILO E	32	0.819
AHSAN M	32	0.819
ALEXEEV GD	32	0.819
ALKHAZOV G	32	0.819
ALTON A	32	0.819
ALVERSON G	32	0.819
ALVES GA	32	0.819
ANASTASOAIE M	32	0.819
ANDEEN T	32	0.819
ANDRIEU B	32	0.819
ANZELC MS	32	0.819
AROV M	32	0.819
ARTHAUD M	32	0.819
ASKEW A	32	0.819
ATRAMENTOV O	32	0.819
AVILA C	32	0.819
BADAUD F	32	0.819
BAGBY L	32	0.819
BALDIN B	32	0.819
BANDURIN DV	32	0.819
BARBERIS E	32	0.819
BARFUSS AF	32	0.819
BARGASSA P	32	0.819
BARINGER P	32	0.819
BARRETO J	32	0.819
BARTLETT JF	32	0.819
BASSLER U	32	0.819
BEALE S	32	0.819
BEAN A	32	0.819
BEGALLI M	32	0.819
BEGEL M	32	0.819
BELANGER-CHAMPAGNE C	32	0.819
BENITEZ JA	32	0.819
BERI SB	32	0.819
BERNARDI G	32	0.819
BERNHARD R	32	0.819
BERTRAM I	32	0.819
BEUSELINCK R	32	0.819
BEZZUBOV VA	32	0.819
BHAT PC	32	0.819
BHATNAGAR V	32	0.819
BISCARAT C	32	0.819
BLAZEY G	32	0.819
BLEKMAN F	32	0.819
BLESSING S	32	0.819
BLOOM K	32	0.819
BOEHNLEIN A	32	0.819
BOLINE D	32	0.819
BOLTON TA	32	0.819
BORISSOV G	32	0.819
BOSE T	32	0.819
BRANDT A	32	0.819
BROCK R	32	0.819
BROOIJMANS G	32	0.819
BROSS A	32	0.819
BUCHANAN NJ	32	0.819
BUCHHOLZ D	32	0.819
BUEHLER M	32	0.819
BUESCHER V	32	0.819
BURDIN S	32	0.819
BURNETT TH	32	0.819
BUSZELLO CP	32	0.819
BUTLER JM	32	0.819
CALFAYAN P	32	0.819
CALVET S	32	0.819
CAMMIN J	32	0.819
CASEY BCK	32	0.819
CASTILLA-VALDEZ H	32	0.819
CHAKRABARTI S	32	0.819
CHAKRABORTY D	32	0.819
CHAN KM	32	0.819
CHANDRA A	32	0.819
CHEVALLIER F	32	0.819
CHO DK	32	0.819
CHOUDHARY B	32	0.819
CHRISTOFEK L	32	0.819
CHRISTOUDIAS T	32	0.819
CIHANGIR S	32	0.819
CLAES D	32	0.819
COOKE M	32	0.819
CORCORAN M	32	0.819
COUSINOU MC	32	0.819
CUTTS D	32	0.819
DE K	32	0.819
DEGENHARDT JD	32	0.819
DELIOT F	32	0.819
DEMARTEAU M	32	0.819
DEMINA R	32	0.819
DENISOV D	32	0.819
DENISOV SP	32	0.819
DIEHL HT	32	0.819
DIESBURG M	32	0.819
DOMINGUEZ A	32	0.819
DONG H	32	0.819
DUDKO LV	32	0.819
DUFLOT L	32	0.819
DUGAD SR	32	0.819
DUGGAN D	32	0.819
DUPERRIN A	32	0.819
DYER J	32	0.819
DYSHKANT A	32	0.819
EADS M	32	0.819
EDMUNDS D	32	0.819
ELLISON J	32	0.819
ELVIRA VD	32	0.819
ENARI Y	32	0.819
ENO S	32	0.819
ERMOLOV P	32	0.819
EVANS H	32	0.819
EVDOKIMOV A	32	0.819
EVDOKIMOV VN	32	0.819
FERAPONTOV AV	32	0.819
FERBEL T	32	0.819
FIEDLER F	32	0.819
FILTHAUT F	32	0.819
FISHER W	32	0.819
FISK HE	32	0.819
FORTNER M	32	0.819
FOX H	32	0.819
FU S	32	0.819
FUESS S	32	0.819
GADFORT T	32	0.819
GALEA CF	32	0.819
GARCIA-BELLIDO A	32	0.819
GAVRILOV V	32	0.819
GAY P	32	0.819
GEIST W	32	0.819
GERBER CE	32	0.819
GERSHTEIN Y	32	0.819
GILLBERG D	32	0.819
GINTHER G	32	0.819
GOLLUB N	32	0.819
GOMEZ B	32	0.819
GOUSSIOU A	32	0.819
GRANNIS PD	32	0.819
GREENLEE H	32	0.819
GREENWOOD ZD	32	0.819
GREGORES EM	32	0.819
GRENIER G	32	0.819
GRIS P	32	0.819
GRIVAZ JF	32	0.819
GROHSJEAN A	32	0.819
GUO F	32	0.819
GUTIERREZ G	32	0.819
GUTIERREZ P	32	0.819
HAAS A	32	0.819
HADLEY NJ	32	0.819
HAEFNER P	32	0.819
HAGOPIAN S	32	0.819
HALEY J	32	0.819
HALL I	32	0.819
HALL RE	32	0.819
HAN L	32	0.819
HARDER K	32	0.819
HAREL A	32	0.819
HAUPTMAN JM	32	0.819
HAYS J	32	0.819
HEDIN D	32	0.819
HEGEMAN JG	32	0.819
HEINSON AP	32	0.819
HEINTZ U	32	0.819
HENSEL C	32	0.819
HERNER K	32	0.819
HESKETH G	32	0.819
HILDRETH MD	32	0.819
HIROSKY R	32	0.819
HOBBS JD	32	0.819
HOENEISEN B	32	0.819
HOETH H	32	0.819
HOHLFELD M	32	0.819
HOSSAIN S	32	0.819
HOUBEN P	32	0.819
HU Y	32	0.819
HUBACEK Z	32	0.819
HYNEK V	32	0.819
IASHVILI I	32	0.819
ILLINGWORTH R	32	0.819
ITO AS	32	0.819
JABEEN S	32	0.819
JAFFRE M	32	0.819
JAIN S	32	0.819
JAKOBS K	32	0.819
JARVIS C	32	0.819
JESIK R	32	0.819
JOHNS K	32	0.819
JOHNSON M	32	0.819
JONCKHEERE A	32	0.819
JONSSON P	32	0.819
JUSTE A	32	0.819
KAJFASZ E	32	0.819
KALK JM	32	0.819
KARMANOV D	32	0.819
KATSANOS I	32	0.819
KAU D	32	0.819
KAUSHIK V	32	0.819
KEHOE R	32	0.819
KERMICHE S	32	0.819
KHALATYAN N	32	0.819
KHANOV A	32	0.819
KHARCHILAVA A	32	0.819
KHARZHEEV YM	32	0.819
KHATIDZE D	32	0.819
KIM H	32	0.819
KIM TJ	32	0.819
KIRBY MH	32	0.819
KIRSCH M	32	0.819
KLIMA B	32	0.819
KOHLI JM	32	0.819
KONRATH JP	32	0.819
KOZELOV AV	32	0.819
KUHL T	32	0.819
KUPCO A	32	0.819
KVITA J	32	0.819
LACROIX F	32	0.819
LAM D	32	0.819
LAMMERS S	32	0.819
LANDSBERG G	32	0.819
LEFLAT A	32	0.819
LELLOUCH J	32	0.819
LI QZ	32	0.819
LIETTI SM	32	0.819
LIMA JGR	32	0.819
LINCOLN D	32	0.819
LINNEMANN J	32	0.819
LIPAEV VV	32	0.819
LIPTON R	32	0.819
LIU Z	32	0.819
LOBODENKO A	32	0.819
LOKAJICEK M	32	0.819
LOVE P	32	0.819
LUBATTI HJ	32	0.819
LYON AL	32	0.819
MACIEL AKA	32	0.819
MACKIN D	32	0.819
MADARAS RJ	32	0.819
MAGASS C	32	0.819
MAGERKURTH A	32	0.819
MAL PK	32	0.819
MALBOUISSON HB	32	0.819
MALYSHEV VL	32	0.819
MARAVIN Y	32	0.819
MARTIN B	32	0.819
MELNITCHOUK A	32	0.819
MENDOZA L	32	0.819
MERCADANTE PG	32	0.819
MERKIN M	32	0.819
MERRITT KW	32	0.819
MEYER A	32	0.819
MEYER J	32	0.819
MITREVSKI J	32	0.819
MOMMSEN RK	32	0.819
MONDAL NK	32	0.819
MOORE RW	32	0.819
MOULIK T	32	0.819
MUANZA GS	32	0.819
MULHEARN M	32	0.819
MUNDAL O	32	0.819
MUNDIM L	32	0.819
NAGY E	32	0.819
NAIMUDDIN M	32	0.819
NARAIN M	32	0.819
NAUMANN NA	32	0.819
NEAL HA	32	0.819
NEGRET JP	32	0.819
NEUSTROEV P	32	0.819
NILSEN H	32	0.819
NOVAES SF	32	0.819
NUNNEMANN T	32	0.819
O'DELL V	32	0.819
O'NEIL DC	32	0.819
OBRANT G	32	0.819
OCHANDO C	32	0.819
ONOPRIENKO D	32	0.819
OSHIMA N	32	0.819
OSTA J	32	0.819
OTEC R	32	0.819
OWEN M	32	0.819
PADLEY P	32	0.819
PANGILINAN M	32	0.819
PARASHAR N	32	0.819
PARK SJ	32	0.819
