Authors	records	% of 55042
ALAM MS	251	0.456
KASS R	243	0.441
KAGAN H	242	0.440
FORD WT	227	0.412
SMITH JG	227	0.412
GLADNEY L	226	0.411
AMIDEI D	222	0.403
GAN KK	221	0.402
BARNETT BA	213	0.387
JESSOP CP	213	0.387
LI J	213	0.387
BODEK A	211	0.383
HARA K	211	0.383
KINOSHITA K	211	0.383
EIGEN G	210	0.382
ERREDE S	207	0.376
HAUSER J	207	0.376
WANG CH	207	0.376
POLING R	206	0.374
BRANDENBURG G	205	0.372
THORNDIKE EH	203	0.369
PETERSON D	202	0.367
TIPTON P	201	0.365
KONDO K	199	0.362
SLIWA K	199	0.362
TAKAHASHI T	199	0.362
BINKLEY M	198	0.360
STONE S	198	0.360
CASTRO A	197	0.358
CSORNA SE	197	0.358
EHRLICH R	197	0.358
FOSTER GW	197	0.358
HARTILL DL	197	0.358
KREINICK DL	197	0.358
BERETVAS A	196	0.356
CASSEL DG	196	0.356
SAKUMOTO WK	196	0.356
AVERY P	195	0.354
BERKELMAN K	195	0.354
HANDLER R	195	0.354
OLSEN J	195	0.354
SADOFF AJ	195	0.354
ABE K	194	0.352
TANAKA M	194	0.352
BROWDER TE	193	0.351
MUKHERJEE A	193	0.351
PONDROM L	193	0.351
BORTOLETTO D	192	0.349
GITTELMAN B	192	0.349
KADEL RW	192	0.349
NAKANO I	192	0.349
SINERVO P	192	0.349
WILLIAMS HH	192	0.349
WILSON R	192	0.349
CARLSMITH D	191	0.347
KUBOTA Y	191	0.347
YEH GP	191	0.347
ZHANG J	191	0.347
BARNES VE	190	0.345
BELLETTINI G	190	0.345
GOULIANOS K	190	0.345
HABER C	190	0.345
HONSCHEID K	190	0.345
KIRSCH L	190	0.345
LAASANEN AT	190	0.345
NODULMAN L	190	0.345
BANERJEE S	189	0.343
BISELLO D	189	0.343
CAMPBELL M	189	0.343
GOLD M	189	0.343
LORETI M	189	0.343
MAESHIMA K	189	0.343
PROUDFOOT J	189	0.343
TAKIKAWA K	189	0.343
BELFORTE S	188	0.342
BLOCKER C	188	0.342
BYRUM KL	188	0.342
CAMPAGNARI C	188	0.342
CHIARELLI G	188	0.342
CORDELLI M	188	0.342
DEMORTIER L	188	0.342
GARFINKEL AF	188	0.342
HAHN SR	188	0.342
HARRIS RM	188	0.342
HELTSLEY BK	188	0.342
KAMON T	188	0.342
PAOLETTI R	188	0.342
PATRICK J	188	0.342
PUNZI G	188	0.342
RIMONDI F	188	0.342
RISTORI L	188	0.342
SCHLABACH P	188	0.342
SCHMIDT EE	188	0.342
SCRIBANO A	188	0.342
SHOCHET M	188	0.342
WAGNER RL	188	0.342
WATTS T	188	0.342
APOLLINARI G	187	0.340
BELLINGER J	187	0.340
LEE J	187	0.340
MISCETTI S	187	0.340
PAAR HP	187	0.340
WAGNER RG	187	0.340
YOH J	187	0.340
ZETTI F	187	0.340
BEDESCHI F	186	0.338
CHAPMAN J	186	0.338
FRANKLIN M	186	0.338
GIANNETTI P	186	0.338
KUHLMANN SE	186	0.338
MENZIONE A	186	0.338
PHILLIPS TJ	186	0.338
UKEGAWA F	186	0.338
SNIDER FD	185	0.336
BEAN A	184	0.334
VIDAL R	184	0.334
GRAY SW	183	0.332
KEPHART R	183	0.332
PATEL PM	183	0.332
FLAUGHER B	182	0.331
MILLER DH	182	0.331
RICHMAN JD	182	0.331
BESSON D	181	0.329
BUDD HS	181	0.329
LISS TM	181	0.329
SANSONI A	181	0.329
BACCHETTA N	180	0.327
SEIYA Y	179	0.325
SKUBIC P	179	0.325
DERWENT PF	178	0.323
TKACZYK S	178	0.323
WICKLUND AB	178	0.323
CLARK AG	177	0.322
DEVLIN T	177	0.322
KANDASWAMY J	177	0.322
MISTRY NB	177	0.322
PAULETTA G	177	0.322
RILEY D	177	0.322
KIM YK	176	0.320
LEWIS JD	176	0.320
PAPADIMITRIOU V	176	0.320
WICKLUND E	176	0.320
WINER BL	176	0.320
YOSHIDA T	176	0.320
LONG O	175	0.318
STEFANINI A	175	0.318
WEINSTEIN AJ	175	0.318
WESTER WC	175	0.318
ZANETTI A	175	0.318
BAUER G	174	0.316
BUSETTO G	174	0.316
LEONE S	174	0.316
RYD A	174	0.316
SIEGRIST J	174	0.316
ZUCCHELLI S	174	0.316
KONIGSBERG J	173	0.314
LUKENS P	173	0.314
NELSON C	173	0.314
RANKIN P	173	0.314
TURINI N	173	0.314
PARK H	172	0.312
WYSS J	172	0.312
MATTHEWS JAJ	171	0.311
MORITA Y	171	0.311
MULLER T	171	0.311
NORDBERG E	171	0.311
BENJAMIN D	170	0.309
GERDES DW	170	0.309
MCINTYRE P	170	0.309
SCHRENK S	170	0.309
VEJCIK S	170	0.309
WILSON P	170	0.309
FREEMAN J	169	0.307
FUKUI Y	169	0.307
KATO Y	169	0.307
PTOHOS F	169	0.307
ROBERTSON WJ	169	0.307
BEBEK C	168	0.305
CARITHERS W	168	0.305
EISENSTEIN BI	168	0.305
KIM SH	168	0.305
RODRIGO T	168	0.305
HOLLEBEEK R	166	0.302
JOSHI U	166	0.302
KARLINER I	166	0.302
ROODMAN A	166	0.302
SHIBATA EI	166	0.302
SILL A	166	0.302
BARINGER P	165	0.300
HUTH J	165	0.300
TETHER S	165	0.300
YAMAMOTO H	165	0.300
BENSINGER J	164	0.298
LINDGREN M	164	0.298
SEIDEL S	164	0.298
SEVERINI H	164	0.298
COCHRAN J	163	0.296
LAMMEL S	163	0.296
MISHINA M	163	0.296
ARTUSO M	162	0.294
ERREDE D	162	0.294
JENSEN H	162	0.294
LOCKYER N	162	0.294
SHIPSEY IPJ	162	0.294
SKWARNICKI T	162	0.294
PANVINI RS	161	0.293
SHARMA V	161	0.293
SUMOROK K	161	0.293
WU X	161	0.293
YELTON J	161	0.293
ELIAS JE	160	0.291
HUGHES R	160	0.291
PATTERSON JR	160	0.291
WARBURTON A	160	0.291
DEJONGH F	159	0.289
LUCCHESI D	159	0.289
MANGANO M	159	0.289
STROYNOWSKI R	159	0.289
WEBB R	159	0.289
KATAYAMA N	158	0.287
TERAMOTO Y	158	0.287
TOLLESTRUP A	158	0.287
WOLINSKI J	158	0.287
GIROMINI P	157	0.285
GOSHAW AT	157	0.285
HOLLOWAY L	157	0.285
MONETI GC	157	0.285
LECOMPTE T	156	0.283
MIAO T	156	0.283
PLUNKETT R	156	0.283
SEGLER S	156	0.283
SUZUKI T	156	0.283
YU Z	156	0.283
ERNST J	155	0.282
MARTIN A	155	0.282
PERAZZO A	155	0.282
SCHMIDT MP	155	0.282
TSENG J	155	0.282
ALEXANDER JP	154	0.280
BLAIR RE	154	0.280
ENO S	154	0.280
HUSTON J	154	0.280
MARIOTTI M	154	0.280
MARSISKE H	154	0.280
OKUSAWA T	154	0.280
PESCARA L	154	0.280
FREY R	153	0.278
KIM SK	153	0.278
KOVACS E	153	0.278
YAGIL A	153	0.278
INNES WR	152	0.276
LANKFORD AJ	152	0.276
MILLER R	152	0.276
SELEN M	152	0.276
GROER L	151	0.274
KIM SB	151	0.274
LUTH V	151	0.274
SALTZBERG D	151	0.274
WISNIEWSKI WJ	151	0.274
MILLER JS	150	0.273
NARSKY I	150	0.273
PIACENTINO G	150	0.273
WENZEL H	150	0.273
YAO W	150	0.273
ZHANG L	150	0.273
BERGE JP	149	0.271
COOPER J	149	0.271
HUFFMAN BT	149	0.271
INCANDELA J	149	0.271
ROSENSON L	149	0.271
SCHUMM BA	149	0.271
STEELE J	149	0.271
BHATTI A	148	0.269
BURKETT K	148	0.269
CIHANGIR S	148	0.269
DONATI S	148	0.269
EINSWEILER K	148	0.269
MACFARLANE DB	148	0.269
OGAWA S	148	0.269
PAGLIARONE C	148	0.269
PREPOST R	148	0.269
SCHINDLER RH	148	0.269
SHIMOJIMA M	148	0.269
STUART D	148	0.269
YU I	148	0.269
BAND HR	147	0.267
CINABRO D	147	0.267
GALLINARO M	147	0.267
HEINRICH J	147	0.267
JOHNSON JR	147	0.267
JONES M	147	0.267
SAVINOV V	147	0.267
SEIDEN A	147	0.267
SHEPARD PF	147	0.267
SPHICAS P	146	0.265
TENG PK	146	0.265
BEHRENDS S	145	0.263
CONWAY J	145	0.263
DENINNO M	145	0.263
KIM HS	145	0.263
SCHELLMAN H	145	0.263
AIHARA H	144	0.262
KIM H	144	0.262
KROLL J	144	0.262
WILSON RJ	144	0.262
YANG S	144	0.262
ABRAMS GS	143	0.260
ALBROW MG	143	0.260
BROWN D	143	0.260
FINOCCHIARO G	143	0.260
KRUSE M	143	0.260
MAKSIMOVIC P	143	0.260
SMITH A	143	0.260
WANG MJ	143	0.260
WON E	143	0.260
ANTOS J	142	0.258
DRELL PS	142	0.258
KOEHN P	142	0.258
NAUENBERG U	142	0.258
RAGAN K	142	0.258
SOFFER A	142	0.258
SPALDING J	142	0.258
TOLLEFSON K	142	0.258
WANG J	142	0.258
BROMBERG C	141	0.256
COPPAGE D	141	0.256
GOLLIN GD	141	0.256
JONES CD	141	0.256
KIM DH	141	0.256
OH SH	141	0.256
PAULINI M	141	0.256
PICCOLO M	141	0.256
PITTS KT	141	0.256
PLAYFER S	141	0.256
PRELL S	141	0.256
MORRISON RJ	140	0.254
SHAPIRO MD	140	0.254
TRISCHUK W	140	0.254
URHEIM J	140	0.254
LAMI S	139	0.253
SPIEGEL L	139	0.253
THERIOT D	139	0.253
IKEDA H	138	0.251
WENZEL WA	138	0.251
BLOOM P	137	0.249
BOYARSKI AM	137	0.249
FIORI I	137	0.249
GODANG R	137	0.249
KOPP S	137	0.249
LANGE DJ	137	0.249
LYS J	137	0.249
NEUBERGER D	137	0.249
TAYLOR W	137	0.249
WALSH J	137	0.249
WU J	137	0.249
YOUNG CC	137	0.249
BLAYLOCK G	136	0.247
HITLIN DG	136	0.247
AMMAR R	135	0.245
ELY R	135	0.245
HEUSCH CA	135	0.245
KASHA H	135	0.245
LAMOUREUX JI	135	0.245
MUHEIM F	135	0.245
KANEKO T	134	0.243
KANG JS	134	0.243
KORDAS K	134	0.243
THALER JJ	134	0.243
BURCHAT PR	133	0.242
CHEN S	133	0.242
HANS RM	133	0.242
NEAL H	133	0.242
WAGNER SR	133	0.242
WURTHWEIN F	133	0.242
ATAC M	132	0.240
GEER S	132	0.240
IZEN JM	132	0.240
JAMES E	132	0.240
JAWAHERY A	132	0.240
LU A	132	0.240
ROE NA	132	0.240
SOKOLOFF MD	132	0.240
GORDON A	131	0.238
SINGH P	131	0.238
EDWARDS KW	130	0.236
ENGELS E	130	0.236
FAN Q	130	0.236
HOCKER A	130	0.236
AZFAR F	129	0.234
BLOOM K	129	0.234
CHRISTOFEK L	129	0.234
DITTMANN JR	129	0.234
OHSUGI T	129	0.234
YAMAMOTO RK	129	0.234
BAILEY MW	128	0.233
BERTOLUCCI S	128	0.233
FRIEDMAN J	128	0.233
GAY C	128	0.233
KENNEDY RD	128	0.233
KIM HJ	128	0.233
LOU XC	128	0.233
MOUNTAIN R	128	0.233
OISHI R	128	0.233
SNYDER A	128	0.233
TAMURA N	128	0.233
WEIDEMANN AW	128	0.233
ZOELLER MM	128	0.233
CULBERTSON R	127	0.231
MIYASHITA S	127	0.231
SATO H	127	0.231
SCHALK T	127	0.231
YEH P	127	0.231
BRIERE RA	126	0.229
CALCATERRA A	126	0.229
GIOKARIS N	126	0.229
MESSNER R	126	0.229
PFEIFFER LN	126	0.229
ROSER R	126	0.229
ABE F	125	0.227
ASTON D	125	0.227
HERTZBACH SS	125	0.227
LYNCH HL	125	0.227
LYON AL	125	0.227
PAPPAS SP	125	0.227
RATCLIFF BN	125	0.227
SINEV NB	125	0.227
WILLOCQ S	125	0.227
MANCINELLI G	124	0.225
PUROHIT MV	124	0.225
SANTI L	124	0.225
SINGH JB	124	0.225
SU D	124	0.225
YASUOKA K	124	0.225
CLARK AR	123	0.223
GIBBONS L	123	0.223
GOLDBERG M	123	0.223
KAJFASZ E	123	0.223
WEST KW	123	0.223
ABE T	122	0.222
BAILEY S	122	0.222
BONVICINI G	122	0.222
BROWN DN	122	0.222
CONTRERAS M	122	0.222
KERTH LT	122	0.222
WATTS G	122	0.222
YU J	122	0.222
YUN JC	122	0.222
ASHMANSKAS W	121	0.220
BARBAROGALTIERI A	121	0.220
CHENG MT	121	0.220
GALEOTTI S	121	0.220
HAUPTMAN JM	121	0.220
INCAGLI M	121	0.220
IWATA Y	121	0.220
MURAT P	121	0.220
PARTRIDGE R	121	0.220
VELEV G	121	0.220
ZHU YS	121	0.220
AHMED S	120	0.218
DUBOSCQ JE	120	0.218
FAST J	120	0.218
HYLEN J	120	0.218
MASEK G	120	0.218
MEADOWS BT	120	0.218
PIEMONTESE L	120	0.218
ROY J	120	0.218
BOUDREAU J	119	0.216
BRUNER N	119	0.216
DICKSON M	119	0.216
INTROZZI G	119	0.216
MADARAS RJ	119	0.216
MALLIK U	119	0.216
ODDONE PJ	119	0.216
PORTER FC	119	0.216
PRIPSTEIN M	119	0.216
REIDY J	119	0.216
RONAN MT	119	0.216
VARNES EW	119	0.216
VOLOBOUEV I	119	0.216
WANG C	119	0.216
CAUZ D	118	0.214
DEMINA R	118	0.214
DORIGO T	118	0.214
FRISCH H	118	0.214
HOFFMAN KD	118	0.214
LIU YC	118	0.214
ROLLI S	118	0.214
SPINELLA F	118	0.214
WOOD DR	118	0.214
BLANC F	117	0.213
CARPINELLI M	117	0.213
SPAAN B	117	0.213
VASSEUR G	117	0.213
WILLIAMS DC	117	0.213
LI H	116	0.211
SHAW NM	116	0.211
AKIMOTO H	115	0.209
EDDY N	115	0.209
FIELD RC	115	0.209
LOCKMAN WS	115	0.209
MAHMOOD AH	115	0.209
PERL ML	115	0.209
SCHNEIDER O	115	0.209
BAUMANN T	114	0.207
EISNER AM	114	0.207
GRASSMANN H	114	0.207
KOWALEWSKI R	114	0.207
LOHNER M	114	0.207
LOSECCO JM	114	0.207
OLSEN SL	114	0.207
PARA A	114	0.207
SUMMERS DJ	114	0.207
TOBACK D	114	0.207
BUCHHOLZ D	113	0.205
CANER A	113	0.205
COAN TE	113	0.205
CRONIN-HENNESSY D	113	0.205
MOGGI N	113	0.205
MOORE TB	113	0.205
MUELLER J	113	0.205
SALEEM M	113	0.205
TIMKO M	113	0.205
WANG P	113	0.205
YOSEF C	113	0.205
GLANZMAN T	112	0.203
KUNS E	112	0.203
SCHAMBERGER RD	112	0.203
SPIROPULU M	112	0.203
STOKER DP	112	0.203
TUTS PM	112	0.203
WORM S	112	0.203
CONVERY MR	111	0.202
COOPER WE	111	0.202
GATTO C	111	0.202
HADLEY NJ	111	0.202
HEARTY C	111	0.202
KORYTOV A	111	0.202
LIU Y	111	0.202
MARRINER JP	111	0.202
MORII M	111	0.202
NG CR	111	0.202
SMITH AJS	111	0.202
ANDERSON S	110	0.200
BAUER JM	110	0.200
BOLLA G	110	0.200
CHAUVEAU J	110	0.200
CHEN JC	110	0.200
DASU S	110	0.200
KIM BJ	110	0.200
MCKENNA JA	110	0.200
SCHWIENING J	110	0.200
SULLIVAN MK	110	0.200
WOLF A	110	0.200
YASUDA T	110	0.200
HAWKES CM	109	0.198
JACOBSEN RG	109	0.198
KOZANECKI W	109	0.198
KWON Y	109	0.198
LEE SJ	109	0.198
QI ND	109	0.198
RONG G	109	0.198
COBAL M	108	0.196
DAVIS R	108	0.196
GUILLIAN G	108	0.196
JOHNSON M	108	0.196
KANG JH	108	0.196
LUSIN S	108	0.196
TORRENCE E	108	0.196
WATANABE Y	108	0.196
ABBOTT B	107	0.194
BOSWELL C	107	0.194
DE SANGRO R	107	0.194
FISK HE	107	0.194
HAPPACHER F	107	0.194
HU P	107	0.194
KESTEN P	107	0.194
KUNORI S	107	0.194
STAENGLE H	107	0.194
VA'VRA J	107	0.194
BADGETT W	106	0.193
GOTRA Y	106	0.193
MAO HS	106	0.193
STROM D	106	0.193
TAMBURELLO P	106	0.193
TARTARELLI F	106	0.193
VUCINIC D	106	0.193
