Authors	records	% of 23870
GALLO RC	61	0.256
PETERS R	57	0.239
SIKORSKI R	57	0.239
VOGELSTEIN B	41	0.172
WONGSTAAL F	38	0.159
SCHULTZ PG	34	0.142
MAO HK	32	0.134
WHITESIDES GM	32	0.134
LIEBER CM	30	0.126
KANDEL ER	29	0.121
KINZLER KW	29	0.121
LERNER RA	29	0.121
AARONSON SA	28	0.117
ANONYMOUS	28	0.117
JOHNSON TV	28	0.117
SQUYRES SW	28	0.117
BALTIMORE D	27	0.113
TJIAN R	27	0.113
HEMLEY RJ	26	0.109
INGERSOLL AP	26	0.109
SNYDER SH	26	0.109
VENTER JC	26	0.109
CECH TR	25	0.105
LEFKOWITZ RJ	25	0.105
FRASER CM	24	0.101
VEVERKA J	24	0.101
WILSON IA	24	0.101
BELL JF	23	0.096
HEAD JW	23	0.096
ESSEX M	22	0.092
SCHUBERT G	22	0.092
BROWN RH	21	0.088
COHEN J	21	0.088
DAVIS RW	21	0.088
GREELEY R	21	0.088
GREENBERG ME	21	0.088
NAKAMURA Y	21	0.088
ROSENFELD MG	21	0.088
SCHREIBER SL	21	0.088
SODERBLOM LA	21	0.088
WANG J	21	0.088
ARVIDSON RE	20	0.084
CROCE CM	20	0.084
HOOD L	20	0.084
NICOLL RA	20	0.084
REES DC	20	0.084
SMALLEY RE	20	0.084
SMITH DE	20	0.084
ZARE RN	20	0.084
BROWN AM	19	0.080
MCKNIGHT SL	19	0.080
SEEBURG PH	19	0.080
SEIDMAN JG	19	0.080
ZHANG Y	19	0.080
CAMPBELL DB	18	0.075
HADDON RC	18	0.075
HAMILTON SR	18	0.075
HOLDEN C	18	0.075
JEANLOZ R	18	0.075
KARIN M	18	0.075
WHITE O	18	0.075
BUSECK PR	17	0.071
FLAVELL RA	17	0.071
GREENGARD P	17	0.071
KIM PS	17	0.071
KLAUSNER RD	17	0.071
OSTRO SJ	17	0.071
STEITZ TA	17	0.071
YANCOPOULOS GD	17	0.071
ADAMS MD	16	0.067
BUSTAMANTE C	16	0.067
CHRISTENSEN PR	16	0.067
CLORE GM	16	0.067
ERTL G	16	0.067
GOEDDEL DV	16	0.067
GRONENBORN AM	16	0.067
HALLIDAY AN	16	0.067
KOSHLAND DE	16	0.067
MCSWEEN HY	16	0.067
MILLER LH	16	0.067
MOSS B	16	0.067
POPOVIC M	16	0.067
SAYKALLY RJ	16	0.067
SCHIMMEL P	16	0.067
WANG Y	16	0.067
YEOMANS DK	16	0.067
BROWN MS	15	0.063
CARON MG	15	0.063
CHEN ISY	15	0.063
CRISP D	15	0.063
CURRAN T	15	0.063
EDWARDS RL	15	0.063
EVANS RM	15	0.063
JANDA KD	15	0.063
KAY SA	15	0.063
LANDER ES	15	0.063
LANGER R	15	0.063
LANZEROTTI LJ	15	0.063
LEVY JA	15	0.063
LI J	15	0.063
MAK TW	15	0.063
MALIN MC	15	0.063
MCCORMICK F	15	0.063
MORAD M	15	0.063
SALAHUDDIN SZ	15	0.063
SHARP PA	15	0.063
SOLOMON SC	15	0.063
SUDHOF TC	15	0.063
TAKAHASHI T	15	0.063
TANAKA K	15	0.063
ULLRICH A	15	0.063
WELLS JA	15	0.063
WILLIAMS LT	15	0.063
COLLINS FS	14	0.059
DAVIS RJ	14	0.059
ELLEDGE SJ	14	0.059
FAUCI AS	14	0.059
FINK GR	14	0.059
GHOSH S	14	0.059
GILMAN AG	14	0.059
GURNETT DA	14	0.059
HOOD LE	14	0.059
HUNTEN DM	14	0.059
LEE TH	14	0.059
LEONARD WJ	14	0.059
LIU Y	14	0.059
MACKINNON R	14	0.059
MIRKIN CA	14	0.059
ORTON GS	14	0.059
PAUL SM	14	0.059
PHILLIPS RJ	14	0.059
POLLACK JB	14	0.059
RIVIER J	14	0.059
SAKMANN B	14	0.059
SALZBERG SL	14	0.059
SMITH HO	14	0.059
TANIGUCHI T	14	0.059
TOKURA Y	14	0.059
VALE W	14	0.059
WOFSY SC	14	0.059
YUNG YL	14	0.059
ANDERSON JD	13	0.054
BENKOVIC SJ	13	0.054
CHEN Y	13	0.054
CHENG H	13	0.054
COHEN JD	13	0.054
CRABTREE GR	13	0.054
DAVIES ME	13	0.054
FRIEDMAN JM	13	0.054
GOLDSTEIN JL	13	0.054
GRAY HB	13	0.054
GUSELLA JF	13	0.054
HAHN BH	13	0.054
HASELTINE WA	13	0.054
HERKENHOFF KE	13	0.054
KAFATOS FC	13	0.054
KIM SH	13	0.054
LEE J	13	0.054
LEISEROWITZ L	13	0.054
LINDQUIST S	13	0.054
LIU J	13	0.054
MARRACK P	13	0.054
MARSHALL E	13	0.054
MCEWEN AS	13	0.054
MING DW	13	0.054
MYERS RM	13	0.054
PRESTON RA	13	0.054
RAJEWSKY K	13	0.054
REDDY EP	13	0.054
RUTTER WJ	13	0.054
STONE R	13	0.054
STUCKY GD	13	0.054
WEITZ DA	13	0.054
WHITE R	13	0.054
ALIVISATOS AP	12	0.050
ALKON DL	12	0.050
AWSCHALOM DD	12	0.050
BARINAGA M	12	0.050
BELTON MJS	12	0.050
BLOOM BR	12	0.050
BRINSTER RL	12	0.050
BROWN JH	12	0.050
CARLSON RW	12	0.050
CARR MH	12	0.050
CASKEY CT	12	0.050
CHAMBON P	12	0.050
COHEN ML	12	0.050
DEGRADO WF	12	0.050
DERVAN PB	12	0.050
GARCIA KC	12	0.050
HANSMA PK	12	0.050
HARTL DL	12	0.050
HO DD	12	0.050
JABLONSKI D	12	0.050
JAENISCH R	12	0.050
JOHNSON RE	12	0.050
JOUZEL J	12	0.050
KANAMORI H	12	0.050
KUMAR A	12	0.050
LAHAV M	12	0.050
LEDERER WJ	12	0.050
LEWIS RS	12	0.050
LI Y	12	0.050
MARDER SR	12	0.050
MATSUMOTO K	12	0.050
MORRIS RV	12	0.050
NOLLER HF	12	0.050
POO MM	12	0.050
RAKIC P	12	0.050
RENNE PR	12	0.050
RINE J	12	0.050
RUSSELL CT	12	0.050
SARNGADHARAN MG	12	0.050
SCHLESSINGER J	12	0.050
SHAW GM	12	0.050
SHOWS TB	12	0.050
SLAMON DJ	12	0.050
SLEIGHT AW	12	0.050
SMITH MD	12	0.050
STONE EC	12	0.050
TAKAHASHI JS	12	0.050
TANZI RE	12	0.050
TYLER GL	12	0.050
WALKER RJ	12	0.050
WANG W	12	0.050
WEISSMAN IL	12	0.050
WITTE ON	12	0.050
ZINKERNAGEL RM	12	0.050
ZUBER MT	12	0.050
ALLAN JS	11	0.046
