Authors	records	% of 5184
BOCHNER S	46	0.887
ALBERT AA	31	0.598
ERDOS P	26	0.502
GRONWALL TH	25	0.482
SHIMURA G	24	0.463
BELL ET	22	0.424
MONTGOMERY D	22	0.424
EISENHART LP	20	0.386
MILLER GA	20	0.386
EILENBERG S	19	0.367
WHITNEY H	18	0.347
KODAIRA K	17	0.328
MORSE M	17	0.328
MOSTOW GD	17	0.328
SIEGEL CL	17	0.328
STEIN EM	17	0.328
WHITEHEAD JHC	17	0.328
FOX RH	16	0.309
DICKSON LE	15	0.289
RITT JF	15	0.289
VANDIVER HS	15	0.289
VON NEUMANN J	15	0.289
HILLE E	14	0.270
SPENCER DC	14	0.270
BING RH	13	0.251
CHERN SS	13	0.251
JACOBSON N	13	0.251
SMITH PA	13	0.251
BENNETT AA	12	0.231
BRAUER R	12	0.231
COLDING TH	12	0.231
EINSTEIN A	12	0.231
HEINS M	12	0.231
LAWSON HB	12	0.231
SIMON B	12	0.231
WARD M	12	0.231
WEDDERBURN JHM	12	0.231
WEYL H	12	0.231
BOCHER M	11	0.212
HOCHSCHILD G	11	0.212
JACKSON D	11	0.212
MACLANE S	11	0.212
ORE O	11	0.212
ALEXANDER JW	10	0.193
ASCHBACHER M	10	0.193
BIRKHOFF G	10	0.193
CAFFARELLI LA	10	0.193
CARMICHAEL RD	10	0.193
GREEN B	10	0.193
IWASAWA K	10	0.193
JENKINS JA	10	0.193
KAKUTANI S	10	0.193
MILNOR J	10	0.193
NAKAYAMA T	10	0.193
TAO T	10	0.193
WHITTEMORE JK	10	0.193
AUSLANDER L	9	0.174
BHARGAVA M	9	0.174
BOREL A	9	0.174
COOLIDGE JL	9	0.174
FEFFERMAN C	9	0.174
FELLER W	9	0.174
HIRSCH MW	9	0.174
HSIANG WC	9	0.174
KENIG CE	9	0.174
MINICOZZI WP	9	0.174
MOISE EE	9	0.174
OSGOOD WF	9	0.174
SAUREL P	9	0.174
SEGAL IE	9	0.174
SIU YT	9	0.174
STEENROD NE	9	0.174
THOMAS TY	9	0.174
WALL CTC	9	0.174
AGNEW RP	8	0.154
ATIYAH MF	8	0.154
BROWN EH	8	0.154
FLOYD EE	8	0.154
FREUDENTHAL H	8	0.154
GLUCK H	8	0.154
HSIANG WY	8	0.154
LEFSCHETZ S	8	0.154
MASSEY WS	8	0.154
MAZUR B	8	0.154
SHANESON JL	8	0.154
SMALE S	8	0.154
WALSH JL	8	0.154
WHITEHEAD GW	8	0.154
WILSON EB	8	0.154
ZARISKI O	8	0.154
AVILA A	7	0.135
BLISS GA	7	0.135
BOTT R	7	0.135
BOURGAIN J	7	0.135
CAIRNS SS	7	0.135
CAMERON RH	7	0.135
CAPPELL SE	7	0.135
CHANDRASEKHARAN K	7	0.135
DARMON H	7	0.135
DILWORTH RP	7	0.135
GERSTENHABER M	7	0.135
HU ST	7	0.135
LEVINSON N	7	0.135
MAYER W	7	0.135
MCSHANE EJ	7	0.135
MILGRAM RJ	7	0.135
PETERSON FP	7	0.135
PORTER MB	7	0.135
SCHOENBERG IJ	7	0.135
SERRE JP	7	0.135
SOUNDARARAJAN K	7	0.135
TAMARKIN JD	7	0.135
WANG HC	7	0.135
WIGNER EP	7	0.135
WILES A	7	0.135
YANO K	7	0.135
YAU ST	7	0.135
ZIPPIN L	7	0.135
BELLMAN R	6	0.116
BREDON GE	6	0.116
BROWDER W	6	0.116
CHEN KT	6	0.116
CHRIST M	6	0.116
DADE EC	6	0.116
DANIELL PJ	6	0.116
DOLD A	6	0.116
ESKIN A	6	0.116
FULTON W	6	0.116
GARABEDIAN PR	6	0.116
HELLER A	6	0.116
IWANIEC H	6	0.116
KADISON RV	6	0.116
KAPLANSKY I	6	0.116
KATOK A	6	0.116
KNEBELMAN MS	6	0.116
KOHN JJ	6	0.116
KOLLAR J	6	0.116
KURANISHI M	6	0.116
LEHMER DH	6	0.116
LYUBICH M	6	0.116
MARTIN WT	6	0.116
ONO T	6	0.116
SCHMID W	6	0.116
SHIFFMAN M	6	0.116
SINGER IM	6	0.116
STONE MH	6	0.116
VEECH WA	6	0.116
VONNEUMANN J	6	0.116
WERMER J	6	0.116
WHITE B	6	0.116
