Authors	records	% of 55762
SMITH R	122	0.219
ALTMAN DG	85	0.152
WILLIAMS R	74	0.133
SMITH GD	68	0.122
JONES R	63	0.113
VALMAN HB	58	0.104
ROGERS L	53	0.095
DOLL R	52	0.093
BARKER DJP	46	0.082
DUNEA G	44	0.079
BLAND JM	42	0.075
TRUELOVE SC	41	0.074
GORE SM	39	0.070
RYAN M	39	0.070
ARONSON J	37	0.066
LAWRENCE RD	37	0.066
LEHMANN H	37	0.066
LEWIS T	37	0.066
MOTT FW	37	0.066
GOLDACRE MJ	36	0.065
HARMAN NB	35	0.063
WEBER FP	35	0.063
MACKENZIE J	33	0.059
MANT D	33	0.059
PRINGLE M	33	0.059
BESSER GM	32	0.057
GREENHALGH T	32	0.057
PETO R	32	0.057
HAMPTON JR	31	0.056
MCPHERSON K	31	0.056
SMITH S	31	0.056
WILLIAMS G	31	0.056
HAINES A	30	0.054
RHODES P	30	0.054
SMITH J	30	0.054
WATKINS PJ	30	0.054
HALL R	29	0.052
WILSON A	29	0.052
EBRAHIM S	28	0.050
FRASER R	28	0.050
GORDON W	28	0.050
HILL L	28	0.050
MAJEED A	28	0.050
MCCARRISON R	28	0.050
SMITH A	28	0.050
WESSELY S	28	0.050
ADLER MW	27	0.048
ALBERTI KGMM	27	0.048
DOUTHWAITE AH	27	0.048
KEITH A	27	0.048
OSMOND C	27	0.048
PETERS TJ	27	0.048
ROBSON AWM	27	0.048
CAMERON JS	26	0.047
HALL AJ	26	0.047
JARMAN B	26	0.047
SHOOTER RA	26	0.047
TUOMILEHTO J	26	0.047
DYER C	25	0.045
GARROD LP	25	0.045
LITTLE P	25	0.045
MARSH GN	25	0.045
RICHARDS P	25	0.045
ROBERTS I	25	0.045
ROSE G	25	0.045
SOUTTAR HS	25	0.045
WILSON J	25	0.045
WITTS LJ	25	0.045
CAMPBELL H	24	0.043
CAMPBELL S	24	0.043
CHAMBERLAIN G	24	0.043
COHEN H	24	0.043
COULTER A	24	0.043
EGGER M	24	0.043
GRAY A	24	0.043
GROVES EWH	24	0.043
MILLER H	24	0.043
SMITH H	24	0.043
VESSEY MP	24	0.043
ANDERSON J	23	0.041
BEEVERS DG	23	0.041
CASTELLANI A	23	0.041
DELAMOTHE T	23	0.041
DIXON J	23	0.041
FRY J	23	0.041
GILLON R	23	0.041
HUTCHISON R	23	0.041
KEEN H	23	0.041
KERR DNS	23	0.041
KINMONTH AL	23	0.041
PETRIE JC	23	0.041
PYKE DA	23	0.041
RAWLINS MD	23	0.041
SMITH T	23	0.041
TAYLOR J	23	0.041
THOMAS JL	23	0.041
AABY P	22	0.039
BARR J	22	0.039
BOND CJ	22	0.039
DOLLERY CT	22	0.039
GODLEE F	22	0.039
HAVARD CWH	22	0.039
LOW GC	22	0.039
MEADE TW	22	0.039
MOYNIHAN BGA	22	0.039
ROLLESTON H	22	0.039
ROWLANDS RP	22	0.039
SHAPER AG	22	0.039
SHEIKH A	22	0.039
TRUSWELL AS	22	0.039
AYLIN P	21	0.038
BERAL V	21	0.038
CAMPBELL M	21	0.038
FREEMANTLE N	21	0.038
FULLERTON A	21	0.038
GARDNER PS	21	0.038
GREEN J	21	0.038
JOHNSON AM	21	0.038
OLIVER T	21	0.038
POYNTON FJ	21	0.038
SWINSCOW TDV	21	0.038
THOROGOOD M	21	0.038
WALKER M	21	0.038
CHALMERS I	20	0.036
CHAMBERLAIN DA	20	0.036
CLARKE M	20	0.036
COOK DG	20	0.036
HARRIS W	20	0.036
JACOBS A	20	0.036
KING M	20	0.036
LEE N	20	0.036
PATON A	20	0.036
RAW N	20	0.036
ROBERTS C	20	0.036
ROLAND M	20	0.036
RUSSELL MAH	20	0.036
STRACHAN DP	20	0.036
TORGERSON DJ	20	0.036
WARLOW C	20	0.036
WILLIAMS S	20	0.036
BARON JH	19	0.034
DOUGLAS AS	19	0.034
GAISFORD W	19	0.034
GLOAG D	19	0.034
GOTZSCHE PC	19	0.034
HART FD	19	0.034
HAWTON K	19	0.034
HOWIE JGR	19	0.034
JONES L	19	0.034
LANGMAN MJS	19	0.034
PAGE CM	19	0.034
POLLOCK AM	19	0.034
RAFTERY J	19	0.034
REID J	19	0.034
RUSSELL J	19	0.034
SHERLOCK S	19	0.034
WRIGHT J	19	0.034
BEARD RW	18	0.032
BLACK J	18	0.032
BULPITT CJ	18	0.032
CAMPBELL MJ	18	0.032
CHEATLE GL	18	0.032
CLARKE JM	18	0.032
DRISCOLL PA	18	0.032
EWART W	18	0.032
GARDNER MJ	18	0.032
GROBBEE DE	18	0.032
HIPPISLEY-COX J	18	0.032
KLEIN R	18	0.032
LOWRY S	18	0.032
MACGREGOR GA	18	0.032
MARMOT MG	18	0.032
MCDONALD JC	18	0.032
MCMANUS IC	18	0.032
MILLMAN A	18	0.032
MITCHELL JRA	18	0.032
MOYNIHAN B	18	0.032
MUSHIN WW	18	0.032
NABARRO JDN	18	0.032
NICHOLSON DA	18	0.032
PARKER R	18	0.032
POLLER L	18	0.032
PRICE D	18	0.032
SALONEN JT	18	0.032
SHUSTER S	18	0.032
SORSBY A	18	0.032
THOMSON S	18	0.032
WALD NJ	18	0.032
WILSON TS	18	0.032
ANDERSON HR	17	0.030
BISHOP PMF	17	0.030
BLACK N	17	0.030
BROWN WL	17	0.030
BURN JH	17	0.030
BUXTON PK	17	0.030
CHAPMAN S	17	0.030
COUPLAND C	17	0.030
ELKINGTON AR	17	0.030
FOWLER G	17	0.030
GRANT IWB	17	0.030
HARDING RM	17	0.030
JACKSON G	17	0.030
JARRETT RJ	17	0.030
JENNETT B	17	0.030
JONES FA	17	0.030
LAKE NC	17	0.030
MILLS FJ	17	0.030
MOORHEAD JF	17	0.030
MORTON CA	17	0.030
ROBINSON R	17	0.030
ROLLESTON HD	17	0.030
RUSSELL W	17	0.030
SHELDON TA	17	0.030
STRANG J	17	0.030
TELFORD ED	17	0.030
THOMPSON SG	17	0.030
WHEELER WID	17	0.030
WRIGHT AD	17	0.030
YOUNG J	17	0.030
ARONSON JK	16	0.029
CHANARIN I	16	0.029
CHANTLER C	16	0.029
CLARKE CA	16	0.029
COOPER C	16	0.029
CURTIS JR	16	0.029
DALE HH	16	0.029
ELSTEIN M	16	0.029
EVANS DB	16	0.029
FEYERABEND C	16	0.029
FRASER J	16	0.029
FREYER PJ	16	0.029
HORT EC	16	0.029
JONES DJ	16	0.029
JOPLIN GF	16	0.029
KINMONTH JB	16	0.029
LAWLOR DA	16	0.029
LIP GYH	16	0.029
LOCKWOOD CB	16	0.029
MACKIE RM	16	0.029
MARTEAU TM	16	0.029
MAYS N	16	0.029
MILLER E	16	0.029
MOLLISON PL	16	0.029
NORDIN BEC	16	0.029
PHILLIPS AN	16	0.029
POWER D	16	0.029
REES LH	16	0.029
SHIPLEY MJ	16	0.029
WILLIAMS A	16	0.029
WILLIAMS BT	16	0.029
WILLIAMS D	16	0.029
BAILEY H	15	0.027
BOTTLE A	15	0.027
BOURNE G	15	0.027
BROADBENT W	15	0.027
BROSTER LR	15	0.027
BUIST HM	15	0.027
BUTLER TH	15	0.027
CALNE RY	15	0.027
CAMPBELL J	15	0.027
CAPEWELL S	15	0.027
COLE TJ	15	0.027
COPEMAN WSC	15	0.027
CROOKS J	15	0.027
DIXON JM	15	0.027
ELLIOT RH	15	0.027
EMERY JL	15	0.027
EVANS G	15	0.027
EVE FC	15	0.027
FAHEY T	15	0.027
FEELY J	15	0.027
GOWERS WR	15	0.027
HILL AB	15	0.027
HOFMAN A	15	0.027
HOLE DJ	15	0.027
HOTOPF M	15	0.027
HURST AF	15	0.027
JACKSON WPU	15	0.027
KERR JMM	15	0.027
LILFORD RJ	15	0.027
MANN JI	15	0.027
MARMOT M	15	0.027
MELBYE M	15	0.027
MELLANBY E	15	0.027
OGG CS	15	0.027
PALMER KNV	15	0.027
PECKHAM CS	15	0.027
POCOCK SJ	15	0.027
ROBERTS J	15	0.027
ROLAND MO	15	0.027
ROSEN M	15	0.027
SHORT AR	15	0.027
SIBBALD B	15	0.027
SUTTON JB	15	0.027
TYRRELL DAJ	15	0.027
WALKER A	15	0.027
WALKER E	15	0.027
WEBSTER J	15	0.027
WEST RR	15	0.027
WILLIAMS J	15	0.027
WOLFE JHN	15	0.027
WOODRUFF AW	15	0.027
AULD AG	14	0.025
BAIN J	14	0.025
BARKER AE	14	0.025
BAUM JD	14	0.025
BOLTON C	14	0.025
BONNAR J	14	0.025
COPE CL	14	0.025
CRAFT AW	14	0.025
DIXON WE	14	0.025
DOMINIAN J	14	0.025
DONALDSON M	14	0.025
DRUMMOND MF	14	0.025
FEDER G	14	0.025
GOLDING J	14	0.025
GOODWIN JF	14	0.025
GRAY R	14	0.025
GUNNELL D	14	0.025
HOBBS FDR	14	0.025
HOLMES G	14	0.025
HUGHES GRV	14	0.025
INMAN WHW	14	0.025
JARVIS MJ	14	0.025
JULIAN DG	14	0.025
KANIS JA	14	0.025
KHAW PT	14	0.025
LEVER AF	14	0.025
LUCAS A	14	0.025
MAYLARD AE	14	0.025
MAYNARD A	14	0.025
MCKEE M	14	0.025
MILLER R	14	0.025
MULLEY GP	14	0.025
NEWTON RW	14	0.025
OSLER W	14	0.025
PARKER G	14	0.025
PELL JP	14	0.025
RACE RR	14	0.025
ROBINSON HB	14	0.025
RUFFER MA	14	0.025
SCOTT R	14	0.025
SHAPIRO CM	14	0.025
SMITH E	14	0.025
STEWART A	14	0.025
STUDD JWW	14	0.025
THOMSON JM	14	0.025
TURNER GG	14	0.025
VEEKEN H	14	0.025
WALKER G	14	0.025
WATERS WE	14	0.025
WHITE S	14	0.025
WILKINSON JF	14	0.025
WILLCOX WH	14	0.025
WILLIAMSON RT	14	0.025
WILSON P	14	0.025
YUDKIN P	14	0.025
ACHESON ED	13	0.023
ADES AE	13	0.023
BLOOM A	13	0.023
BLOOM SR	13	0.023
BOSANQUET N	13	0.023
BRITTEN N	13	0.023
BUTLER NR	13	0.023
CAMERON HC	13	0.023
CANTLIE J	13	0.023
CHANDLER FG	13	0.023
COLLINS R	13	0.023
COOKE WE	13	0.023
CRITCHLEY M	13	0.023
DAWSON C	13	0.023
DONALDSON C	13	0.023
ECCLES WM	13	0.023
EDINGTON GH	13	0.023
EDWARDS G	13	0.023
ELWOOD PC	13	0.023
EMBREY MP	13	0.023
EVANS J	13	0.023
FRANKEL S	13	0.023
GEORGE S	13	0.023
GILL ON	13	0.023
HAM C	13	0.023
HARTOG M	13	0.023
HELLER RF	13	0.023
HOES AW	13	0.023
HUNTER W	13	0.023
HUTT MSR	13	0.023
JEFFERSON G	13	0.023
JOHNSON FH	13	0.023
JONES A	13	0.023
JONES M	13	0.023
JONES S	13	0.023
JUNG RT	13	0.023
KHAW KT	13	0.023
KINGSTON HM	13	0.023
KIVIMAKI M	13	0.023
LAMBERT TW	13	0.023
LANE WA	13	0.023
LEDINGHAM JCG	13	0.023
LEE A	13	0.023
LEON DA	13	0.023
LOGAN RFA	13	0.023
LOWBURY EJL	13	0.023
LUDMAN H	13	0.023
MACNALTY AS	13	0.023
MARSHALL J	13	0.023
MCNICOL GP	13	0.023
MOORE M	13	0.023
NAZARETH I	13	0.023
NEIL HAW	13	0.023
PALLEN M	13	0.023
PARKHOUSE J	13	0.023
PHILLIPS I	13	0.023
PLATT R	13	0.023
RANKIN G	13	0.023
RICHARDS T	13	0.023
RUCKLEY CV	13	0.023
RUSSELL IT	13	0.023
SANDERCOCK P	13	0.023
SHACKMAN R	13	0.023
SMITH G	13	0.023
SORENSEN TIA	13	0.023
SOWTON E	13	0.023
STEWART JH	13	0.023
TIMMIS AD	13	0.023
TURNER RC	13	0.023
UNGAR J	13	0.023
VARGHESE Z	13	0.023
WALD N	13	0.023
WATSON JM	13	0.023
WHINCUP PH	13	0.023
WILSON GM	13	0.023
WOOD P	13	0.023
WRIGHT AE	13	0.023
ASHBY HT	12	0.022
AUSTOKER J	12	0.022
BAKER R	12	0.022
BANATVALA JE	12	0.022
BARLING G	12	0.022
BAUM M	12	0.022
BEAGLEHOLE R	12	0.022
BELL WB	12	0.022
BLAND-SUTTON J	12	0.022
BOOTH CC	12	0.022
BROWN J	12	0.022
BROWNE D	12	0.022
BROWSE NL	12	0.022
BUTLIN HT	12	0.022
BYFORD S	12	0.022
BYWATERS EGL	12	0.022
CLARKE C	12	0.022
COPE VZ	12	0.022
CROMPTON GK	12	0.022
CROWTHER D	12	0.022
DAVIES DM	12	0.022
DEEKS JJ	12	0.022
DELAMORE IW	12	0.022
DRAPER GJ	12	0.022
DUNCAN LJP	12	0.022
ELLIS M	12	0.022
ELLIS N	12	0.022
FISHER M	12	0.022
FLEMING DM	12	0.022
GALTON DAG	12	0.022
GEDDES AM	12	0.022
GILLIS CR	12	0.022
GLASZIOU P	12	0.022
GREENE R	12	0.022
GRUNDY D	12	0.022
GUNN J	12	0.022
HANDLEY WS	12	0.022
HARDISTY RM	12	0.022
HARRIS R	12	0.022
HARVEY I	12	0.022
HAWTHORNE CO	12	0.022
HEATON KW	12	0.022
IOANNIDIS JPA	12	0.022
JACKSON R	12	0.022
JACOBS HS	12	0.022
JONES PF	12	0.022
KINLEN LJ	12	0.022
KNOX R	12	0.022
LEITCH A	12	0.022
LOWE GDO	12	0.022
LYALL A	12	0.022
MACARTHUR C	12	0.022
MACWILLIAM JA	12	0.022
MAGUIRE P	12	0.022
MALPAS JS	12	0.022
MARKS V	12	0.022
MCCONNELL RB	12	0.022
MCNEE JW	12	0.022
MEYNELL MJ	12	0.022
MOON RO	12	0.022
MOORE B	12	0.022
MORRIS J	12	0.022
MURRAY SA	12	0.022
NEWCOMBE RG	12	0.022
NICHOLL J	12	0.022
OLSEN J	12	0.022
PALLIS C	12	0.022
PARSONS V	12	0.022
PARVING HH	12	0.022
PLATTS MM	12	0.022
PORTAL RW	12	0.022
POWER C	12	0.022
PUSKA P	12	0.022
RAMSAY AM	12	0.022
RAMSAY LE	12	0.022
RAVEN RW	12	0.022
REES J	12	0.022
REYNOLDS EH	12	0.022
ROSS R	12	0.022
ROWE B	12	0.022
SALISBURY C	12	0.022
SAUNDBY R	12	0.022
SCADDING JG	12	0.022
SLEIGHT P	12	0.022
SMITH P	12	0.022
SORENSEN HT	12	0.022
SOUTHALL DP	12	0.022
SPENCER J	12	0.022
STOPFORD JSB	12	0.022
SWYER GIM	12	0.022
TAYLOR G	12	0.022
THOMPSON M	12	0.022
TILLEY H	12	0.022
TUBBY AH	12	0.022
TURNBULL AC	12	0.022
VESSEY M	12	0.022
VIBERTI GC	12	0.022
WALLACE C	12	0.022
WARD MK	12	0.022
WARLOW CP	12	0.022
WHITEHEAD M	12	0.022
WHITFIELD H	12	0.022
WILLIAMS JD	12	0.022
WILSON C	12	0.022
ADAM J	11	0.020
ANDERSON T	11	0.020
ASBURY AJ	11	0.020
BALARAJAN R	11	0.020
BARNES J	11	0.020
BENTOVIM A	11	0.020
BERTWISTLE AP	11	0.020
BETTLEY FR	11	0.020
BEVAN G	11	0.020
BEWICK M	11	0.020
BRAILSFORD JF	11	0.020
BROWN G	11	0.020
BROWN R	11	0.020
BROWNING CH	11	0.020
BULMER E	11	0.020
CAMPBELL D	11	0.020
CARNE S	11	0.020
CHRISTIE RV	11	0.020
CROMBIE IK	11	0.020
CROSS KW	11	0.020
DAVIES HM	11	0.020
DAVIES M	11	0.020
DEDOMBAL FT	11	0.020
DONIACH D	11	0.020
DUDLEY HAF	11	0.020
ECCLES M	11	0.020
ELLIOTT P	11	0.020
ELTON RA	11	0.020
EVANS KT	11	0.020
EVANS M	11	0.020
FIELD EJ	11	0.020
FINN R	11	0.020
FITZPATRICK R	11	0.020
FITZWILLIAMS DCL	11	0.020
FORBES A	11	0.020
GAZET JC	11	0.020
GIRDLESTONE GR	11	0.020
GOLIGHER JC	11	0.020
GOODALL JS	11	0.020
GORDON MH	11	0.020
GORDON RG	11	0.020
GRANT J	11	0.020
GRAY HMW	11	0.020
GRIFFITHS J	11	0.020
GRIST NR	11	0.020
HALDANE JS	11	0.020
HARNDEN A	11	0.020
HARRIS CM	11	0.020
HENRY J	11	0.020
HERXHEIMER A	11	0.020
HOCKADAY TDR	11	0.020
HORDER T	11	0.020
HUBBLE D	11	0.020
HUGHES B	11	0.020
HUTCHINSON A	11	0.020
JICK H	11	0.020
JONES NF	11	0.020
JONES RW	11	0.020
KAY HEM	11	0.020
KENNEDY R	11	0.020
KIRMAN BH	11	0.020
LAW MR	11	0.020
LEESE B	11	0.020
LESLIE RDG	11	0.020
MACFARLANE A	11	0.020
MACHIN D	11	0.020
MACLEOD J	11	0.020
MANSON JS	11	0.020
MARTIN CJ	11	0.020
MARTIN JP	11	0.020
MASON S	11	0.020
MCMICHAEL J	11	0.020
MILLER J	11	0.020
MOONEY GH	11	0.020
MORLEY J	11	0.020
MORRELL DC	11	0.020
MOULLIN CM	11	0.020
NEWTON J	11	0.020
NICOL CS	11	0.020
NICOLL A	11	0.020
NISSINEN A	11	0.020
OAKESHOTT P	11	0.020
OAKLEY W	11	0.020
OSWALD I	11	0.020
PARISH HJ	11	0.020
PERKINS FT	11	0.020
PRESCOTT LF	11	0.020
RAFTERY EB	11	0.020
READ AE	11	0.020
ROBERTS JAF	11	0.020
ROBERTSON JIS	11	0.020
RUSSELL WR	11	0.020
SARGANT W	11	0.020
SCOTT JS	11	0.020
SIMPSON SL	11	0.020
SMEETH L	11	0.020
SMELLIE JM	11	0.020
SMITH KS	11	0.020
SPIERS ASD	11	0.020
STOCKMAN R	11	0.020
TAYLOR KW	11	0.020
THORNICROFT G	11	0.020
TOMKINSON JG	11	0.020
TYRER P	11	0.020
WAKEFORD R	11	0.020
WALKER JH	11	0.020
WALKER W	11	0.020
WALTON J	11	0.020
WARD E	11	0.020
WARIN RP	11	0.020
WARNER G	11	0.020
WARRELL DA	11	0.020
WASS JAH	11	0.020
WATSON C	11	0.020
WHITEHEAD MI	11	0.020
WHITTY CJM	11	0.020
WILCOX RG	11	0.020
WILKINSON P	11	0.020
WILLCOX RR	11	0.020
WILSON JA	11	0.020
WILSON S	11	0.020
WILSON T	11	0.020
WILSON WJ	11	0.020
WING AJ	11	0.020
WOODROW JC	11	0.020
WRIGHT N	11	0.020
YEATES D	11	0.020
YOUNG A	11	0.020
ABER CP	10	0.018
ADAMS AW	10	0.018
ADAMS J	10	0.018
APPLEBY L	10	0.018
BAILLOD RA	10	0.018
BARBER M	10	0.018
BEST CH	10	0.018
BLACK D	10	0.018
BLOOR K	10	0.018
BONNEY V	10	0.018
BRETTLE RP	10	0.018
BRIGGS M	10	0.018
BROWN A	10	0.018
BROWN D	10	0.018
BURGESS AH	10	0.018
CAMMIDGE PJ	10	0.018
CARROLL D	10	0.018
CHINN S	10	0.018
COX AG	10	0.018
CROFTON J	10	0.018
CUNLIFFE WJ	10	0.018
DANDONA P	10	0.018
DAVIDSON LSP	10	0.018
DAVIES MJ	10	0.018
DAVIS M	10	0.018
DAWSON PENN	10	0.018
DEAN G	10	0.018
DEARY IJ	10	0.018
DENNIS M	10	0.018
DICK GWA	10	0.018
DIXON M	10	0.018
DODD H	10	0.018
DODDS EC	10	0.018
DUDGEON JA	10	0.018
DUNN N	10	0.018
EDWARDS A	10	0.018
EMERSON PA	10	0.018
EYKYN SJ	10	0.018
FAIRLEY GH	10	0.018
FLENLEY DC	10	0.018
FLETCHER J	10	0.018
FLINT ER	10	0.018
FORBES CD	10	0.018
FORBES G	10	0.018
FORD I	10	0.018
FORFAR JO	10	0.018
FOSS GL	10	0.018
FRASER RC	10	0.018
GAMBLE DR	10	0.018
GIBSON R	10	0.018
GIRDWOOD RH	10	0.018
GOLDBERG A	10	0.018
GRAY DP	10	0.018
GREEN HN	10	0.018
GRIMSHAW J	10	0.018
HALL MH	10	0.018
HARRIES DJ	10	0.018
HARRIS JRW	10	0.018
HAWKEY CJ	10	0.018
HAWKING F	10	0.018
HOPE T	10	0.018
HOUSE A	10	0.018
HOWIE PW	10	0.018
IKIN EW	10	0.018
IRWIG L	10	0.018
JAMES D	10	0.018
JEFFCOATE TNA	10	0.018
JONES J	10	0.018
JORDAN AC	10	0.018
KAKKAR VV	10	0.018
KEYNES G	10	0.018
KORENCHEVSKY V	10	0.018
KUMAR S	10	0.018
KURINCZUK JJ	10	0.018
KURTH T	10	0.018
LEWIS B	10	0.018
LISTER TA	10	0.018
MARSDEN AK	10	0.018
MARTIN P	10	0.018
MARTIN S	10	0.018
MARTIN WJ	10	0.018
MAXWELL JD	10	0.018
MCCANN FJ	10	0.018
MCVAIL JC	10	0.018
MEADOW R	10	0.018
MILLER CL	10	0.018
MORRIS F	10	0.018
MORRIS JK	10	0.018
MORRIS M	10	0.018
MOURANT AE	10	0.018
MUIR J	10	0.018
MUNRO DD	10	0.018
MUNRO JF	10	0.018
MURRAY EF	10	0.018
MURRAY GD	10	0.018
NEUBERGER J	10	0.018
NORTHFIELD TC	10	0.018
OGILVIE H	10	0.018
OLIVER MF	10	0.018
OLLERENSHAW R	10	0.018
PALMER SR	10	0.018
PEART WS	10	0.018
PHILLIPS A	10	0.018
PICKEN RMF	10	0.018
POPE C	10	0.018
PRESCOTT RJ	10	0.018
PRICE FW	10	0.018
PRICE J	10	0.018
REYNOLDS DJM	10	0.018
ROBERTS CJ	10	0.018
ROBERTS D	10	0.018
ROBERTSON JR	10	0.018
SCOTT A	10	0.018
SCOTT RB	10	0.018
SHAW J	10	0.018
SHEPPARD PM	10	0.018
SIMPSON J	10	0.018
SKAKKEBAEK NE	10	0.018
SKEGG DCG	10	0.018
SMITH M	10	0.018
SOLOMONS B	10	0.018
SOUTHAM AH	10	0.018
SPENCE AW	10	0.018
SPENCER HR	10	0.018
STEPHENS GA	10	0.018
STOCKS P	10	0.018
TEDDER RS	10	0.018
THOMAS DJ	10	0.018
THOMAS S	10	0.018
THORNTON JG	10	0.018
TUNSTALLPEDOE H	10	0.018
WALKER KM	10	0.018
WALSHE FMR	10	0.018
WHITE WH	10	0.018
WHITTLE HC	10	0.018
WILKINSON WC	10	0.018
WILLIAMS P	10	0.018
WISE R	10	0.018
WOOD C	10	0.018
WOODS RS	10	0.018
YORKE W	10	0.018
YOUNG G	10	0.018
YUDKIN JS	10	0.018
AIRD I	9	0.016
ANDERSON DC	9	0.016
ANDERSON R	9	0.016
ARMSTRONG D	9	0.016
ATKINSON M	9	0.016
AVERY AJ	9	0.016
BAGSHAWE KD	9	0.016
BAIN DJG	9	0.016
BALFOUR A	9	0.016
BANKART ASB	9	0.016
BARNES AD	9	0.016
BARNETT AH	9	0.016
BASKETT PJF	9	0.016
BATTY GD	9	0.016
BENNETT J	9	0.016
BINDER C	9	0.016
BOWLBY A	9	0.016
BROWN H	9	0.016
BRUCE D	9	0.016
BURTON JL	9	0.016
CHALMERS J	9	0.016
CHISHOLM GD	9	0.016
CLARK AJ	9	0.016
CLARKE A	9	0.016
CLARKE BF	9	0.016
CLARKE J	9	0.016
COLE PP	9	0.016
COLEBROOK L	9	0.016
COLLIER J	9	0.016
COOK GC	9	0.016
COOKE WT	9	0.016
COOPER J	9	0.016
COTTON PB	9	0.016
COURT D	9	0.016
CROFT DN	9	0.016
CROFT P	9	0.016
CRUICKSHANK R	9	0.016
DALE H	9	0.016
DALE J	9	0.016
DARBY SC	9	0.016
DAVIDSON JM	9	0.016
DAVIES DP	9	0.016
DAVIES P	9	0.016
DECOCK KM	9	0.016
DIEPPE P	9	0.016
DOHERTY M	9	0.016
