Authors	records	% of 14240
BALTIMORE D	66	0.463
MANIATIS T	58	0.407
AXEL R	56	0.393
RUBIN GM	55	0.386
ROEDER RG	49	0.344
SHARP PA	49	0.344
TJIAN R	48	0.337
KARIN M	47	0.330
JAENISCH R	46	0.323
WEINTRAUB H	46	0.323
KLECKNER N	44	0.309
ZHANG Y	42	0.295
LEDER P	39	0.274
LIVINGSTON DM	39	0.274
EVANS RM	38	0.267
JESSELL TM	38	0.267
GOLDSTEIN JL	37	0.260
KANDEL ER	37	0.260
LANDER ES	37	0.260
TONEGAWA S	37	0.260
WEINBERG RA	37	0.260
BROWN MS	36	0.253
CHAMBON P	36	0.253
FUCHS E	36	0.253
NASMYTH K	36	0.253
GREEN H	35	0.246
ROSENFELD MG	35	0.246
YOUNG RA	35	0.246
GOODMAN CS	34	0.239
ALT FW	33	0.232
KIRSCHNER MW	33	0.232
MASSAGUE J	33	0.232
ROSBASH M	33	0.232
WEISSMAN JS	33	0.232
BISHOP JM	32	0.225
HUNTER T	32	0.225
KURIYAN J	32	0.225
TEMPST P	32	0.225
GUARENTE L	31	0.218
GYGI SP	31	0.218
JAN LY	31	0.218
JAN YN	31	0.218
FLAVELL RA	30	0.211
HOOD L	30	0.211
LODISH HF	30	0.211
PENMAN S	30	0.211
SPIEGELMAN BM	30	0.211
VARMUS HE	30	0.211
HARTL FU	29	0.204
PASTAN I	29	0.204
REGEV A	29	0.204
SCHLESSINGER J	29	0.204
WANG J	29	0.204
LEE S	28	0.197
BLOBEL G	27	0.190
BROWN DD	27	0.190
GREEN MR	27	0.190
LI Y	27	0.190
ROTHMAN JE	27	0.190
VALE RD	27	0.190
WIGLER M	27	0.190
KIM J	26	0.183
LINDQUIST S	26	0.183
LIU J	26	0.183
MAK TW	26	0.183
MANN M	26	0.183
ORCI L	26	0.183
SHI Y	26	0.183
YATES JR	26	0.183
CECH TR	25	0.176
FINK GR	25	0.176
HORVITZ HR	25	0.176
SUDHOF TC	25	0.176
CANTLEY LC	24	0.169
DARNELL JE	24	0.169
GRAF T	24	0.169
HYNES RO	24	0.169
LEE J	24	0.169
MIZUUCHI K	24	0.169
NURSE P	24	0.169
RAPOPORT TA	24	0.169
WEISSMAN IL	24	0.169
ALLIS CD	23	0.162
ANDERSON DJ	23	0.162
GLASS CK	23	0.162
PALMITER RD	23	0.162
PAWSON T	23	0.162
PTASHNE M	23	0.162
BEACH D	22	0.154
CHEN J	22	0.154
CHEN Y	22	0.154
MELTON DA	22	0.154
NOMURA M	22	0.154
CHIN L	21	0.147
DAVIDSON N	21	0.147
DEPINHO RA	21	0.147
ELLEDGE SJ	21	0.147
ERDJUMENT-BROMAGE H	21	0.147
JACKS T	21	0.147
KORNBERG RD	21	0.147
LAMBOWITZ AM	21	0.147
MELLO CC	21	0.147
NUSSENZWEIG MC	21	0.147
ORKIN SH	21	0.147
SCHIBLER U	21	0.147
STEITZ JA	21	0.147
WANG L	21	0.147
WANG Y	21	0.147
BARGMANN CI	20	0.140
BASLER K	20	0.140
BEUG H	20	0.140
CLEVELAND DW	20	0.140
DEROBERTIS EM	20	0.140
LIU Y	20	0.140
MATHIS D	20	0.140
SHERR CJ	20	0.140
ZHANG F	20	0.140
ZHANG J	20	0.140
ZIPURSKY SL	20	0.140
BELLEN HJ	19	0.133
BENOIST C	19	0.133
CHEN L	19	0.133
COHEN SN	19	0.133
HERSKOWITZ I	19	0.133
HOGNESS DS	19	0.133
LI W	19	0.133
MARRACK P	19	0.133
NEUPERT W	19	0.133
SCHEDL P	19	0.133
SCHELLER RH	19	0.133
STRUHL G	19	0.133
WANG XD	19	0.133
WRANA JL	19	0.133
BLACKBURN EH	18	0.126
BORST P	18	0.126
GEHRING WJ	18	0.126
HARRISON SC	18	0.126
HYMAN AA	18	0.126
LAZARIDES E	18	0.126
MANLEY JL	18	0.126
MARTIN GR	18	0.126
MCKNIGHT SL	18	0.126
PANDOLFI PP	18	0.126
PERRY RP	18	0.126
REED SI	18	0.126
VERMA IM	18	0.126
WANG JC	18	0.126
WU C	18	0.126
ZAMORE PD	18	0.126
ZHANG H	18	0.126
AARONSON SA	17	0.119
BRONSON RT	17	0.119
CLEVERS H	17	0.119
COPELAND NG	17	0.119
ECKER JR	17	0.119
EMR SD	17	0.119
FIRTEL RA	17	0.119
GETZ G	17	0.119
HABER DA	17	0.119
KAFATOS FC	17	0.119
KARSENTY G	17	0.119
MATTAJ IW	17	0.119
MEYERSON M	17	0.119
PRUSINER SB	17	0.119
REICH E	17	0.119
ROBERTS TM	17	0.119
SANDER C	17	0.119
SCHEKMAN R	17	0.119
SHENK T	17	0.119
SHI YG	17	0.119
STRUHL K	17	0.119
TESSIER-LAVIGNE M	17	0.119
WANG H	17	0.119
WEST SC	17	0.119
YANCOPOULOS GD	17	0.119
ZUKER CS	17	0.119
DALEY GQ	16	0.112
FELSENFELD G	16	0.112
GOFF SP	16	0.112
GREENBERG ME	16	0.112
HARPER JW	16	0.112
HIROKAWA N	16	0.112
LASKEY RA	16	0.112
LOSICK R	16	0.112
MALHOTRA V	16	0.112
NEVINS JR	16	0.112
PENNINGER JM	16	0.112
REINBERG D	16	0.112
ROEDER GS	16	0.112
SCHREIBER SL	16	0.112
SEIDMAN JG	16	0.112
SHAPIRO L	16	0.112
SHEETZ MP	16	0.112
STEITZ TA	16	0.112
WU H	16	0.112
ZHANG W	16	0.112
AEBERSOLD R	15	0.105
AMHERDT M	15	0.105
BAKER TA	15	0.105
BARTEL DP	15	0.105
BOEKE JD	15	0.105
BRINSTER RL	15	0.105
DEISSEROTH K	15	0.105
DUNPHY WG	15	0.105
EFSTRATIADIS A	15	0.105
GRUNSTEIN M	15	0.105
GRUSS P	15	0.105
GUTHRIE C	15	0.105
HIRANO T	15	0.105
KROGAN NJ	15	0.105
LI L	15	0.105
LIM WA	15	0.105
LITTMAN DR	15	0.105
LOWE SW	15	0.105
RAJEWSKY K	15	0.105
