Authors	records	% of 2154
KURTHS J	74	3.435
WANG J	35	1.625
DENG B	26	1.207
OTT E	24	1.114
CHEN GR	23	1.068
SMALL M	22	1.021
WEI XL	21	0.975
LAI YC	19	0.882
AIHARA K	18	0.836
YU HT	18	0.836
DANA SK	17	0.789
MALOMED BA	17	0.789
HALLER G	15	0.696
HIRATA Y	14	0.650
TANG M	13	0.604
LEHNERTZ K	12	0.557
LETELLIER C	12	0.557
PARMANANDA P	12	0.557
SCHOLL E	12	0.557
LIU C	11	0.511
YAN ZY	11	0.511
ANTONSEN TM	10	0.464
LIU Y	10	0.464
PORTER MA	10	0.464
ZHAN M	10	0.464
CARROLL TL	9	0.418
DONNER RV	9	0.418
GIRVAN M	9	0.418
GREBOGI C	9	0.418
KAPITANIAK T	9	0.418
PERC M	9	0.418
PIKOVSKY A	9	0.418
WANG L	9	0.418
WU XQ	9	0.418
XU W	9	0.418
BOLLT EM	8	0.371
CAI SM	8	0.371
CRIADO R	8	0.371
CRUTCHFIELD JP	8	0.371
FU XC	8	0.371
HOU ZH	8	0.371
KOFANE TC	8	0.371
LAKSHMANAN M	8	0.371
LEONEL ED	8	0.371
LU JA	8	0.371
PALUS M	8	0.371
PRASAD A	8	0.371
ROMANCE M	8	0.371
SORRENTINO F	8	0.371
WANG WX	8	0.371
WANG XY	8	0.371
BERENSTEIN I	7	0.325
BOCCALETTI S	7	0.325
CHERRY EM	7	0.325
DE WIT A	7	0.325
DETTMANN CP	7	0.325
EPSTEIN IR	7	0.325
GHOSH D	7	0.325
GLASS L	7	0.325
GOTODA H	7	0.325
GRIGORIEV RO	7	0.325
KISS IZ	7	0.325
LU JH	7	0.325
MACAU EEN	7	0.325
MINATI L	7	0.325
PARLITZ U	7	0.325
SANJUAN MAF	7	0.325
SUJITH RI	7	0.325
SUN YZ	7	0.325
TIMME M	7	0.325
WOLFRUM M	7	0.325
YANCHUK S	7	0.325
YANG XL	7	0.325
ZAKHAROVA A	7	0.325
ZOU W	7	0.325
ANISHCHENKO VS	6	0.279
BANERJEE T	6	0.279
BAPTISTA MS	6	0.279
BEIMS MW	6	0.279
BLAKELY JN	6	0.279
BRADLEY E	6	0.279
CAO JD	6	0.279
CHAN WL	6	0.279
CHEN HS	6	0.279
CORRON NJ	6	0.279
DITTO WL	6	0.279
FRASCA M	6	0.279
FROYLAND G	6	0.279
GOTTWALD GA	6	0.279
LI W	6	0.279
LIU ZH	6	0.279
LUTHER S	6	0.279
MAHONEY JR	6	0.279
MARWAN N	6	0.279
MUCHA PJ	6	0.279
OSIPOV GV	6	0.279
PORFIRI M	6	0.279
RAMASWAMY R	6	0.279
RESTREPO JG	6	0.279
SENTHILKUMAR DV	6	0.279
SINHA S	6	0.279
SUN ZK	6	0.279
TANG Y	6	0.279
THIEL M	6	0.279
TSANG KM	6	0.279
XU Y	6	0.279
ZHANG J	6	0.279
ZOU Y	6	0.279
AGUIRRE LA	5	0.232
BHOWMICK SK	5	0.232
CALDAS IL	5	0.232
CARATI A	5	0.232
CHE YQ	5	0.232
CZECHOWSKI Z	5	0.232
DUANE GS	5	0.232
ELLISON CJ	5	0.232
FANG JA	5	0.232
FARAZMAND M	5	0.232
FENTON FH	5	0.232
FEUDEL U	5	0.232
FORTUNA L	5	0.232
FUJIWARA N	5	0.232
GALGANI L	5	0.232
GAO QY	5	0.232
GAUTHIER DJ	5	0.232
GOMEZ-GARDENES J	5	0.232
GU CG	5	0.232
HADZIEVSKI L	5	0.232
