Authors	records	% of 3483
ATHANS M	37	1.062
KOKOTOVIC PV	28	0.804
KAILATH T	26	0.746
WILLEMS JC	23	0.660
WILLSKY AS	23	0.660
DAVISON EJ	22	0.632
KUSHNER HJ	22	0.632
HO YC	21	0.603
KHARGONEKAR PP	21	0.603
KUMAR PR	21	0.603
LJUNG L	20	0.574
GLOVER K	19	0.546
PEARSON JB	17	0.488
SILJAK DD	17	0.488
WONHAM WM	17	0.488
DAHLEH MA	16	0.459
GUO L	16	0.459
MORSE AS	16	0.459
NARENDRA KS	16	0.459
SPEYER JL	16	0.459
ZAMES G	16	0.459
GOODWIN GC	15	0.431
TSITSIKLIS JN	15	0.431
BASAR T	14	0.402
BERNSTEIN DS	14	0.402
BERTSEKAS DP	14	0.402
BROCKETT RW	14	0.402
ISIDORI A	14	0.402
KREISSELMEIER G	14	0.402
SHAKED U	14	0.402
BHATTACHARYYA SP	13	0.373
CHEN J	13	0.373
DESOER CA	13	0.373
FRANCIS BA	13	0.373
LAUB AJ	13	0.373
RUGH WJ	13	0.373
ANDERSON BDO	12	0.345
BARSHALOM Y	12	0.345
BYRNES CI	12	0.345
ELLIOTT RJ	12	0.345
KHALIL HK	12	0.345
KRSTIC M	12	0.345
MARCUS SI	12	0.345
MAYNE DQ	12	0.345
POLAK E	12	0.345
TSE E	12	0.345
VARAIYA P	12	0.345
BENVENISTE A	11	0.316
CRUZ JB	11	0.316
FU MY	11	0.316
LAFORTUNE S	11	0.316
MICHEL AN	11	0.316
RHODES IB	11	0.316
SABERI A	11	0.316
SILVERMAN LM	11	0.316
DOYLE JC	10	0.287
GILBERT EG	10	0.287
HADDAD WM	10	0.287
IOANNOU PA	10	0.287
LUENBERGER DG	10	0.287
MARINO R	10	0.287
MEERKOV SM	10	0.287
MEHRA RK	10	0.287
MENDEL JM	10	0.287
SANDELL NR	10	0.287
TARN TJ	10	0.287
TENEKETZIS D	10	0.287
BARAM Y	9	0.258
CASSANDRAS CG	9	0.258
CHARALAMBOUS CD	9	0.258
CHEN HF	9	0.258
LAM J	9	0.258
LEVY BC	9	0.258
LOPARO KA	9	0.258
MORF M	9	0.258
MOSCA E	9	0.258
ORTEGA R	9	0.258
PINTELON R	9	0.258
SANNUTI P	9	0.258
SCHOUKENS J	9	0.258
SKELTON RE	9	0.258
SONTAG ED	9	0.258
SZNAIER M	9	0.258
TEMPO R	9	0.258
VIDYASAGAR M	9	0.258
BONGIORNO JJ	8	0.230
CAINES PE	8	0.230
CASTANON DA	8	0.230
FREUDENBERG JS	8	0.230
GEORGIOU TT	8	0.230
GEROMEL JC	8	0.230
HA IJ	8	0.230
HOSOE S	8	0.230
JURY EI	8	0.230
KUMAR R	8	0.230
LOZANO R	8	0.230
LUH JYS	8	0.230
MAREELS IMY	8	0.230
MOORE JB	8	0.230
OZGULER AB	8	0.230
OZGUNER U	8	0.230
PETERSEN IR	8	0.230
REKASIUS ZV	8	0.230
SARIDIS GN	8	0.230
SCHUMACHER JM	8	0.230
SOH YC	8	0.230
STEIN G	8	0.230
