Authors	records	% of 29804
ANDREWS L	199	0.668
ZHOU MF	134	0.450
LESZCZYNSKI J	126	0.423
FRANCISCO JS	117	0.393
SCHAEFER HF	114	0.382
ELGUERO J	108	0.362
DIXON DA	104	0.349
ALKORTA I	102	0.342
NGUYEN MT	102	0.342
GORDON MS	101	0.339
WALLINGTON TJ	92	0.309
SUN CC	90	0.302
WANG XF	90	0.302
KLIPPENSTEIN SJ	86	0.289
LIN MC	85	0.285
BOZZELLI JW	79	0.265
MEBEL AM	78	0.262
VARANDAS AJC	77	0.258
TRUHLAR DG	74	0.248
FAUSTO R	72	0.242
DEL BENE JE	71	0.238
FUJITSUKA M	69	0.232
GUILLEMIN JC	68	0.228
HUPPERT D	66	0.221
KJAERGAARD HG	66	0.221
MOLLENDAL H	65	0.218
VIGGIANO AA	62	0.208
YANEZ M	62	0.208
ARMENTROUT PB	61	0.205
LI QS	60	0.201
OHNO K	60	0.201
GODDARD WA	59	0.198
BOWMAN JM	57	0.191
ITO O	57	0.191
KAISER RI	57	0.191
WANG LS	57	0.191
ZWIER TS	57	0.191
GEERLINGS P	56	0.188
MO O	56	0.188
LI J	55	0.185
HURLEY MD	53	0.178
LEONE SR	53	0.178
OOMENS J	53	0.178
GUO H	52	0.174
RAVISHANKARA AR	52	0.174
WANG Y	52	0.174
TAKAHASHI K	51	0.171
CASTLEMAN AW	50	0.168
FUJII A	50	0.168
HOFFMANN MR	50	0.168
SCHATZ GC	50	0.168
TAATJES CA	49	0.164
FUKUZUMI S	48	0.161
HAN KL	48	0.161
MCCOY AB	48	0.161
WANG J	48	0.161
TROE J	47	0.158
BAER T	46	0.154
WANG XB	46	0.154
DELLA VEDOVA CO	45	0.151
HASE WL	45	0.151
PHILLIPS DL	45	0.151
STANTON JF	45	0.151
BURKHOLDER JB	44	0.148
DE PROFT F	44	0.148
LIN SH	44	0.148
MAJIMA T	44	0.148
RADOM L	44	0.148
WASIELEWSKI MR	44	0.148
KNYAZEV VD	43	0.144
LI ZS	43	0.144
MIKAMI N	43	0.144
PLATZ MS	43	0.144
ZHANG Y	43	0.144
LEE EPF	42	0.141
LI Y	42	0.141
VAUTHEY E	42	0.141
ZHAO Y	42	0.141
CHATTARAJ PK	41	0.138
HARDING LB	41	0.138
LIU Y	41	0.138
PETERSON KA	41	0.138
TORO-LABBE A	41	0.138
VAN DUIN ACT	41	0.138
ZHANG H	41	0.138
BAUSCHLICHER CW	40	0.134
DING YH	40	0.134
JOHNSON MA	40	0.134
MAIER JP	40	0.134
GE MF	39	0.131
HUANG XR	39	0.131
MAVRIDIS A	39	0.131
MIKKELSEN KV	39	0.131
SCHEINER S	39	0.131
SETSER DW	39	0.131
WANG F	39	0.131
LAANE J	38	0.127
NIELSEN OJ	38	0.127
PARK J	38	0.127
REID JP	38	0.127
SCHLEGEL HB	38	0.127
CAMINATI W	37	0.124
DUNCAN MA	37	0.124
GONG Y	37	0.124
HEAD-GORDON M	37	0.124
MARSHALL P	37	0.124
MILLER JA	37	0.124
MOROKUMA K	37	0.124
