Authors	records	% of 115363
CAMPBELL H	84	0.073
MACGREGOR GA	75	0.065
MARSH F	74	0.064
WEBER FP	71	0.062
SOPHIAN J	68	0.059
BAUM M	67	0.058
BURCH PRJ	66	0.057
PETO R	64	0.055
WARDLE EN	61	0.053
WILLIAMS R	61	0.053
EDWARDS JH	57	0.049
HURST AF	57	0.049
SMITH A	54	0.047
WALKER ARP	54	0.047
WATTS GT	54	0.047
CHALMERS I	53	0.046
GRIST NR	53	0.046
GLATT MM	52	0.045
OLIVER MF	52	0.045
CRAFT I	51	0.044
LAYTON TB	51	0.044
BARLOW T	49	0.042
BROCK DJH	49	0.042
LITTLE EG	49	0.042
BRAILSFORD JF	48	0.042
CRAWFORD JP	47	0.041
TURNER P	47	0.041
CAMERON JS	46	0.040
YEARSLEY M	46	0.040
COMFORT A	45	0.039
HILL L	45	0.039
PARAMORE RH	45	0.039
HORROBIN DF	44	0.038
OBRIEN JR	44	0.038
WARD G	44	0.038
JARRETT RJ	43	0.037
FIELD EJ	42	0.036
JELLIFFE DB	42	0.036
LIBRACH IM	42	0.036
PAULLEY JW	42	0.036
SHUSTER S	42	0.036
SMITH GD	42	0.036
FALLON RJ	41	0.036
HERFORD MEM	41	0.036
KEEN H	41	0.036
WHITEFORD CH	41	0.036
WISE R	41	0.036
YUDKIN J	41	0.036
CROOKSHANK FG	40	0.035
GARDNER LI	40	0.035
MARSDEN CD	40	0.035
HUBBLE D	39	0.034
JACKSON LN	39	0.034
JOHN TJ	39	0.034
MCKEE M	39	0.034
SMITH H	39	0.034
WALD N	39	0.034
BARON JH	38	0.033
CAMPBELL S	38	0.033
COLLINS R	38	0.033
ELWOOD PC	38	0.033
HARRIS R	38	0.033
JONES R	38	0.033
OPIE LH	38	0.033
PRESTON NW	38	0.033
STEWART GT	38	0.033
BLOOM SR	37	0.032
COUROUCE AM	37	0.032
DAVIS JA	37	0.032
DYKE SC	37	0.032
HERXHEIMER A	37	0.032
JONES FA	37	0.032
JOULES H	37	0.032
WACHTER H	37	0.032
CLEAVE TL	36	0.031
FRY J	36	0.031
POYNTON FJ	36	0.031
ROSNER F	36	0.031
BAYLY HW	35	0.030
COHEN J	35	0.030
CRAWFORD JS	35	0.030
DUNN PM	35	0.030
FOWLER PBS	35	0.030
WALD NJ	35	0.030
WILLIAMS B	35	0.030
JAMES WH	34	0.029
JOHNSON HD	34	0.029
LOXTON GE	34	0.029
MORRIS JN	34	0.029
MURRAY DS	34	0.029
RYLE JA	34	0.029
SCOTT JS	34	0.029
ABRAHAMS A	33	0.029
DOLL R	33	0.029
GILSTON A	33	0.029
GORDON AK	33	0.029
JENNINGS D	33	0.029
KAMI M	33	0.029
LAWRENCE RD	33	0.029
ROWE B	33	0.029
WALSHE JM	33	0.029
WILSON J	33	0.029
BANATVALA JE	32	0.028
BELL WB	32	0.028
MACKEITH R	32	0.028
MURLEY RS	32	0.028
YUDKIN JS	32	0.028
YUSUF S	32	0.028
BARKER JC	31	0.027
BERAL V	31	0.027
DONALDSON M	31	0.027
GREENE R	31	0.027
HERXHEIMER H	31	0.027
LEESON H	31	0.027
LENNOX B	31	0.027
MOORE N	31	0.027
PIKE MC	31	0.027
RUSS S	31	0.027
WALKERSMITH JA	31	0.027
WATSON C	31	0.027
WITH TK	31	0.027
ATKIN I	30	0.026
BATTEN LW	30	0.026
BURTON JL	30	0.026
COLEBROOK L	30	0.026
DIGGORY P	30	0.026
DODD H	30	0.026
FREEMAN R	30	0.026
GAJDUSEK DC	30	0.026
GOLDMAN JM	30	0.026
HOBBS JR	30	0.026
JENNETT B	30	0.026
LEAROYD CG	30	0.026
LEFRERE JJ	30	0.026
LEYS D	30	0.026
MARKS V	30	0.026
MCPHERSON K	30	0.026
MILLARD CK	30	0.026
ROBERTS I	30	0.026
WALSHE FMR	30	0.026
BATESON MC	29	0.025
BLAU JN	29	0.025
BREEN GE	29	0.025
DANDONA P	29	0.025
FUCHS D	29	0.025
