Authors	records	% of 2500
GADNER H	26	1.040
DANGIO GJ	23	0.920
PRATT CB	23	0.920
FRIEDMAN HS	22	0.880
LEMERLE J	20	0.800
MASERA G	18	0.720
MEADOWS AT	17	0.680
RANEY RB	17	0.680
CARLI M	16	0.640
CRIST WM	16	0.640
FLAMANT F	16	0.640
GREEN DM	16	0.640
BERRY DH	15	0.600
GOBEL U	14	0.560
HARMS D	14	0.560
NESBIT ME	14	0.560
PERILONGO G	14	0.560
SCHULER D	14	0.560
ARICO M	13	0.520
BUYUKPAMUKCU M	13	0.520
COPPES MJ	13	0.520
JAFFE N	13	0.520
BLEYER WA	12	0.480
CRAFT AW	12	0.480
EVANS AE	12	0.480
HAMMOND GD	12	0.480
JANKOVIC M	12	0.480
KALIFA C	12	0.480
KAMPS WA	12	0.480
PUI CH	12	0.480
SATHER H	12	0.480
URBAN C	12	0.480
BLATT J	11	0.440
BROADBENT V	11	0.440
HAMMOND D	11	0.440
HENDERSON ES	11	0.440
HOLLAND JF	11	0.440
JURGENS H	11	0.440
RECHAVI G	11	0.440
CASTELLO MA	10	0.400
CECCHETTO G	10	0.400
DEKRAKER J	10	0.400
EDEN OB	10	0.400
FURMAN WL	10	0.400
GATTAMANENI HR	10	0.400
HALL TC	10	0.400
HARTMANN O	10	0.400
IMASHUKU S	10	0.400
KENNEDY BJ	10	0.400
KUN LE	10	0.400
LANNING M	10	0.400
MANDEL M	10	0.400
MASTRANGELO R	10	0.400
MULHERN RK	10	0.400
PAOLUCCI G	10	0.400
PINKERTON CR	10	0.400
SATHER HN	10	0.400
SHALET SM	10	0.400
STEUBER CP	10	0.400
TREUNER J	10	0.400
VOUTE PA	10	0.400
BAEHNER RL	9	0.360
BEHRENDT H	9	0.360
CHAN KW	9	0.360
DE CAMARGO B	9	0.360
EDEN T	9	0.360
EGELER RM	9	0.360
GREENBERG M	9	0.360
GROIS N	9	0.360
JEREB B	9	0.360
KURTZBERG J	9	0.360
LACKNER H	9	0.360
LADISCH S	9	0.360
MASSIMINO M	9	0.360
MURPHY SB	9	0.360
NEUMANN Y	9	0.360
PERKKIO M	9	0.360
PRITCHARD J	9	0.360
RIIKONEN P	9	0.360
SIEGEL SE	9	0.360
STEINHERZ PG	9	0.360
TOREN A	9	0.360
VIETTI TJ	9	0.360
WEITZMAN S	9	0.360
WIERNIK PH	9	0.360
ZUCKER JM	9	0.360
AKYUZ C	8	0.320
BENBASSAT I	8	0.320
BLOOMFIELD CD	8	0.320
CAILLAUD JM	8	0.320
DAVIES SM	8	0.320
DONALDSON SS	8	0.320
EKERT H	8	0.320
FOREMAN NK	8	0.320
INDOLFI P	8	0.320
ISHII E	8	0.320
KERBL R	8	0.320
MANN JR	8	0.320
MARKY I	8	0.320
MILLER DR	8	0.320
MOTT MG	8	0.320
PASTORE G	8	0.320
RAMOT B	8	0.320
RAO BN	8	0.320
RIBEIRO RC	8	0.320
RIVERA GK	8	0.320
ROBISON LL	8	0.320
SHAW PJ	8	0.320
SPINETTA JJ	8	0.320
STARLING KA	8	0.320
TIEN R	8	0.320
TSUCHIDA Y	8	0.320
VANNIER JP	8	0.320
WATERS KD	8	0.320
ANDERSON J	7	0.280
BAILEY CC	7	0.280
BRUGIERES L	7	0.280
BYRNE J	7	0.280
CHEUNG NKV	7	0.280
CLERICO A	7	0.280
COMIS RL	7	0.280
D'ANGIO GJ	7	0.280
DEBERNARDI B	7	0.280
FERRARI A	7	0.280
FINK FM	7	0.280
FRAPPAZ D	7	0.280
FREEMAN AI	7	0.280
FREEMAN CR	7	0.280
GARAVENTA A	7	0.280
GOTTLIEB AJ	7	0.280
GREENBERG ML	7	0.280
GUGLIELMI M	7	0.280
HENTER JI	7	0.280
HIRT A	7	0.280
HOCKENBERGER B	7	0.280
HOVI L	7	0.280
HUSTU HO	7	0.280
JENKINS JJ	7	0.280
KAGAN AR	7	0.280
KOOS R	7	0.280
LOMBARDI F	7	0.280
MAHONEY DH	7	0.280
MAKIPERNAA A	7	0.280
MARTINS AG	7	0.280
MAURER HM	7	0.280
MOGHRABI A	7	0.280
OAKES WJ	7	0.280
ODOM LF	7	0.280
PARHAM DM	7	0.280
PATTE C	7	0.280
RAAFAT F	7	0.280
REVESZ T	7	0.280
REY A	7	0.280
RITTER J	7	0.280
SALLAN SE	7	0.280
SCHIAVETTI A	7	0.280
SCHMIEGELOW K	7	0.280
STECKEL RJ	7	0.280
STEVENS MCG	7	0.280
SUTOW WW	7	0.280
URI A	7	0.280
WAGNER HP	7	0.280
WEISS RB	7	0.280
WHITE L	7	0.280
AISNER J	6	0.240
AMBROS PF	6	0.240
ANDERSON JR	6	0.240
AVILES A	6	0.240
BARCOS M	6	0.240
BAUM E	6	0.240
BECK JD	6	0.240
BESSHO F	6	0.240
BEZWODA WR	6	0.240
BOUFFET E	6	0.240
BOWMAN LC	6	0.240
BOWMAN WP	6	0.240
BRECHER ML	6	0.240
BRESLOW NE	6	0.240
BROKSIMONI F	6	0.240
BRUNATMENTIGNY M	6	0.240
CASANOVA M	6	0.240
CHAN GCF	6	0.240
CHASTAGNER P	6	0.240
CLAUSEN N	6	0.240
COLVIN OM	6	0.240
CRIST W	6	0.240
DEMEOCQ F	6	0.240
DONFRANCESCO A	6	0.240
FAIRCLOUGH D	6	0.240
FALLETTA JM	6	0.240
FEIG SA	6	0.240
FERNBACH DJ	6	0.240
FINLAY J	6	0.240
FINLAY JL	6	0.240
FRYER CJH	6	0.240
GHAVIMI F	6	0.240
GINSBERG SJ	6	0.240
GOLDWEIN J	6	0.240
HABRAND JL	6	0.240
HARRIS RE	6	0.240
HEITGER A	6	0.240
HIBI S	6	0.240
HUMPHREY GB	6	0.240
KATO K	6	0.240
KLETZEL M	6	0.240
KLINGEBIEL T	6	0.240
KOREN G	6	0.240
KUSHNER BH	6	0.240
LAND VJ	6	0.240
LANGE BJ	6	0.240
LEVENTHAL BG	6	0.240
LI FP	6	0.240
LUO XL	6	0.240
MEYER WH	6	0.240
MIRRO J	6	0.240
MORRISJONES PH	6	0.240
NEWTON WA	6	0.240
NINANE J	6	0.240
OAKHILL A	6	0.240
OHNUMA N	6	0.240
OKAMURA J	6	0.240
OLIVERIO V	6	0.240
PAPPO AS	6	0.240
PESSION A	6	0.240
PETERSON BA	6	0.240
RICCARDI R	6	0.240
RICHARDS F	6	0.240
RODARY C	6	0.240
ROSITO P	6	0.240
RUYMANN F	6	0.240
RUYMANN FB	6	0.240
SAARINEN-PIHKALA UM	6	0.240
SAKURAI M	6	0.240
SALMI TT	6	0.240
SANDSTEDT B	6	0.240
SARIBAN E	6	0.240
TAKEDA T	6	0.240
TAMARO P	6	0.240
TOURNADE MF	6	0.240
VECCHI V	6	0.240
VEERMAN AJP	6	0.240
WALLACE WHB	6	0.240
YATES JW	6	0.240
ZANESCO L	6	0.240
ZINTL F	6	0.240
ACQUAVIVA A	5	0.200
AMBROS IM	5	0.200
AYAN I	5	0.200
BARR RD	5	0.200
BECK D	5	0.200
BELASCO JB	5	0.200
BEN ARUSH MW	5	0.200
BENNETT JM	5	0.200
BODEY GP	5	0.200
BROWN M	5	0.200
BUCHANAN GR	5	0.200
BUCSKY P	5	0.200
BUNIN N	5	0.200
CALCULLI G	5	0.200
CAMITTA BM	5	0.200
CANGIR A	5	0.200
CAPIZZI RL	5	0.200
CASSADY JR	5	0.200
CASTEL V	5	0.200
CASTLEBERRY RP	5	0.200
CECI A	5	0.200
CHAN HSL	5	0.200
CHATTEN J	5	0.200
CHIK KW	5	0.200
COCCIA P	5	0.200
COHEN IJ	5	0.200
COLLINS MH	5	0.200
CREAGAN ET	5	0.200
DAHL GV	5	0.200
DALL'IGNA P	5	0.200
DELEMARRE JFM	5	0.200
DETOLEDO JS	5	0.200
DOUGLASS EC	5	0.200
DUNCANBROWN M	5	0.200
DYMENT PG	5	0.200
ETTINGER LJ	5	0.200
EXELBY P	5	0.200
FALKSON G	5	0.200
FERRELL L	5	0.200
FINKLESTEIN JZ	5	0.200
FUCHS H	5	0.200
FUCHS J	5	0.200
GARWICZ S	5	0.200
GEORGE SL	5	0.200
GOMEZ GA	5	0.200
GREEN AA	5	0.200
HALPERIN EC	5	0.200
HAN T	5	0.200
HANADA R	5	0.200
HAYASHI Y	5	0.200
HAYES FA	5	0.200
HAYS DM	5	0.200
HERTZ H	5	0.200
HESSELING PB	5	0.200
HUDSON MM	5	0.200
IJIRI R	5	0.200
IMBACH P	5	0.200
JAKACKI RI	5	0.200
KANEKO M	5	0.200
KASTE SC	5	0.200
KAWANO Y	5	0.200
KEBUDI R	5	0.200
KELLIE SJ	5	0.200
KELSEY A	5	0.200
KERBY T	5	0.200
KISS C	5	0.200
KOBAYASHI M	5	0.200
KOMADA Y	5	0.200
KOMP D	5	0.200
KRISCHER JP	5	0.200
KURODA Y	5	0.200
LANGER T	5	0.200
LEWIS IJ	5	0.200
LI CK	5	0.200
LILLEYMAN JS	5	0.200
LINK MP	5	0.200
LITTMAN P	5	0.200
MADON E	5	0.200
MANCINI AF	5	0.200
MANN G	5	0.200
MARKMAN M	5	0.200
MERCHANT TE	5	0.200
MINKOV M	5	0.200
MOE PJ	5	0.200
MUGISHIMA H	5	0.200
MULLER J	5	0.200
MULVIHILL JJ	5	0.200
NIETHAMMER D	5	0.200
NITSCHKE R	5	0.200
OKADA A	5	0.200
OLAH E	5	0.200
OLIVERIO VT	5	0.200
OPPENHEIM D	5	0.200
OSTER MW	5	0.200
PHILLIPS PC	5	0.200
PLANTAZ D	5	0.200
PLASCHKES J	5	0.200
POPLACK DG	5	0.200
ROSS JA	5	0.200
SAARINEN UM	5	0.200
SALLOUM E	5	0.200
SAWADA T	5	0.200
SCHMIDT D	5	0.200
SCHULTZ KR	5	0.200
SCHWINGER W	5	0.200
SHEPHERD DA	5	0.200
SIERRASESUMAGA L	5	0.200
SIIMES MA	5	0.200
SILVER RT	5	0.200
STEWART E	5	0.200
SULLIVAN MP	5	0.200
TAKAHASHI H	5	0.200
TAKAUE Y	5	0.200
TANAKA Y	5	0.200
TIEDEMANN K	5	0.200
TORNESELLO A	5	0.200
UEDA K	5	0.200
VANWERING ER	5	0.200
VUJANIC GM	5	0.200
WIEBE T	5	0.200
WYSS M	5	0.200
ZAIZOV R	5	0.200
ZOUBEK A	5	0.200
ABE T	4	0.160
BARR R	4	0.160
BARRANTES JC	4	0.160
BAUMGARTNER C	4	0.160
BEHAR C	4	0.160
BEHM FG	4	0.160
BERGERON C	4	0.160
BERNARD JL	4	0.160
BERTHOLD F	4	0.160
BIGNER DD	4	0.160
BISOGNO G	4	0.160
BLEYER A	4	0.160
BODE U	4	0.160
BROCK P	4	0.160
BURGERS JMV	4	0.160
BURGERT EO	4	0.160
CAREY RW	4	0.160
CASTELLO M	4	0.160
CEFALO G	4	0.160
CHAFFEE S	4	0.160
CILA A	4	0.160
COFFIN CM	4	0.160
COLEMAN M	4	0.160
CONTER V	4	0.160
COOPER MR	4	0.160
CROM DB	4	0.160
CROOKE ST	4	0.160
CUEVAS GP	4	0.160
CUSHING B	4	0.160
CUTTNER J	4	0.160
DANGIO G	4	0.160
DE GRAAF SSN	4	0.160
DE KRAKER J	4	0.160
DEHNER LP	4	0.160
DELUMLEY L	4	0.160
DERMAN DP	4	0.160
DEUTSCH M	4	0.160
DI CATALDO A	4	0.160
DITULLIO MT	4	0.160
DOLL DC	4	0.160
DOMINICI C	4	0.160
DOZ F	4	0.160
EPELMAN C	4	0.160
ETTINGER DS	4	0.160
FELDGES A	4	0.160
FELIX CA	4	0.160
FERSTER A	4	0.160
FONTANESI J	4	0.160
FOSSATIBELLANI F	4	0.160
FOUNTZILAS G	4	0.160
GAJJAR A	4	0.160
GANICK DJ	4	0.160
GARCIA I	4	0.160
GASPARINI M	4	0.160
GLICKSMAN AS	4	0.160
GLIDEWELL O	4	0.160
GOLDWEIN JW	4	0.160
GOSHEN Y	4	0.160
GRAHAMPOLE J	4	0.160
HAKAMI N	4	0.160
HAUPT R	4	0.160
HERSON J	4	0.160
HEYN RM	4	0.160
HOLMES FF	4	0.160
HURD DD	4	0.160
HVIZDALA E	4	0.160
JAKAB Z	4	0.160
JAKOBSON A	4	0.160
JENKIN D	4	0.160
JENKNER A	4	0.160
JONES PHM	4	0.160
JOSS RA	4	0.160
KALMANCHEY R	4	0.160
KALWINSKY DK	4	0.160
KARDOS G	4	0.160
KELSEY AM	4	0.160
KERNAHAN J	4	0.160
KINNEY TR	4	0.160
KORHOLZ D	4	0.160
KOSCIELNIAK E	4	0.160
KOTZ R	4	0.160
KRAILO MD	4	0.160
KRAKOFF IH	4	0.160
KRAMER K	4	0.160
KUN L	4	0.160
KUNG F	4	0.160
KUTLUK T	4	0.160
LAQUAGLIA MP	4	0.160
LASORELLA A	4	0.160
LAU YL	4	0.160
LEE ACW	4	0.160
LEIBUNDGUT K	4	0.160
LEIKIN S	4	0.160
LETENDRE L	4	0.160
LEVI JA	4	0.160
LOBOSANAHUJA F	4	0.160
LOCATELLI F	4	0.160
LOCKWOOD L	4	0.160
LOCURTO M	4	0.160
LOPES LF	4	0.160
LUKSCH R	4	0.160
MARSDEN HB	4	0.160
