Authors	records	% of 6293
LI WH	76	1.208
NEI M	66	1.049
LI WEN-HSIUNG	65	1.033
ZHANG JIANZHI	53	0.842
ZHANG JZ	51	0.810
KUMAR SUDHIR	49	0.779
NEI MASATOSHI	49	0.779
KUMAR S	48	0.763
YANG ZH	48	0.763
YANG ZIHENG	46	0.731
LI W H	44	0.699
YANG Z	39	0.620
PENNY D	38	0.604
HUGHES AL	36	0.572
CASPERMEYER JOSEPH	35	0.556
PENNY DAVID	35	0.556
CASPERMEYER J	34	0.540
HARTL DL	33	0.524
OKADA N	33	0.524
OKADA NORIHIRO	33	0.524
ZHANG J	32	0.509
ROGER AJ	31	0.493
CLARK AG	30	0.477
GOJOBORI T	30	0.477
LYNCH M	30	0.477
AQUADRO CF	29	0.461
HUGHES AUSTIN L	29	0.461
ROGER ANDREW J	29	0.461
ELLEGREN H	28	0.445
ELLEGREN HANS	28	0.445
HARTL DANIEL L	28	0.445
HOLMES EC	27	0.429
WU CI	27	0.429
CLARK ANDREW G	26	0.413
GAUT BRANDON S	26	0.413
GAUT BS	26	0.413
HUGHES A L	26	0.413
SCHLOTTERER C	26	0.413
ZHANG YA-PING	26	0.413
ZHANG YP	26	0.413
KEELING PATRICK J	25	0.397
KEELING PJ	25	0.397
LYNCH MICHAEL	25	0.397
NIELSEN R	25	0.397
NIELSEN RASMUS	25	0.397
PHILIPPE H	25	0.397
AQUADRO CHARLES F	24	0.381
HALL BG	24	0.381
HARTL D L	24	0.381
HASEGAWA M	24	0.381
HASEGAWA MASAMI	24	0.381
HOLMES EDWARD C	24	0.381
HURST LAURENCE D	24	0.381
HURST LD	24	0.381
WU CHUNG-I	24	0.381
AGUADE M	23	0.365
GOJOBORI TAKASHI	23	0.365
PHILIPPE HERVE	23	0.365
AQUADRO C F	22	0.350
GAUT B S	22	0.350
HEDGES SB	22	0.350
JIN L	22	0.350
MEYER A	22	0.350
RAMBAUT A	22	0.350
VON HAESELER A	22	0.350
MEYER AXEL	21	0.334
STEPHAN W	21	0.334
TAMURA K	21	0.334
VON HAESELER ARNDT	21	0.334
YOKOYAMA S	21	0.334
BHATTACHARYA D	20	0.318
BHATTACHARYA DEBASHISH	20	0.318
GALTIER N	20	0.318
GOUY M	20	0.318
GRAUR D	20	0.318
HO SIMON Y W	20	0.318
HO SYW	20	0.318
