Authors	records	% of 5436
MALLORY TB	35	0.644
MUNRO D	32	0.589
WHITE PD	32	0.589
CLUTE HM	29	0.533
DAMESHEK W	26	0.478
COTTON FJ	25	0.460
FINLAND M	25	0.460
LAHEY FH	25	0.460
MEIGS JV	25	0.460
BENEDICT EB	23	0.423
DOWNING JG	23	0.423
ALLEN AW	22	0.405
ROOT HF	22	0.405
BARNEY JD	21	0.386
JONES CM	21	0.386
JOSLIN EP	20	0.368
LUND CC	20	0.368
MOORE M	20	0.368
BAUER W	19	0.350
COLBY FH	19	0.350
HOMANS J	19	0.350
PALMER RS	19	0.350
JACKSON H	18	0.331
LEVINE SA	18	0.331
LOMBARD HL	18	0.331
MYERSON A	18	0.331
TAYLOR GW	18	0.331
WESSELHOEFT C	18	0.331
GETTING VA	17	0.313
KEEFER CS	17	0.313
LORD FT	17	0.313
WEISS S	17	0.313
PARKER F	16	0.294
SMITHWICK RH	16	0.294
WARREN S	16	0.294
BUTLER AM	15	0.276
FITZ R	15	0.276
HAWES JB	15	0.276
WHITE JC	15	0.276
BIGELOW GH	14	0.258
CRAWFORD GM	14	0.258
HAYDEN EP	14	0.258
MERRITT HH	14	0.258
MORRISON GM	14	0.258
CHEEVER AW	13	0.239
DALAND EM	13	0.239
DAYTON NA	13	0.239
ELLIS LB	13	0.239
HUDSON HW	13	0.239
LADD WE	13	0.239
LANE CG	13	0.239
QUINBY WC	13	0.239
ROCK J	13	0.239
RUSHMORE S	13	0.239
ALTSCHULE MD	12	0.221
CABOT RC	12	0.221
DUNPHY JE	12	0.221
EDWARDS EA	12	0.221
ELEY RC	12	0.221
HOFF HE	12	0.221
INGRAHAM FD	12	0.221
JANEWAY CA	12	0.221
JEGHERS H	12	0.221
MARBLE A	12	0.221
PHANEUF LE	12	0.221
PRATHER GC	12	0.221
RACKEMANN FM	12	0.221
RUBENSTEIN AD	12	0.221
SPRAGUE HB	12	0.221
YOUNG EL	12	0.221
ALBRIGHT F	11	0.202
BARTLETT MK	11	0.202
CASTLEMAN B	11	0.202
EMERY ES	11	0.202
HOLMES AD	11	0.202
MILLER RH	11	0.202
SHORT CL	11	0.202
SMITH GG	11	0.202
STEWART JD	11	0.202
SWEET RH	11	0.202
THORNDIKE A	11	0.202
VIETS HR	11	0.202
BLOTNER H	10	0.184
BURGESS AM	10	0.184
BURNETT FL	10	0.184
DRESSER R	10	0.184
HOLMES GW	10	0.184
HURXTHAL LM	10	0.184
KUHNS JG	10	0.184
NELSON NA	10	0.184
REID WD	10	0.184
SCHATZKI R	10	0.184
WEINSTEIN L	10	0.184
BLUMGART HL	9	0.166
CATTELL RB	9	0.166
CHRISTIAN HA	9	0.166
DAVIDSON CS	9	0.166
DEROW HA	9	0.166
FOLEY GE	9	0.166
GASTON EA	9	0.166
GROSS RE	9	0.166
GRUND JL	9	0.166
HILL LW	9	0.166
JANKELSON IR	9	0.166
KING DS	9	0.166
LERMAN J	9	0.166
LOMAN J	9	0.166
MCKITTRICK LS	9	0.166
SEVER JW	9	0.166
SHEDDEN WM	9	0.166
STONE MJ	9	0.166
TILLOTSON KJ	9	0.166
TRUESDALE PE	9	0.166
WASSERSUG JD	9	0.166
WELCH CE	9	0.166
WHITAKER LR	9	0.166
WHITE FW	9	0.166
WOLFF L	9	0.166
ALBRIGHT HL	8	0.147
CASTLE WB	8	0.147
CHADWICK HD	8	0.147
CHURCHILL ED	8	0.147
CHUTE R	8	0.147
DAVIS D	8	0.147
DIAMOND LK	8	0.147
FAULKNER JM	8	0.147
FULTON JF	8	0.147
GRAVES RC	8	0.147
GRAY MG	8	0.147
HALSTED JA	8	0.147
JOHNSON AS	8	0.147
LANMAN TH	8	0.147
MASSELL BF	8	0.147
MILLER JR	8	0.147
MINTZ ER	8	0.147
MOORE GA	8	0.147
O'BRIEN FW	8	0.147
OVERHOLT RH	8	0.147
PRATT JH	8	0.147
RISEMAN JEF	8	0.147
SCHWAB RS	8	0.147
SISE LF	8	0.147
SMITH GV	8	0.147
SOWLES HK	8	0.147
STRAUSS MB	8	0.147
STRIEDER JW	8	0.147
SWAN CS	8	0.147
TAYLOR FHL	8	0.147
TENNEY B	8	0.147
WATKINS AL	8	0.147
WHITE P	8	0.147
ZOLLINGER R	8	0.147
ANDERSON GW	7	0.129
AUB JC	7	0.129
BOTSFORD TW	7	0.129
BOWLER JP	7	0.129
BRADLEY SE	7	0.129
CHAPMAN EM	7	0.129
COLMES A	7	0.129
CUTLER EC	7	0.129
FARBER S	7	0.129
FAXON HH	7	0.129
FEEMSTER RF	7	0.129
FITCHET SM	7	0.129
FOISIE PS	7	0.129
GARGILL SL	7	0.129
HEFFERNAN RJ	7	0.129
HYDE RW	7	0.129
INGALLS TH	7	0.129
JONES TD	7	0.129
LEE RI	7	0.129
MATSON DD	7	0.129
MCCANN JC	7	0.129
MEIKLEJOHN AP	7	0.129
MERRILL D	7	0.129
MIXTER WJ	7	0.129
MOLONEY WC	7	0.129
NATHANSON IT	7	0.129
O'HARE JP	7	0.129
PEIRSON EL	7	0.129
RILEY A	7	0.129
ROBBINS SL	7	0.129
RUDY A	7	0.129
SALTER WT	7	0.129
SEGAL MS	7	0.129
SMITH RM	7	0.129
SPINK WW	7	0.129
STUART HC	7	0.129
ANGLEM TJ	6	0.110
AUGUSTINE DL	6	0.110
AYCOCK WL	6	0.110
BAILEY CC	6	0.110
BARTELS EC	6	0.110
BAYLES TB	6	0.110
BOYER NH	6	0.110
CHEEVER D	6	0.110
CLIFFORD SH	6	0.110
CRABTREE EG	6	0.110
D'ERRICO E	6	0.110
DAVIS M	6	0.110
DAY HF	6	0.110
DENORMANDIE RL	6	0.110
EVERSOLE UH	6	0.110
FALLON J	6	0.110
FINE J	6	0.110
FOLEY JA	6	0.110
GALLAGHER JR	6	0.110
GARLAND J	6	0.110
GILLIGAN DR	6	0.110
GOLDMANN F	6	0.110
GOODALE RH	6	0.110
HAGGART GE	6	0.110
HARRIS RS	6	0.110
HURWITZ A	6	0.110
INGELFINGER FJ	6	0.110
KICKHAM CJE	6	0.110
KINNEY TD	6	0.110
LANE EA	6	0.110
LAWRENCE KB	6	0.110
LESSES MF	6	0.110
LEVENSON SM	6	0.110
LUND FB	6	0.110
MATZ PB	6	0.110
MC CLURE CW	6	0.110
MEANS JH	6	0.110
OSGOOD RB	6	0.110
PARSONS L	6	0.110
PEMBERTON FA	6	0.110
PUTNAM TJ	6	0.110
RHOADS CP	6	0.110
RITVO M	6	0.110
ROBEY WH	6	0.110
ROGERS H	6	0.110
ROPES MW	6	0.110
SCHALL LA	6	0.110
STARR A	6	0.110
STEVENS NC	6	0.110
THORN GW	6	0.110
THURMON FM	6	0.110
VERMOOTEN V	6	0.110
VOSE SN	6	0.110
WALKER IJ	6	0.110
WOODWARD SB	6	0.110
ADAMS MA	5	0.092
ADAMS RD	5	0.092
AITKEN AP	5	0.092
AYER JB	5	0.092
BAIRD PC	5	0.092
BALCH FG	5	0.092
BEASER SB	5	0.092
BENEDICT FG	5	0.092
BLAND EF	5	0.092
BOCK AV	5	0.092
BROWN EA	5	0.092
BUCK RW	5	0.092
BUNKER JWM	5	0.092
BURRAGE WS	5	0.092
CHAPMAN CB	5	0.092
CONTRATTO AW	5	0.092
DEMING CL	5	0.092
DINGLE JH	5	0.092
DUFAULT P	5	0.092
EADES MF	5	0.092
