Authors	records	% of 6135
DENG XW	68	1.108
CHUA NH	62	1.011
INZE D	46	0.750
FERNIE AR	42	0.685
ZHU JK	35	0.570
WANG Y	33	0.538
SHINOZAKI K	31	0.505
JONES JDG	30	0.489
ZHANG Y	30	0.489
HWANG I	28	0.456
WANG H	28	0.456
DE VEYLDER L	27	0.440
LI J	26	0.424
DIXON RA	25	0.407
LI Y	25	0.407
NISHIMURA M	25	0.407
QUAIL PH	25	0.407
FRIML J	24	0.391
LI X	24	0.391
LIU B	24	0.391
HAKE S	23	0.375
DENECKE J	22	0.359
FROMMER WB	22	0.359
GUO Y	22	0.359
KIM J	22	0.359
LUAN S	22	0.359
WANG HY	22	0.359
ECKER JR	21	0.342
GERSHENZON J	21	0.342
GOLDBERG RB	21	0.342
HARA-NISHIMURA I	21	0.342
KLESSIG DF	21	0.342
MA H	21	0.342
MATSUOKA M	21	0.342
OHME-TAKAGI M	21	0.342
ANGENENT GC	20	0.326
COUPLAND G	20	0.326
FISCHER RL	20	0.326
MEYERS BC	20	0.326
NASRALLAH JB	20	0.326
RAIKHEL NV	20	0.326
SCHROEDER JI	20	0.326
WHELAN J	20	0.326
XU J	20	0.326
ALONSO JM	19	0.310
CHORY J	19	0.310
HIRT H	19	0.310
JIANG JM	19	0.310
KAMIYA Y	19	0.310
PICHERSKY E	19	0.310
VIERSTRA RD	19	0.310
YANG ZB	19	0.310
ZHANG SQ	19	0.310
DELLAPENNA D	18	0.293
GENSCHIK P	18	0.293
KAY SA	18	0.293
LI CY	18	0.293
LIU J	18	0.293
LJUNG K	18	0.293
MARTIN C	18	0.293
NASRALLAH ME	18	0.293
STITT M	18	0.293
VANMONTAGU M	18	0.293
VAUCHERET H	18	0.293
WANG XF	18	0.293
DE JAEGER G	17	0.277
GRUISSEM W	17	0.277
HIROCHIKA H	17	0.277
KLIEBENSTEIN DJ	17	0.277
LEE S	17	0.277
MEYEROWITZ EM	17	0.277
MITSUDA N	17	0.277
OTEGUI MS	17	0.277
STAIGER CJ	17	0.277
VAN WIJK KJ	17	0.277
WANG J	17	0.277
WANG ZY	17	0.277
YAMAGUCHI-SHINOZAKI K	17	0.277
YE ZH	17	0.277
BARKAN A	16	0.261
BAULCOMBE DC	16	0.261
BEECKMAN T	16	0.261
BENNING C	16	0.261
FUJIOKA S	16	0.261
JIANG LW	16	0.261
KITANO H	16	0.261
MARTIN GB	16	0.261
MERCHANT SS	16	0.261
PARKER JE	16	0.261
SHIRASU K	16	0.261
TASAKA M	16	0.261
BOERJAN W	15	0.244
BOWMAN JL	15	0.244
CHEN F	15	0.244
COLOMBO L	15	0.244
DE RYCKE R	15	0.244
HUANG SJ	15	0.244
LARKINS BA	15	0.244
LI JY	15	0.244
LIU Y	15	0.244
LIU YD	15	0.244
MATSUI M	15	0.244
QI YJ	15	0.244
SAKAKIBARA H	15	0.244
STERN DB	15	0.244
THOMPSON WF	15	0.244
TOHGE T	15	0.244
WALBOT V	15	0.244
WANG X	15	0.244
WILLMITZER L	15	0.244
XIE DX	15	0.244
YU H	15	0.244
YUAN M	15	0.244
ZHANG H	15	0.244
AUSUBEL FM	14	0.228
BEDNAREK SY	14	0.228
BOGRE L	14	0.228
DOONER HK	14	0.228
DUDAREVA N	14	0.228
FLUGGE UI	14	0.228
GROSSMAN AR	14	0.228
HARADA JJ	14	0.228
HILLMER S	14	0.228
HUANG H	14	0.228
KIM SY	14	0.228
LAST RL	14	0.228
LEE J	14	0.228
LI H	14	0.228
LI L	14	0.228
PALME K	14	0.228
QU LJ	14	0.228
ROBINSON DG	14	0.228
ROCHAIX JD	14	0.228
SANDBERG G	14	0.228
SATO Y	14	0.228
SCHWECHHEIMER C	14	0.228
SHIMADA T	14	0.228
SUN TP	14	0.228
TALBOT NJ	14	0.228
WEIGEL D	14	0.228
YANG WC	14	0.228
ZEEMAN SC	14	0.228
ZHAO Y	14	0.228
