Authors	records	% of 117493
WANG Y	250	0.213
ZHANG Y	218	0.186
CROCE CM	200	0.170
WANG J	198	0.169
LI Y	197	0.168
LIU Y	186	0.158
LI J	178	0.151
CHEN J	172	0.146
STROMINGER JL	167	0.142
ZHANG J	166	0.141
KIM J	163	0.139
SNYDER SH	162	0.138
LIU J	157	0.134
GREENGARD P	152	0.129
WANG L	150	0.128
CHEN Y	143	0.122
EDELMAN GM	138	0.117
KIM S	138	0.117
LEE J	132	0.112
MILLER GA	132	0.112
SCHALLY AV	131	0.111
LEE S	125	0.106
WANG H	125	0.106
PASTAN I	123	0.105
ZHANG L	122	0.104
CHEN L	119	0.101
YANG J	118	0.100
ZHANG H	118	0.100
YANG Y	115	0.098
LI L	112	0.095
GUSTAFSSON JA	109	0.093
PAULING L	109	0.093
GOOD RA	107	0.091
LI H	107	0.091
ROIZMAN B	106	0.090
EYRING H	104	0.089
SCHERAGA HA	104	0.089
SCHULTZ PG	104	0.089
OLD LJ	103	0.088
ANONYMOUS	100	0.085
HURWITZ J	100	0.085
KIM SH	100	0.085
LIU X	97	0.083
KABACK HR	96	0.082
NAKAMURA T	96	0.082
WEISSMAN IL	96	0.082
FLAVELL RA	94	0.080
MAK TW	92	0.078
WANG W	92	0.078
WANG X	92	0.078
BLOBEL G	91	0.077
EVANS RM	91	0.077
GALLO RC	91	0.077
RICH A	89	0.076
CHEN X	88	0.075
FERSHT AR	88	0.075
GORDON JI	88	0.075
LANGER R	88	0.075
CATTERALL WA	87	0.074
KHORANA HG	87	0.074
MOSS B	87	0.074
SUZUKI T	87	0.074
BALTIMORE D	86	0.073
SHULMAN RG	85	0.072
BARUS C	84	0.071
CHAMBON P	84	0.071
PRUSINER SB	84	0.071
SHAPLEY H	84	0.071
DAVIS RW	83	0.071
LERNER RA	82	0.070
ZHANG C	82	0.070
AYALA FJ	81	0.069
CHEN Z	81	0.069
KOPROWSKI H	81	0.069
LI M	81	0.069
BRADY RO	80	0.068
LEE SH	80	0.068
MCCANN SM	80	0.068
OLSON EN	80	0.068
KIM H	79	0.067
LEFKOWITZ RJ	79	0.067
ROEDER RG	79	0.067
LIU L	78	0.066
ONUCHIC JN	78	0.066
VALLEE BL	78	0.066
LEE JH	77	0.066
VOGELSTEIN B	77	0.066
TANAKA K	76	0.065
WANG Q	76	0.065
LI W	75	0.064
LI X	75	0.064
WANG Z	75	0.064
YANG L	75	0.064
ZHANG X	75	0.064
ALT FW	74	0.063
LODISH HF	74	0.063
WILSON EB	74	0.063
GOLDSTEIN JL	73	0.062
WITTE ON	73	0.062
BROWN MS	71	0.060
COSTA E	71	0.060
MOSS J	71	0.060
WATANABE M	71	0.060
ZHANG W	71	0.060
CHEN H	70	0.060
CHEN M	70	0.060
DELUCA HF	70	0.060
KIM HJ	70	0.060
KUMAR S	70	0.060
WALSH CT	70	0.060
WOLYNES PG	70	0.060
BENOIST C	69	0.059
HOOD L	69	0.059
HUANG J	69	0.059
KANDEL ER	69	0.059
KISHIMOTO T	69	0.059
METCALF D	69	0.059
SHAPIRO L	69	0.059
XU L	69	0.059
ZHANG Q	69	0.059
MILEDI R	68	0.058
SCHLESSINGER J	68	0.058
WALDMANN TA	68	0.058
ZHOU Y	68	0.058
AARONSON SA	67	0.057
CHANGEUX JP	67	0.057
HOKFELT T	67	0.057
HUANG Y	67	0.057
KOBAYASHI M	67	0.057
MATHIS D	67	0.057
MCCONNELL HM	67	0.057
SMITHIES O	67	0.057
VANDIVER HS	67	0.057
VERMA IM	67	0.057
WANG T	67	0.057
ISSELBACHER KJ	66	0.056
JAN LY	66	0.056
LIPSCOMB WN	66	0.056
NEVO E	66	0.056
SINGER SJ	66	0.056
THOMAS TY	66	0.056
TONEGAWA S	66	0.056
CANTOR CR	65	0.055
HERZENBERG LA	65	0.055
JAN YN	65	0.055
LU Y	65	0.055
SPIEGELMAN S	65	0.055
WANG C	65	0.055
WU H	65	0.055
YAMAMOTO M	65	0.055
YAMAMOTO T	65	0.055
YOSHIDA M	65	0.055
BAKER D	64	0.054
BENNETT MVL	64	0.054
DINARELLO CA	64	0.054
KINZLER KW	64	0.054
LI C	64	0.054
MEKALANOS JJ	64	0.054
SOLL D	64	0.054
XU J	64	0.054
XU Y	64	0.054
LI S	63	0.054
MAO HK	63	0.054
PALMITER RD	63	0.054
SANCAR A	63	0.054
ZEWAIL AH	63	0.054
BRUICE TC	62	0.053
DAVIDSON EH	62	0.053
KIM Y	62	0.053
KUMAR A	62	0.053
LANE MD	62	0.053
MARKS PA	62	0.053
ORKIN SH	62	0.053
PURCELL RH	62	0.053
RUDDLE FH	62	0.053
SCHREIBER SL	62	0.053
SUDHOF TC	62	0.053
WANG F	62	0.053
WANG S	62	0.053
WU J	62	0.053
AMES BN	61	0.052
CHEN W	61	0.052
HONJO T	61	0.052
JAENISCH R	61	0.052
SLY WS	61	0.052
SPRINGER TA	61	0.052
ZHAO Y	61	0.052
TAKAHASHI Y	60	0.051
WANG D	60	0.051
BOTSTEIN D	59	0.050
CHEN S	59	0.050
LEE H	59	0.050
MEISTER A	59	0.050
ZHOU J	59	0.050
HUBER R	58	0.049
KIM HS	58	0.049
KLEIN G	58	0.049
LEE SY	58	0.049
STARK GR	58	0.049
SUN L	58	0.049
SUN Y	58	0.049
TANAKA T	58	0.049
WONG CH	58	0.049
WU Y	58	0.049
YU J	58	0.049
BELLMAN R	57	0.049
BROWN PO	57	0.049
HILL TL	57	0.049
KAN YW	57	0.049
KIM JH	57	0.049
LEE Y	57	0.049
LI CH	57	0.049
LIU B	57	0.049
NIRENBERG M	57	0.049
ROSENFELD MG	57	0.049
WANG JC	57	0.049
WANG JH	57	0.049
CERAMI A	56	0.048
DOBSON CM	56	0.048
HUDSPETH AJ	56	0.048
KARLIN S	56	0.048
KASNER E	56	0.048
LEVINE AJ	56	0.048
LIU F	56	0.048
SELA M	56	0.048
SIMON MI	56	0.048
TANAKA H	56	0.048
VAUGHAN M	56	0.048
BENKOVIC SJ	55	0.047
CHEN C	55	0.047
KIEFF E	55	0.047
LI Q	55	0.047
ROWLEY JD	55	0.047
RUBIN H	55	0.047
SAMUELSSON B	55	0.047
STANLEY HE	55	0.047
VOGT PK	55	0.047
WANG M	55	0.047
ZHU J	55	0.047
APPELLA E	54	0.046
DARNELL JE	54	0.046
FAUCI AS	54	0.046
KORNBERG A	54	0.046
LEE B	54	0.046
SCHIMMEL P	54	0.046
UDENFRIEND S	54	0.046
YU Y	54	0.046
ZHANG K	54	0.046
BIRNBAUMER L	53	0.045
NAIRN AC	53	0.045
NOWAK MA	53	0.045
PARK S	53	0.045
ROSS J	53	0.045
SACHS L	53	0.045
SHARP PA	53	0.045
SUZUKI M	53	0.045
WARNER M	53	0.045
WATANABE T	53	0.045
ZHANG M	53	0.045
GODDARD WA	52	0.044
KAHN CR	52	0.044
KIM D	52	0.044
LIU Z	52	0.044
YANOFSKY C	52	0.044
ZHANG B	52	0.044
AKIRA S	51	0.043
BISHOP JM	51	0.043
CARON MG	51	0.043
CHEN SJ	51	0.043
LEDER P	51	0.043
LEE C	51	0.043
LIU H	51	0.043
MATSUMOTO K	51	0.043
RICHARDSON CC	51	0.043
TANAKA Y	51	0.043
WANG B	51	0.043
WILSON IA	51	0.043
KARIN M	50	0.043
LI B	50	0.043
MCEWEN BS	50	0.043
OCHOA S	50	0.043
RAPPUOLI R	50	0.043
ROSSMANN MG	50	0.043
STADTMAN ER	50	0.043
TAKAHASHI T	50	0.043
THIRUMALAI D	50	0.043
WANG P	50	0.043
WEISSMAN SM	50	0.043
WELSH MJ	50	0.043
ZHANG F	50	0.043
BODMER WF	49	0.042
