Authors	records	% of 4921
MILLER GA	130	2.642
ANONYMOUS	105	2.134
BARUS C	84	1.707
SHAPLEY H	67	1.362
WILSON EB	59	1.199
KASNER E	52	1.057
VANDIVER HS	45	0.914
CASTLE WE	42	0.853
DUANE W	38	0.772
BLAKESLEE AF	37	0.752
CROZIER WJ	32	0.650
BENEDICT FG	31	0.630
HALL EH	31	0.630
PARKER GH	29	0.589
PAULING L	29	0.589
THOMAS TY	29	0.589
ZWICKY F	28	0.569
BANCROFT WD	27	0.549
TOLMAN RC	27	0.549
PEARL R	26	0.528
BATEMAN H	25	0.508
STOCK C	25	0.508
MOORE RL	24	0.488
ROBBINS WJ	23	0.467
WALSH JL	23	0.467
DOBZHANSKY T	22	0.447
METZ CW	22	0.447
SHERMAN HC	22	0.447
WORCESTER J	22	0.447
EISENHART LP	21	0.427
MICHAL AD	21	0.427
DECICCO J	20	0.406
EPSTEIN PS	20	0.406
HARKINS WD	20	0.406
HILLE E	20	0.406
LUYTEN WJ	20	0.406
BRIDGMAN PW	19	0.386
DAVIS WM	19	0.386
MORSE M	19	0.386
ADAMS WS	18	0.366
ALEXANDER JW	18	0.366
CLARK GL	18	0.366
DEMEREC M	18	0.366
KEELER CE	18	0.366
LOEB LB	18	0.366
STURTEVANT AH	18	0.366
MILLIKAN RA	17	0.345
BUERGER MJ	16	0.325
LEFSCHETZ S	16	0.325
DOUGLAS J	15	0.305
LEWIS GN	15	0.305
MURNAGHAN FD	15	0.305
VEBLEN O	15	0.305
BIRKHOFF GD	14	0.284
DE CICCO J	14	0.284
SEARES FH	14	0.284
ABBOT CG	13	0.264
DAVENPORT CB	13	0.264
GOODSPEED TH	13	0.264
JONES DF	13	0.264
KAVANAGH F	13	0.264
OSBORN HF	13	0.264
STERNE TE	13	0.264
SUMNER FB	13	0.264
WOLF E	13	0.264
BAXTER GP	12	0.244
BERRY EW	12	0.244
BONNER J	12	0.244
LOEB J	12	0.244
RAINICH GY	12	0.244
RUTZLER JE	12	0.244
STRUVE O	12	0.244
WEBSTER AG	12	0.244
WHITNEY H	12	0.244
BEADLE GW	11	0.224
BELL ET	11	0.224
BOGERT MT	11	0.224
GOWEN JW	11	0.224
HECHT S	11	0.224
RICHARDS TW	11	0.224
SETCHELL WA	11	0.224
THOMAS JM	11	0.224
WAKSMAN SA	11	0.224
WEBSTER DL	11	0.224
BORSOOK H	10	0.203
GIBBS RC	10	0.203
HOVGAARD W	10	0.203
LOTKA AJ	10	0.203
MACLANE S	10	0.203
RUBEN S	10	0.203
STERN C	10	0.203
STONE MH	10	0.203
UHLER HS	10	0.203
VON NEUMANN J	10	0.203
ALBERT AA	9	0.183
BABCOCK HD	9	0.183
BARKER HA	9	0.183
CAMPBELL DH	9	0.183
CAMPBELL HL	9	0.183
CHEN TT	9	0.183
COOPER KW	9	0.183
COURANT R	9	0.183
CUSHING H	9	0.183
DUNN LC	9	0.183
EVANS GC	9	0.183
GOLDSCHMIDT R	9	0.183
HALE GE	9	0.183
MILES WR	9	0.183
MITCHELL HK	9	0.183
NICHOLS EL	9	0.183
PAYNE CH	9	0.183
PINCUS G	9	0.183
SATINA S	9	0.183
STARKWEATHER HW	9	0.183
TAMARKIN JD	9	0.183
VAN MAANEN A	9	0.183
WHITE HE	9	0.183
WINTNER A	9	0.183
BRIDGES CB	8	0.163
EAST EM	8	0.163
EPHRUSSI B	8	0.163
HUNTINGTON EV	8	0.163
JOHNSON TB	8	0.163
KAMEN MD	8	0.163
KAUFMANN BP	8	0.163
KING HD	8	0.163
LINDEGREN CC	8	0.163
LITTLE CC	8	0.163
MAYER AG	8	0.163
MCCLINTOCK B	8	0.163
MICHELSON AA	8	0.163
OSTERHOUT WJV	8	0.163
PERRINE CD	8	0.163
RHOADES MM	8	0.163
SAX K	8	0.163
SINNOTT EW	8	0.163
TATUM EL	8	0.163
VAN OVERBEEK J	8	0.163
VAUGHAN TW	8	0.163
WIDDER DV	8	0.163
WULF OR	8	0.163
ALLISON SK	7	0.142
BOCHNER S	7	0.142
BRAUER R	7	0.142
BROWN EW	7	0.142
BURKHOLDER PR	7	0.142
CARSON SF	7	0.142
COBLENTZ WW	7	0.142
COMPTON AH	7	0.142
COOPER DC	7	0.142
DICKINSON RG	7	0.142
EILENBERG S	7	0.142
HARRIS JA	7	0.142
HERVEY A	7	0.142
HUA LK	7	0.142
KNEBELMAN MS	7	0.142
MARSHAK A	7	0.142
MCCLENDON JF	7	0.142
MERRILL GP	7	0.142
PEASE FG	7	0.142
RODEBUSH WH	7	0.142
STADLER LJ	7	0.142
THIMANN KV	7	0.142
WIENER N	7	0.142
WRIGHT S	7	0.142
BELLMAN R	6	0.122
BERGNER AD	6	0.122
BIRKHOFF G	6	0.122
BOWEN IS	6	0.122
CAMPBELL WW	6	0.122
CHERN SS	6	0.122
CLARKE FW	6	0.122
COBLE AB	6	0.122
DAVIS B	6	0.122
FANKHAUSER G	6	0.122
FOSTER JW	6	0.122
