Authors	records	% of 108010
BANERJEE S	611	0.566
ZHANG J	587	0.543
BODEK A	521	0.482
LI J	506	0.468
ZHANG L	502	0.465
BERETVAS A	484	0.448
CASTRO A	484	0.448
WANG J	483	0.447
KIM SH	479	0.443
BARNES VE	478	0.443
HARA K	478	0.443
KIM H	477	0.442
KAMON T	475	0.440
BARNETT BA	474	0.439
LIU Y	471	0.436
KIM DH	466	0.431
GOULIANOS K	465	0.431
LEE J	465	0.431
ERREDE S	462	0.428
MULLER T	462	0.428
BORTOLETTO D	459	0.425
SLIWA K	459	0.425
KONIGSBERG J	458	0.424
CARLSMITH D	457	0.423
WILLIAMS HH	456	0.422
APOLLINARI G	454	0.420
PUNZI G	453	0.419
BEDESCHI F	452	0.418
MAESHIMA K	450	0.417
BISELLO D	448	0.415
FORD WT	448	0.415
JONES M	448	0.415
NAKANO I	448	0.415
WINER BL	443	0.410
AMIDEI D	441	0.408
DEMORTIER L	441	0.408
UKEGAWA F	441	0.408
FRANKLIN M	436	0.404
YU I	435	0.403
BURKETT K	433	0.401
CONWAY J	431	0.399
WU X	431	0.399
NODULMAN L	430	0.398
SINERVO P	430	0.398
LAASANEN AT	429	0.397
RODRIGO T	429	0.397
PAULINI M	425	0.393
LUCCHESI D	424	0.393
TKACZYK S	420	0.389
BOCCI A	418	0.387
KONDO K	414	0.383
OH SH	414	0.383
BEAN A	413	0.382
LIU H	412	0.381
GARFINKEL AF	410	0.380
ALAM MS	409	0.379
GALLINARO M	409	0.379
HUSTON J	409	0.379
STROM D	408	0.378
RISTORI L	406	0.376
SMITH JG	405	0.375
MUKHERJEE A	404	0.374
BAUER G	403	0.373
HABER C	402	0.372
KROLL J	402	0.372
OLSEN J	402	0.372
SHIMOJIMA M	402	0.372
TENG PK	401	0.371
ZUCCHELLI S	401	0.371
KAGAN H	400	0.370
GOSHAW AT	398	0.368
MALIK S	398	0.368
WARBURTON A	398	0.368
ZHANG Y	398	0.368
KIM YK	395	0.366
BARINGER P	394	0.365
BHATTI A	393	0.364
BUSETTO G	391	0.362
CAMPAGNARI C	391	0.362
HOCKER A	391	0.362
ZANETTI A	391	0.362
KATO Y	390	0.361
CHIARELLI G	389	0.360
LEONE S	389	0.360
PONDROM L	389	0.360
EIGEN G	388	0.359
LECOMPTE T	388	0.359
BROMBERG C	387	0.358
SAKUMOTO WK	386	0.357
TIPTON P	386	0.357
TOLLEFSON K	386	0.357
ANTOS J	385	0.356
GIANNETTI P	385	0.356
HARRIS RM	385	0.356
LAMMEL S	385	0.356
SEVERINI H	385	0.356
XIE Y	385	0.356
HAHN SR	383	0.355
SKUBIC P	383	0.355
YOSHIDA T	383	0.355
VIDAL R	381	0.353
YEH GP	380	0.352
BELLETTINI G	379	0.351
BLOCKER C	379	0.351
CHEN S	379	0.351
CHERTOK M	379	0.351
DE BARBARO P	379	0.351
HAUSER J	379	0.351
DORIGO T	378	0.350
GOLD M	378	0.350
MAKSIMOVIC P	378	0.350
RIMONDI F	378	0.350
SCHLABACH P	378	0.350
SNIDER FD	378	0.350
WICKLUND AB	378	0.350
CORDELLI M	377	0.349
SCHMIDT EE	377	0.349
SHOCHET M	377	0.349
BELLINGER J	376	0.348
SEIYA Y	376	0.348
YOH J	376	0.348
MIAO T	375	0.347
PHILLIPS TJ	375	0.347
BOUDREAU J	374	0.346
BLOOM K	370	0.343
BUDD HS	369	0.342
IVANOV A	369	0.342
PAULETTA G	369	0.342
