Authors	records	% of 67942
WANG J	80	0.118
GALLO RC	69	0.102
ZHANG Y	69	0.102
VOGELSTEIN B	62	0.091
WANG Y	61	0.090
PETERS R	57	0.084
SIKORSKI R	57	0.084
SOLOMON SC	53	0.078
WILSON IA	52	0.077
SNYDER SH	50	0.074
KINZLER KW	48	0.071
LI J	48	0.071
LI Y	48	0.071
HEAD JW	47	0.069
LEE S	47	0.069
BARUS C	46	0.068
CHEN Y	45	0.066
LIU Y	45	0.066
MAO HK	45	0.066
ZHANG X	45	0.066
AXELROD J	44	0.065
KANDEL ER	44	0.065
RUSSELL CT	44	0.065
SMITH DE	44	0.065
EISNER T	43	0.063
SHAPIRO II	43	0.063
TANIGUCHI T	43	0.063
KIM J	42	0.062
SCHULTZ PG	41	0.060
LI H	40	0.059
NAKAMURA Y	39	0.057
VEVERKA J	39	0.057
EWING M	38	0.056
WONGSTAAL F	38	0.056
ZHANG J	38	0.056
LI L	37	0.054
LIU J	37	0.054
SQUYRES SW	37	0.054
TANAKA T	37	0.054
WHITESIDES GM	37	0.054
AARONSON SA	36	0.053
CHEN J	36	0.053
JOHNSON TV	36	0.053
WATANABE K	36	0.053
ZUBER MT	36	0.053
ARVIDSON RE	35	0.052
BELL JF	35	0.052
PHILLIPS RJ	35	0.052
VENTER JC	35	0.052
WANG H	35	0.052
WURTMAN RJ	35	0.052
ZHANG L	35	0.052
TAKAHASHI H	34	0.050
BALTIMORE D	33	0.049
GREENGARD P	33	0.049
LEE J	33	0.049
LIBBY WF	33	0.049
LIEBER CM	33	0.049
MING DW	33	0.049
OSBORN HF	33	0.049
OWEN T	33	0.049
SAGAN C	33	0.049
SCHUBERT G	33	0.049
YANG Y	33	0.049
BROECKER WS	32	0.047
INGERSOLL AP	32	0.047
LANDER ES	32	0.047
LERNER RA	32	0.047
TANAKA K	32	0.047
WYCKOFF RWG	32	0.047
ANDERS E	31	0.046
ELLEDGE SJ	31	0.046
POLLACK JB	31	0.046
THORNDIKE EL	31	0.046
WANG L	31	0.046
LEFKOWITZ RJ	30	0.044
MCSWEEN HY	30	0.044
RUBIN M	30	0.044
TAKAHASHI T	30	0.044
CHEN X	29	0.043
HEMLEY RJ	29	0.043
KRIMIGIS SM	29	0.043
STEITZ TA	29	0.043
TJIAN R	29	0.043
WANG F	29	0.043
CLARK BC	28	0.041
KIM S	28	0.041
KIM SH	28	0.041
LONGO F	28	0.041
MCNUTT RL	28	0.041
SODERBLOM LA	28	0.041
WILLERSLEV E	28	0.041
ZARE RN	28	0.041
BLOOM FE	27	0.040
DELUCA HF	27	0.040
ZHANG F	27	0.040
ANDERSON JD	26	0.038
BORK P	26	0.038
BROWN AM	26	0.038
BROWN RH	26	0.038
CECH TR	26	0.038
COSTA E	26	0.038
DAVIES ME	26	0.038
DAVIS RW	26	0.038
FLAVELL RA	26	0.038
GREELEY R	26	0.038
HOOD L	26	0.038
LEE C	26	0.038
LI CH	26	0.038
MORRIS RV	26	0.038
NICOLL RA	26	0.038
REES DC	26	0.038
WEAVER HA	26	0.038
ACKERMANN M	25	0.037
BAKER D	25	0.037
BASTIERI D	25	0.037
CAMPBELL DB	25	0.037
COHEN J	25	0.037
EMILIANI C	25	0.037
HAMMOND AL	25	0.037
JOHN ER	25	0.037
KUMAR S	25	0.037
LI C	25	0.037
LI W	25	0.037
LOEB J	25	0.037
PAABO S	25	0.037
PARK J	25	0.037
REIMER A	25	0.037
SEIDMAN JG	25	0.037
SUZUKI Y	25	0.037
XU J	25	0.037
BELTON MJS	24	0.035
BURTON DR	24	0.035
BUSECK PR	24	0.035
CAMERON RA	24	0.035
CARAVEO PA	24	0.035
CASTLE WE	24	0.035
CHEN L	24	0.035
CHURCH GM	24	0.035
EDWARDS RL	24	0.035
ESSEX M	24	0.035
EVANS HM	24	0.035
FRASER CM	24	0.035
GILBERT MTP	24	0.035
GROTZINGER JP	24	0.035
HERKENHOFF KE	24	0.035
HUNTEN DM	24	0.035
KIM H	24	0.035
KURTH WS	24	0.035
MCELROY MB	24	0.035
MEYER M	24	0.035
MIRKIN CA	24	0.035
REIMER O	24	0.035
ROSENFELD MG	24	0.035
STERN SA	24	0.035
TORRES DF	24	0.035
BARBIELLINI G	23	0.034
CALVIN M	23	0.034
GIORDANO F	23	0.034
GREENBERG ME	23	0.034
GURNETT DA	23	0.034
HAYASHIDA M	23	0.034
IP WH	23	0.034
JEANLOZ R	23	0.034
LI M	23	0.034
LI X	23	0.034
MCEWEN AS	23	0.034
MIZUNO T	23	0.034
MORGAN TH	23	0.034
MORSELLI A	23	0.034
OKEEFE JA	23	0.034
PANEQUE D	23	0.034
PRICE PB	23	0.034
RICH A	23	0.034
SAITO T	23	0.034
SHEN ZX	23	0.034
STONE EC	23	0.034
TOKURA Y	23	0.034
TYLER GL	23	0.034
WAITE JH	23	0.034
WANG W	23	0.034
WILSON EB	23	0.034
ZHANG H	23	0.034
BELLAZZINI R	22	0.032
CASIDA JE	22	0.032
CHIANG J	22	0.032
CIPRINI S	22	0.032
CROCE CM	22	0.032
FINK GR	22	0.032
GEHRELS N	22	0.032
GELLERT R	22	0.032
GHOSH S	22	0.032
GRENIER IA	22	0.032
GUIRIEC S	22	0.032
GUPTA S	22	0.032
KAFATOS FC	22	0.032
KANAMORI H	22	0.032
KARIN M	22	0.032
KOSHLAND DE	22	0.032
KUMAR A	22	0.032
LEE JH	22	0.032
LEVINE M	22	0.032
LI JY	22	0.032
LIU K	22	0.032
LIU W	22	0.032
MACKINNON R	22	0.032
MCCORD TB	22	0.032
MCKNIGHT SL	22	0.032
MCLENNAN SM	22	0.032
MELNICK JL	22	0.032
MENAKER M	22	0.032
MICHELSON PF	22	0.032
NEUMANN GA	22	0.032
SCHREIBER SL	22	0.032
SMITH JC	22	0.032
SMITHIES O	22	0.032
STEVENS RC	22	0.032
SUZUKI K	22	0.032
WANG P	22	0.032
WANG Z	22	0.032
WHITE O	22	0.032
XU Y	22	0.032
YANG L	22	0.032
ZETTL A	22	0.032
ABELSON PH	21	0.031
ANDERSON DL	21	0.031
BARKER JL	21	0.031
BROWNLEE DE	21	0.031
BRUEL P	21	0.031
CARLSON RW	21	0.031
CHEN K	21	0.031
CHENG H	21	0.031
COHEN-TANUGI J	21	0.031
DE PALMA F	21	0.031
DONAHUE TM	21	0.031
DOUDNA JA	21	0.031
FRIEDMAN H	21	0.031
FUSCO P	21	0.031
GARCIA KC	21	0.031
GARGANO F	21	0.031
GIGLIETTO N	21	0.031
HARDING AK	21	0.031
HUANG Y	21	0.031
KULP JL	21	0.031
KUSS M	21	0.031
LOPARCO F	21	0.031
LUBRANO P	21	0.031
MA J	21	0.031
MALIN MC	21	0.031
MAZZIOTTA MN	21	0.031
MONZANI ME	21	0.031
NAKAMURA T	21	0.031
NUSS E	21	0.031
NUSSENZWEIG MC	21	0.031
OSTRO SJ	21	0.031
PETTENGILL GH	21	0.031
PIRON F	21	0.031
RAINO S	21	0.031
SEEBURG PH	21	0.031
SGRO C	21	0.031
SMITH HO	21	0.031
SPENCER JR	21	0.031
SPINELLI P	21	0.031
STEELE A	21	0.031
STEIN L	21	0.031
SUDHOF TC	21	0.031
TIBALDO L	21	0.031
UDENFRIEND S	21	0.031
VITALE V	21	0.031
WANG X	21	0.031
YAMADA T	21	0.031
YE J	21	0.031
ZHANG K	21	0.031
ALIVISATOS AP	20	0.029
AWSCHALOM DD	20	0.029
BALDINI L	20	0.029
BALLET J	20	0.029
BENKOVIC SJ	20	0.029
BERTAUX JL	20	0.029
BLAKESLEE AF	20	0.029
BUSTAMANTE C	20	0.029
CALIANDRO GA	20	0.029
CHEN M	20	0.029
CHENG AF	20	0.029
CHEUNG CC	20	0.029
CHRISTENSEN PR	20	0.029
CRAIG H	20	0.029
DERMER CD	20	0.029
DONN WL	20	0.029
DRELL PS	20	0.029
FAVUZZI C	20	0.029
FUKAZAWA Y	20	0.029
FUNK S	20	0.029
GODFREY G	20	0.029
GORDON JI	20	0.029
HOLDEN C	20	0.029
JACOBSON M	20	0.029
JOHNSON J	20	0.029
JOHNSON JR	20	0.029
KIM K	20	0.029
KNOLL AH	20	0.029
KORNBERG RD	20	0.029
LANGER R	20	0.029
LANZEROTTI LJ	20	0.029
LATRONICO L	20	0.029
LEE K	20	0.029
LEVENE PA	20	0.029
LI S	20	0.029
LINDQUIST S	20	0.029
LOVELLETTE MN	20	0.029
MORRISON D	20	0.029
MOSKALENKO IV	20	0.029
MURGIA S	20	0.029
OHSUGI T	20	0.029
OMODEI N	20	0.029
ORTON GS	20	0.029
PARK S	20	0.029
PEARL R	20	0.029
PORTER TA	20	0.029
PRESS F	20	0.029
PUTNAM FW	20	0.029
RAMAKRISHNAN V	20	0.029
RANDO R	20	0.029
RAZZANO M	20	0.029
SHARP PA	20	0.029
SISKIND EJ	20	0.029
SMALLEY RE	20	0.029
STUIVER M	20	0.029
TAKAHASHI JS	20	0.029
THOMPSON DJ	20	0.029
VALE W	20	0.029
VELCULESCU VE	20	0.029
WANG T	20	0.029
WHITE TD	20	0.029
WOOD KS	20	0.029
WU H	20	0.029
XU X	20	0.029
YUNG YL	20	0.029
ZHANG Q	20	0.029
BERGER R	19	0.028
BLANDFORD RD	19	0.028
BREGEON J	19	0.028
CECCHI C	19	0.028
CHEN S	19	0.028
CLAUS R	19	0.028
CRISP D	19	0.028
DE ANGELIS A	19	0.028
GEIM AK	19	0.028
GERMANI S	19	0.028
GIBBS RA	19	0.028
GILL T	19	0.028
GLOECKLER G	19	0.028
GROVE JE	19	0.028
HAMILTON SR	19	0.028
HAYS E	19	0.028
HUANG J	19	0.028
JOHNSON RE	19	0.028
KNODLSEDER J	19	0.028
LEE SH	19	0.028
LEMOINE-GOUMARD M	19	0.028
LEVY JA	19	0.028
LEWIS RS	19	0.028
LI R	19	0.028
LI T	19	0.028
LIU C	19	0.028
LOEWENSTEIN WR	19	0.028
MARCHI S	19	0.028
MATTHIAS BT	19	0.028
MCCOMAS DJ	19	0.028
MCENERY JE	19	0.028
MILLER LH	19	0.028
MITCHELL JW	19	0.028
MORAD M	19	0.028
MYERS RM	19	0.028
OLITSKY PK	19	0.028
OLSON EN	19	0.028
PAPADOPOULOS N	19	0.028
PESCE-ROLLINS M	19	0.028
RIVIER J	19	0.028
ROWE WP	19	0.028
SABATINI DM	19	0.028
SCHIMMEL P	19	0.028
SCHMIDT M	19	0.028
SHAPIRO L	19	0.028
SMITH BA	19	0.028
SPANDRE G	19	0.028
SUSON DJ	19	0.028
TANAKA S	19	0.028
THAYER JB	19	0.028
THOMAS PC	19	0.028
UREY HC	19	0.028
WALSH J	19	0.028
WANG C	19	0.028
WEISSMAN JS	19	0.028
WINCKER P	19	0.028
WU J	19	0.028
YAMAMOTO T	19	0.028
YANCOPOULOS GD	19	0.028
YEOMANS DK	19	0.028
ZOLENSKY ME	19	0.028
ABE M	18	0.026
AJELLO M	18	0.026
ATREYA SK	18	0.026
BRIGIDA M	18	0.026
BROWN A	18	0.026
BROWN JH	18	0.026
BROWN MS	18	0.026
CANTLEY LC	18	0.026
CHEKHTMAN A	18	0.026
CRUIKSHANK DP	18	0.026
DAVIS RJ	18	0.026
DEUTSCH JA	18	0.026
EISAKI H	18	0.026
EVANS RM	18	0.026
GAJDUSEK DC	18	0.026
GOLDSTEIN JL	18	0.026
HADDON RC	18	0.026
HENDRICKSON WA	18	0.026
HONE J	18	0.026
HUEBNER RJ	18	0.026
JAUMANN R	18	0.026
JOHANNESSON G	18	0.026
JOHNSON D	18	0.026
KAY SA	18	0.026
KIM Y	18	0.026
KONDO T	18	0.026
KRAMER M	18	0.026
LEE H	18	0.026
