Authors	records	% of 6751
ANONYMOUS	248	3.674
BARUS C	46	0.681
OSBORN HF	35	0.518
LOEB J	25	0.370
CASTLE WE	24	0.356
WYCKOFF RWG	21	0.311
LEVENE PA	20	0.296
MORGAN TH	20	0.296
PEARL R	20	0.296
WILSON EB	20	0.296
GILL T	19	0.281
EVANS HM	18	0.267
BLAKESLEE AF	17	0.252
NIPHER FE	17	0.252
LANGMUIR I	16	0.237
MCCLENDON JF	16	0.237
MILLIKAN RA	16	0.237
CATTELL JM	15	0.222
COCKERELL TDA	15	0.222
DAVIS WM	15	0.222
LOEB L	15	0.222
OLITSKY PK	15	0.222
WARD HB	15	0.222
COMPTON KT	14	0.207
FAIRCHILD HL	14	0.207
OSTERHOUT WJV	14	0.207
COOK OF	13	0.193
FLEXNER S	13	0.193
MILLER GA	13	0.193
GUDGER EW	12	0.178
HARKINS WD	12	0.178
HARRIS JA	12	0.178
LIVINGSTON BE	12	0.178
MACDOUGAL DT	12	0.178
BAUER LA	11	0.163
DAVENPORT CB	11	0.163
JACKSON DC	11	0.163
JORDAN DS	11	0.163
LILLIE RS	11	0.163
MERRIAM JC	11	0.163
BOAS F	10	0.148
BOGERT MT	10	0.148
HARVEY EN	10	0.148
JACOBS WA	10	0.148
KELLOGG VL	10	0.148
LLOYD FE	10	0.148
LUSK G	10	0.148
NORTHROP JH	10	0.148
WIELAND GR	10	0.148
ALLARD HA	9	0.133
BASKERVILLE C	9	0.133
BERGMANN M	9	0.133
BOWIE W	9	0.133
BOWMAN I	9	0.133
CLARK GL	9	0.133
CONKLIN EG	9	0.133
FISCHER MH	9	0.133
GREGORY WK	9	0.133
HOWARD LO	9	0.133
JEFFREY EC	9	0.133
JOHNSON TB	9	0.133
LIND SC	9	0.133
MENDEL LB	9	0.133
NOYES WA	9	0.133
PARKER GH	9	0.133
SANFORD F	9	0.133
SEASHORE CE	9	0.133
SMITH EF	9	0.133
WHEELER WM	9	0.133
WINSLOW CEA	9	0.133
BERRY EW	8	0.119
BURGE WE	8	0.119
DU NOUY PL	8	0.119
FRANKLIN WS	8	0.119
GAY FP	8	0.119
GERICKE WF	8	0.119
GORTNER RA	8	0.119
KELLOGG V	8	0.119
KNIPP CT	8	0.119
LILLIE FR	8	0.119
METCALF MM	8	0.119
O'GARA PJ	8	0.119
PAINTER TS	8	0.119
PIKE FH	8	0.119
SHEARD C	8	0.119
SHULL AF	8	0.119
SIMPSON ME	8	0.119
STERN KG	8	0.119
WAKSMAN SA	8	0.119
ATKINSON GF	7	0.104
BEARD JW	7	0.104
BOLLEY HL	7	0.104
BRITTON SW	7	0.104
CAMPBELL DH	7	0.104
CAMPBELL WW	7	0.104
CARREL A	7	0.104
CONN HJ	7	0.104
COULTER JM	7	0.104
DE VRIES H	7	0.104
DUNLAP K	7	0.104
GATES RR	7	0.104
GUTHRIE CC	7	0.104
HARTMAN FA	7	0.104
HOBBS WH	7	0.104
HOLMES HN	7	0.104
HOLMES SJ	7	0.104
JEWETT FB	7	0.104
KEMP JF	7	0.104
KEYSER CJ	7	0.104
LITTLE CC	7	0.104
MCLAUGHLIN AR	7	0.104
MOULTON FR	7	0.104
NUTTING CC	7	0.104
PARKER RC	7	0.104
SABIN AB	7	0.104
SPILLMAN WJ	7	0.104
STEVENS FL	7	0.104
STURTEVANT AH	7	0.104
SWINGLE WW	7	0.104
TINGLE JB	7	0.104
VAUGHAN TW	7	0.104
WEBSTER LT	7	0.104
WOODWARD RS	7	0.104
BAILEY LH	6	0.089
BARNETT SJ	6	0.089
CANNON WA	6	0.089
CLAUDE A	6	0.089
FRUTON JS	6	0.089
GOWEN JW	6	0.089
HART EB	6	0.089
HECHT S	6	0.089
HEGNER RW	6	0.089
HEIDELBERGER M	6	0.089
HENDERSON Y	6	0.089
HITCHCOCK AS	6	0.089
HRDLICKA A	6	0.089
HUMPHREYS WJ	6	0.089
JOHNSON DW	6	0.089
KIESS CC	6	0.089
LIPMAN CB	6	0.089
MCKINNEY HH	6	0.089
MOODIE RL	6	0.089
MURPHY JB	6	0.089
NICHOLS EL	6	0.089
RIDDLE O	6	0.089
RITTER WE	6	0.089
ROSEN HR	6	0.089
SCOTT WED	6	0.089
SMITH HM	6	0.089
SPAULDING P	6	0.089
SPOEHR HA	6	0.089
STARKS EC	6	0.089
STEVENS NE	6	0.089
STOCKARD CR	6	0.089
STURM E	6	0.089
SYVERTON JT	6	0.089
TRELEASE SF	6	0.089
WATSON FR	6	0.089
WHITNEY WR	6	0.089
WOODS AF	6	0.089
YERKES RM	6	0.089
ABEL JJ	5	0.074
ALLEN JA	5	0.074
ARMSBY HP	5	0.074
BARBOUR EH	5	0.074
BARBOUR HG	5	0.074
BARDWELL DC	5	0.074
BAUDISCH O	5	0.074
BIGELOW HB	5	0.074
BOUYOUCOS GJ	5	0.074
BRIDGES CB	5	0.074
BROOKS SC	5	0.074
BROWNE CA	5	0.074
CADY HP	5	0.074
CAJORI F	5	0.074
CARLSON AJ	5	0.074
CARMICHAEL RD	5	0.074
CHAMBERLIN TC	5	0.074
COE WR	5	0.074
COKER RE	5	0.074
COVILLE FV	5	0.074
COWDRY EV	5	0.074
COX HR	5	0.074
EIGENMANN CH	5	0.074
ELDERFIELD RC	5	0.074
EMERSON GA	5	0.074
EMERSON OH	5	0.074
FINKELSTEIN H	5	0.074
FOWLER HW	5	0.074
GAGER CS	5	0.074
GANONG WF	5	0.074
GEROULD JH	5	0.074
GESELL R	5	0.074
GLASER O	5	0.074
GOODPASTURE EW	5	0.074
GRABAU AW	5	0.074
GREENE HSN	5	0.074
HANNA GD	5	0.074
HARSHBERGER JW	5	0.074
HAY OP	5	0.074
HENDERSON LJ	5	0.074
HOPKINS CG	5	0.074
HOWITT B	5	0.074
IVY AC	5	0.074
JOHNSON D	5	0.074
KARPINSKI LC	5	0.074
KASNER E	5	0.074
KELLERMAN KF	5	0.074
KLEEMAN RD	5	0.074
LANDSTEINER K	5	0.074
LIPMAN JG	5	0.074
MACNIDER WD	5	0.074
MANWARING WH	5	0.074
MAVOR JW	5	0.074
MCCOLLUM EV	5	0.074
MCGEE WJ	5	0.074
METZ CW	5	0.074
MOHLER FL	5	0.074
MURLIN JR	5	0.074
NEEDHAM JG	5	0.074
NUTTING PG	5	0.074
PARSONS CL	5	0.074
PATON S	5	0.074
PETERSON OA	5	0.074
PFIFFNER JJ	5	0.074
RAMALEY F	5	0.074
ROBBINS WJ	5	0.074
ROWNTREE LG	5	0.074
RUSSELL HN	5	0.074
SABIN FR	5	0.074
SETCHELL WA	5	0.074
SHEAR CL	5	0.074
STANLEY WM	5	0.074
STEWART GW	5	0.074
SWANN WFG	5	0.074
THATCHER RW	5	0.074
THOMSON E	5	0.074
THORNDIKE EL	5	0.074
TYLER JR	5	0.074
VERY FW	5	0.074
WILLIAMS SR	5	0.074
WILLIS B	5	0.074
WILLISTON SW	5	0.074
ABBOT CG	4	0.059
ALLEN WM	4	0.059
ALLISON FE	4	0.059
ARTHUR JC	4	0.059
BAEKELAND LH	4	0.059
BAKER FC	4	0.059
BARKER LF	4	0.059
BAXTER GP	4	0.059
BEACH JR	4	0.059
BEAMS JW	4	0.059
BENEDICT FG	4	0.059
BERRY GP	4	0.059
BIGELOW FH	4	0.059
BINGHAM EC	4	0.059
BLACKWELDER E	4	0.059
BONNER J	4	0.059
BORSOOK H	4	0.059
BRAMLEY A	4	0.059
BRANNER JC	4	0.059
BROOKS CF	4	0.059
BUDDINGH GJ	4	0.059
BURK D	4	0.059
CANNON WB	4	0.059
CHILD CM	4	0.059
COBB NA	4	0.059
COBLENTZ WW	4	0.059
COMPTON AH	4	0.059
COOK MT	4	0.059
CORT WW	4	0.059
CURTIS WC	4	0.059
DAHLGREN U	4	0.059
DARROW GM	4	0.059
DAVIS BM	4	0.059
DE BRUIN TL	4	0.059
DEAN B	4	0.059
DUANE W	4	0.059
DUMBLE ET	4	0.059
ELLIS FW	4	0.059
FAIRCHILD D	4	0.059
FAZEKAS JF	4	0.059
FELT EP	4	0.059
FORBES EB	4	0.059
FORSYTH CH	4	0.059
GAINEY PL	4	0.059
GLASER OC	4	0.059
GOODSPEED TH	4	0.059
GRAHAM R	4	0.059
GREENBERG LA	4	0.059
GREGORY R	4	0.059
GRINNELL J	4	0.059
GUYER MF	4	0.059
HAMMETT FS	4	0.059
HANCE RT	4	0.059
HANSEN HN	4	0.059
HEGNER R	4	0.059
HIGGINS GM	4	0.059
HIMWICH HE	4	0.059
HOAGLAND DR	4	0.059
HOOKER MO	4	0.059
HOOTON EA	4	0.059
HOPKINS EF	4	0.059
HOWELL WH	4	0.059
HU CK	4	0.059
JACKSON CM	4	0.059
JOFFE JS	4	0.059
JOHNSON J	4	0.059
JONES AT	4	0.059
JONES LR	4	0.059
KARRER E	4	0.059
KENNELLY AE	4	0.059
KEYES CR	4	0.059
KNAB F	4	0.059
KOPPANYI T	4	0.059
KROGH A	4	0.059
KRUEGER AP	4	0.059
KUNITZ M	4	0.059
KUNZ GF	4	0.059
LI CH	4	0.059
LINTON E	4	0.059
LITTLE AD	4	0.059
LONG JH	4	0.059
LUCAS FA	4	0.059
LUTZ FE	4	0.059
LUYET BJ	4	0.059
LYON EP	4	0.059
MARSHALL EK	4	0.059
MCCREA A	4	0.059
MCPHERSON W	4	0.059
MENKIN V	4	0.059
MICHELSON AA	4	0.059
MILLER DC	4	0.059
MINOT CS	4	0.059
MURPHY RC	4	0.059
NAKAHARA W	4	0.059
NOGUCHI H	4	0.059
NORRIS LC	4	0.059
NOYES HA	4	0.059
PENCHARZ RI	4	0.059
PICKERING EC	4	0.059
PORTER WT	4	0.059
RANSOME FL	4	0.059
REESE AM	4	0.059
RICHTMYER FK	4	0.059
RITTENBERG D	4	0.059
ROBINSON BL	4	0.059
ROGERS AF	4	0.059
ROMANOFF AL	4	0.059
ROUS P	4	0.059
RUARK AE	4	0.059
RUTHERFORD E	4	0.059
SAYLES RW	4	0.059
SCHOENHEIMER R	4	0.059
SCOTT WB	4	0.059
SHAPLEY H	4	0.059
SHEPARD FP	4	0.059
SHULL CA	4	0.059
SHULL GH	4	0.059
SILVETTE H	4	0.059
SINNOTT EW	4	0.059
SLATE F	4	0.059
SLONAKER JR	4	0.059
SMITH HI	4	0.059
SMITH JB	4	0.059
STEENBOCK H	4	0.059
STOCK C	4	0.059
STRONG RP	4	0.059
SUMNER FB	4	0.059
SUMNER JB	4	0.059
TAKAHASHI WN	4	0.059
TAUBENHAUS JJ	4	0.059
THOMAS HE	4	0.059
THOMAS W	4	0.059
TODD TW	4	0.059
TOLMAN RC	4	0.059
TORREY HB	4	0.059
TOWNSEND CHT	4	0.059
TRAVIS LE	4	0.059
TRELEASE W	4	0.059
TROWBRIDGE CC	4	0.059
TURNER CL	4	0.059
VAN HISE CR	4	0.059
VICKERY HB	4	0.059
WHITE CA	4	0.059
WHITNEY M	4	0.059
ZOBELL CE	4	0.059
ACREE SF	3	0.044
ADAMS FD	3	0.044
AITKEN RG	3	0.044
ALEXANDER J	3	0.044
ALLEN EW	3	0.044
ALLEN RF	3	0.044
AMES JS	3	0.044
ANDREWS EA	3	0.044
ANSON ML	3	0.044
ARMSTRONG HE	3	0.044
BABCOCK EB	3	0.044
BAKER WC	3	0.044
BANTA AM	3	0.044
BARNES TC	3	0.044
BARROWS AL	3	0.044
BEAN RB	3	0.044
BELLING J	3	0.044
BERNHEIM F	3	0.044
BESSEY CE	3	0.044
BILLS CE	3	0.044
BIRKHOFF GD	3	0.044
BLAKE WP	3	0.044
BLINKS LR	3	0.044
BOLTON HC	3	0.044
BOLTWOOD BB	3	0.044
BOWEN RH	3	0.044
BRAGG W	3	0.044
BRANDLY CA	3	0.044
BRINK RA	3	0.044
BRINLEY FJ	3	0.044
BRODIE M	3	0.044
BROWN PE	3	0.044
BRUCE D	3	0.044
BURGESS PS	3	0.044
CADY WG	3	0.044
CALVERT PP	3	0.044
CARTY JJ	3	0.044
CHAMBERLAIN CJ	3	0.044
CHAMBERS R	3	0.044
CHASE AM	3	0.044
CHATTERS RM	3	0.044
CHIDESTER FE	3	0.044
CLARK AH	3	0.044
CLARK EP	3	0.044
CLARK GA	3	0.044
CLARK HL	3	0.044
CLARK JH	3	0.044
CLARKE FW	3	0.044
CLARKE JM	3	0.044
COHN EJ	3	0.044
COLE R	3	0.044
COLLINS JL	3	0.044
COLTON HS	3	0.044
COMSTOCK DF	3	0.044
COREY RB	3	0.044
CRAIG LC	3	0.044
CRAMPTON HE	3	0.044
CREW H	3	0.044
CRONEIS C	3	0.044
