Authors	records	% of 5301
MATKOWSKY BJ	67	1.264
KELLER JB	43	0.811
KNESSL C	33	0.623
SCHUSS Z	33	0.623
CHAPMAN SJ	29	0.547
AMMARI H	24	0.453
COHEN DS	24	0.453
MORRISON JA	23	0.434
ERNEUX T	22	0.415
REISS EL	22	0.415
KEENER JP	21	0.396
WARD MJ	20	0.377
ZEMANIAN AH	19	0.358
ERMENTROUT GB	18	0.340
OLMSTEAD WE	18	0.340
BONILLA LL	17	0.321
TIER C	17	0.321
PAPANICOLAOU G	16	0.302
SANTOSA F	16	0.302
FOWLER AC	15	0.283
GAUTESEN AK	15	0.283
KLAR A	15	0.283
MIURA RM	15	0.283
WALTMAN P	15	0.283
KING JR	14	0.264
MARGOLIS SB	14	0.264
HABERMAN R	13	0.245
HSU SB	13	0.245
KRIEGSMANN GA	13	0.245
SMITH HL	13	0.245
BRESSLOFF PC	12	0.226
COLTON D	12	0.226
HAGAN PS	12	0.226
KOPELL N	12	0.226
SEO JK	12	0.226
BAYLISS A	11	0.208
CALDERER MC	11	0.208
CANNON JR	11	0.208
GOURLEY SA	11	0.208
GREENBERG JM	11	0.208
KASSOY DR	11	0.208
KATH WL	11	0.208
MURRAY JD	11	0.208
SCHMEISER C	11	0.208
SHERRATT JA	11	0.208
TROY WC	11	0.208
DU Q	10	0.189
GARNIER J	10	0.189
GEER JF	10	0.189
KANG H	10	0.189
LANGE CG	10	0.189
LINAN A	10	0.189
SIVASHINSKY GI	10	0.189
SOLNA K	10	0.189
DAVIS SH	9	0.170
FOREST MG	9	0.170
GOLDSZTEIN GH	9	0.170
HOWELL PD	9	0.170
KAPILA AK	9	0.170
KEVORKIAN J	9	0.170
LARSEN EW	9	0.170
MIKSIS MJ	9	0.170
MONK P	9	0.170
OCKENDON JR	9	0.170
RUAN SG	9	0.170
RUBINSTEIN J	9	0.170
SCHERZER O	9	0.170
ZABARANKIN M	9	0.170
BERTOZZI AL	8	0.151
CARASSO AS	8	0.151
COLE JD	8	0.151
COOK LP	8	0.151
DASSIOS G	8	0.151
DE HOOP MV	8	0.151
HALL P	8	0.151
HOPPENSTEADT FC	8	0.151
HYVONEN N	8	0.151
JOLY P	8	0.151
KELLER HB	8	0.151
LI J	8	0.151
LIPTON R	8	0.151
MATALON M	8	0.151
MILTON GW	8	0.151
RICHARDSON G	8	0.151
RINGHOFER C	8	0.151
ROSENBLAT S	8	0.151
VENAKIDES S	8	0.151
WEGENER R	8	0.151
WILLIAMS FA	8	0.151
WOLKOWICZ GSK	8	0.151
WU JH	8	0.151
YIN G	8	0.151
ZHAO XQ	8	0.151
BAO G	7	0.132
BLEISTEIN N	7	0.132
BOBROVSKY BZ	7	0.132
BOULLION TL	7	0.132
CAMPBELL SA	7	0.132
CHEN G	7	0.132
COX SM	7	0.132
CUSHING JM	7	0.132
DELSARTE P	7	0.132
EDWARDS DA	7	0.132
ERBAN R	7	0.132
ERMENTROUT B	7	0.132
FIBICH G	7	0.132
FIGOTIN A	7	0.132
FREEDMAN HI	7	0.132
FRIEDMAN A	7	0.132
HADDAR H	7	0.132
HARTWIG RE	7	0.132
HASTINGS SP	7	0.132
HULSHOF J	7	0.132
HUNTER JK	7	0.132
JENSEN DR	7	0.132
KLEITMAN DJ	7	0.132
KLIBANOV MV	7	0.132
KUANG Y	7	0.132
MARTIN PA	7	0.132
MEYER CD	7	0.132
MUNCH A	7	0.132
NEU JC	7	0.132
NORBURY J	7	0.132
OMALLEY RE	7	0.132
PAPAGEORGIOU DT	7	0.132
PELETIER MA	7	0.132
PERCUS JK	7	0.132
PERCUS OE	7	0.132
SCHAEFFER DG	7	0.132
SHAPIRO NZ	7	0.132
TEMPLE B	7	0.132
THIEME HR	7	0.132
VAN DEN DRIESSCHE P	7	0.132
VOLPERT VA	7	0.132
WANG L	7	0.132
WANG XP	7	0.132
WEI JC	7	0.132
ABLOWITZ MJ	6	0.113
ABRAHAMS ID	6	0.113
AHLUWALIA DS	6	0.113
BAL G	6	0.113
BARCILON V	6	0.113
BELL J	6	0.113
BUDD CJ	6	0.113
BURRIDGE R	6	0.113
BUSH WB	6	0.113
CHOW PL	6	0.113
DEGOND P	6	0.113
DOBSON DC	6	0.113
DUFFIN RJ	6	0.113
GAL S	6	0.113
GARDNER CL	6	0.113
GOLOVATY D	6	0.113
HARTFIEL DJ	6	0.113
HAZARD C	6	0.113
HU TC	6	0.113
HYMAN JM	6	0.113
LI BT	6	0.113
LIU HY	6	0.113
LUDFORD GSS	6	0.113
LUDWIG D	6	0.113
MANGEL M	6	0.113
MARCHESIN D	6	0.113
MASRY E	6	0.113
MEYER RE	6	0.113
MIMURA M	6	0.113
NAKAMURA G	6	0.113
NEDELEC JC	6	0.113
NEPOMNYASHCHY AA	6	0.113
OLAGUNJU DO	6	0.113
OTHMER HG	6	0.113
RINALDI S	6	0.113
RINZEL J	6	0.113
ROMERO LA	6	0.113
SEYMOUR BR	6	0.113
SHEN MC	6	0.113
SLEEMAN BD	6	0.113
STEWART DS	6	0.113
STOCKIE JM	6	0.113
SYLVESTER J	6	0.113
TAN WY	6	0.113
TING L	6	0.113
VAKAKIS AF	6	0.113
VAN VLECK ES	6	0.113
VELAZQUEZ JJL	6	0.113
WALTON JR	6	0.113
WHITE BS	6	0.113
WILMOTT P	6	0.113
WONG JSW	6	0.113
WU CH	6	0.113
ZHANG B	6	0.113
BAER SM	5	0.094
BIONDINI G	5	0.094
BOERSMA J	5	0.094
BOOTY MR	5	0.094
BRENNER H	5	0.094
BREWARD CJW	5	0.094
CAKONI F	5	0.094
CANIC S	5	0.094
CHADWICK RS	5	0.094
CHEN XF	5	0.094
CORMACK DE	5	0.094
CRASTER RV	5	0.094
DAVIS AMJ	5	0.094
DICKEY RW	5	0.094
EISENBERG RS	5	0.094
FANG WF	5	0.094
FANNJIANG A	5	0.094
FELSEN LB	5	0.094
FISHBURN PC	5	0.094
FONTELOS MA	5	0.094
FRIGAARD IA	5	0.094
GHIL M	5	0.094
GORIELY A	5	0.094
GOUDON T	5	0.094
HABER S	5	0.094
HORGAN CO	5	0.094
HUANG WZ	5	0.094
HUNTER C	5	0.094
HWANG FK	5	0.094
ISAACSON E	5	0.094
ITO K	5	0.094
JOSEPH DD	5	0.094
KAPER HG	5	0.094
KIM S	5	0.094
KLAASEN GA	5	0.094
KOHLER WE	5	0.094
KUSHNER HJ	5	0.094
KUSKE R	5	0.094
LASSAS M	5	0.094
LI B	5	0.094
LINTON CM	5	0.094
LIU JJ	5	0.094
LIU RS	5	0.094
MAJDA A	5	0.094
MAJDA AJ	5	0.094
MARHEINEKE N	5	0.094
MITRA SK	5	0.094
MORTELL MP	5	0.094
NACHMAN A	5	0.094
NEWELL AC	5	0.094
PAO CV	5	0.094
PAPANICOLAOU GC	5	0.094
PELEG B	5	0.094
PERELSON AS	5	0.094
PERKO LM	5	0.094
PESKIN CS	5	0.094
PLEASE CP	5	0.094
RAMDANI K	5	0.094
RANGER KB	5	0.094
RASCLE M	5	0.094
ROSALES RR	5	0.094
RUNDELL W	5	0.094
RYZHIK L	5	0.094
SEGEL LA	5	0.094
SHEARER M	5	0.094
SIEGEL M	5	0.094
SIROVICH L	5	0.094
SMITH H	5	0.094
SNEYD J	5	0.094
SPIEGEL EA	5	0.094
STERNBERG P	5	0.094
STUART AM	5	0.094
TSYNKOV SV	5	0.094
VANDEN-BROECK JM	5	0.094
VEGA JM	5	0.094
WANG DL	5	0.094
WEINSTEIN MI	5	0.094
WILKENING J	5	0.094
WOLFE P	5	0.094
YARIV E	5	0.094
YOUNG GW	5	0.094
YU J	5	0.094
ANDERSEN CM	4	0.075
ANGELL TS	4	0.075
ANTMAN SS	4	0.075
ARNOLD L	4	0.075
BAJAJ AK	4	0.075
BAO WZ	4	0.075
BAZANT MZ	4	0.075
BAZER J	4	0.075
BRITTON NF	4	0.075
BUCKMASTER J	4	0.075
BURGER M	4	0.075
BUSENBERG S	4	0.075
CAFLISCH RE	4	0.075
CAMBANIS S	4	0.075
CAPASSO V	4	0.075
CASTILLO-CHAVEZ C	4	0.075
CHAN TF	4	0.075
CHEN YM	4	0.075
CHENEY M	4	0.075
CHIKWENDU SC	4	0.075
CHRISTIANSEN PL	4	0.075
CLEMENTS DL	4	0.075
COHEN JK	4	0.075
COSNER C	4	0.075
CRACIUN G	4	0.075
DOELMAN A	4	0.075
DOLD JW	4	0.075
ECKHAUS W	4	0.075
FEINBERG M	4	0.075
FENG ZL	4	0.075
FIACCO AV	4	0.075
FINK AM	4	0.075
FLAHERTY JE	4	0.075
FOUQUE JP	4	0.075
GAREY MR	4	0.075
GEER J	4	0.075
GOLOVIN AA	4	0.075
GONZALEZ O	4	0.075
GRAHAM RL	4	0.075
GREMAUD PA	4	0.075
GRIESMAIER R	4	0.075
GRIMSHAW R	4	0.075
HAIDER MA	4	0.075
HAKIMI SL	4	0.075
HALL CL	4	0.075
HALTMEIER M	4	0.075
HANSON FB	4	0.075
HARARY F	4	0.075
HARIHARAN SI	4	0.075
HENRY BI	4	0.075
HILLEN T	4	0.075
HOLCMAN D	4	0.075
HOLMES MH	4	0.075
HOMENTCOVSCHI D	4	0.075
HUANG HX	4	0.075
IANNELLI M	4	0.075
IDEMEN M	4	0.075
IKEHATA M	4	0.075
INSELBERG A	4	0.075
ISAACSON D	4	0.075
IZHIKEVICH EM	4	0.075
JEROME JW	4	0.075
JOULIN G	4	0.075
KADOTA TT	4	0.075
KARP SN	4	0.075
KATSEVICH A	4	0.075
KIRSCH A	4	0.075
KLEINMAN RE	4	0.075
KOLOKOLNIKOV T	4	0.075
KRESS R	4	0.075
KUTZ JN	4	0.075
LACEY AA	4	0.075
LEE H	4	0.075
LEVEQUE RJ	4	0.075
LEWIS MA	4	0.075
LEWIS TO	4	0.075
LI MY	4	0.075
LIN CC	4	0.075
LIN JS	4	0.075
LOU Y	4	0.075
MACGILLIVRAY AD	4	0.075
MACKEY MC	4	0.075
MAGINU K	4	0.075
MAINI PK	4	0.075
MAJUMDAR A	4	0.075
MALLOWS CL	4	0.075
MARK JWK	4	0.075
MARKOV KZ	4	0.075
MARKOWICH PA	4	0.075
MCKEE S	4	0.075
MCLAUGHLIN DW	4	0.075
MEYLAN MH	4	0.075
MILEWSKI PA	4	0.075
MILOH T	4	0.075
NATTERER F	4	0.075
NEEDHAM DJ	4	0.075
O'BRIEN SBG	4	0.075
ORTOLEVA P	4	0.075
PADGETT WJ	4	0.075
PEIRCE A	4	0.075
PELETIER LA	4	0.075
PERNAROWSKI M	4	0.075
PILYUGIN SS	4	0.075
PITMAN EB	4	0.075
POTTHAST R	4	0.075
ROGERS C	4	0.075
ROMANO V	4	0.075
ROSEN G	4	0.075
RUBENFELD LA	4	0.075
RUBINSTEIN I	4	0.075
SACCOMANDI G	4	0.075
SACKS PE	4	0.075
SAIGAL R	4	0.075
SETHNA PR	4	0.075
SHEN JH	4	0.075
SHENG WC	4	0.075
SHIPMAN SP	4	0.075
SIVAZLIAN BD	4	0.075
SMITH KT	4	0.075
SMITH WR	4	0.075
SOLER J	4	0.075
SPANIER J	4	0.075
SPRINGER MD	4	0.075
STEINRUCK H	4	0.075
STEVENS A	4	0.075
STEWARTSON K	4	0.075
STONE LD	4	0.075
SWICK KE	4	0.075
TERMAN D	4	0.075
TESDALL AM	4	0.075
TSAI JC	4	0.075
TSOKOS CP	4	0.075
UHLMANN G	4	0.075
VALENT G	4	0.075
VAN LEEUWAARDEN JSH	4	0.075
VANHARTEN A	4	0.075
WAGNER B	4	0.075
WANG H	4	0.075
WANG Q	4	0.075
WANG WD	4	0.075
WARD JF	4	0.075
WAZWAZ AM	4	0.075
WEISENBORN AJ	4	0.075
WITSENHAUSEN HS	4	0.075
WOLLKIND DJ	4	0.075
WOO EJ	4	0.075
WOYCZYNSKI WA	4	0.075
XIAO DM	4	0.075
ZEMLYANOVA AY	4	0.075
ZHANG Q	4	0.075
ZOU XF	4	0.075
AFTALION A	3	0.057
AKERS B	3	0.057
ALEXANDER JC	3	0.057
ALI G	3	0.057
ALLWRIGHT DJ	3	0.057
AMBROSI D	3	0.057
AN LJ	3	0.057
ANDERSON BDO	3	0.057
ANDERSON DF	3	0.057
ANDERSON WN	3	0.057
ANGELL JS	3	0.057
ANTIPOV YA	3	0.057
ARAMINI R	3	0.057
ARINO O	3	0.057
ARMBRUSTER D	3	0.057
ARNOLD BC	3	0.057
ARONSON DG	3	0.057
ATKINSON C	3	0.057
AUBERT G	3	0.057
AVELLANEDA M	3	0.057
BABICH VM	3	0.057
BAGARELLO F	3	0.057
BAGINSKI F	3	0.057
BAKER CR	3	0.057
BALAS E	3	0.057
BALMFORTH NJ	3	0.057
BARSHINGER RN	3	0.057
BEBERNES JW	3	0.057
BECUS GA	3	0.057
BENNETTS LG	3	0.057
BENSON DC	3	0.057
BERETTA E	3	0.057
BERGER N	3	0.057
BERLYAND L	3	0.057
BERMAN A	3	0.057
BHATTACHARYA RN	3	0.057
BIGELOW JH	3	0.057
BILLINGHAM J	3	0.057
BISCARI P	3	0.057
BLOCH AM	3	0.057
BLUMAN GW	3	0.057
BLYTH MG	3	0.057
BONNETIER E	3	0.057
BOSLEY DL	3	0.057
BOURLAND FJ	3	0.057
BOWMAN VJ	3	0.057
BOYCE WE	3	0.057
BRAGG LR	3	0.057
BRAUN RJ	3	0.057
BRIDGES TJ	3	0.057
BROWN PN	3	0.057
BURGER R	3	0.057
CAGINALP G	3	0.057
CAMPBELL SL	3	0.057
CAPDEBOSCQ Y	3	0.057
CARLSON D	3	0.057
CARPIO A	3	0.057
CARRIER GF	3	0.057
CASTILLOCHAVEZ C	3	0.057
CHADAM J	3	0.057
CHAMPNEYS AR	3	0.057
CHAN CY	3	0.057
CHANDLER-WILDE SN	3	0.057
CHANDNA OP	3	0.057
CHANG HC	3	0.057
CHEN WK	3	0.057
CHENG XL	3	0.057
CHIOU KL	3	0.057
CHOKSI R	3	0.057
CHOW SN	3	0.057
CHRISTOFIDES N	3	0.057
CLINE RE	3	0.057
CLOUET JF	3	0.057
COGAN NG	3	0.057
CONCA C	3	0.057
CONSUL PC	3	0.057
COOKE KL	3	0.057
COOMBS D	3	0.057
COZZARELLI FA	3	0.057
CRAUSTE F	3	0.057
CROWDY D	3	0.057
CUMMINGS PT	3	0.057
DADFAR MB	3	0.057
DAI HH	3	0.057
DARIPA P	3	0.057
DELFOUR MC	3	0.057
DHIA ASBB	3	0.057
DIEHL S	3	0.057
DROSKE M	3	0.057
DUCHATEAU P	3	0.057
EHRENMARK UT	3	0.057
ELSTON TC	3	0.057
ENGQUIST B	3	0.057
ENGSTROM C	3	0.057
EVANS JD	3	0.057
EVJE S	3	0.057
FARIDANI A	3	0.057
FAUGERAS O	3	0.057
FENDELL FE	3	0.057
FENG Z	3	0.057
FEROE JA	3	0.057
FIFE PC	3	0.057
FIGUEIREDO IN	3	0.057
FIKIORIS G	3	0.057
FISTER KR	3	0.057
FITT AD	3	0.057
FLATTEN T	3	0.057
FOGELSON AL	3	0.057
FOKAS AS	3	0.057
FORBES LK	3	0.057
FORD RM	3	0.057
FOSTER JM	3	0.057
FOX BL	3	0.057
FRADKIN LJ	3	0.057
FRANK M	3	0.057
FRISCH IT	3	0.057
GALAKTIONOV VA	3	0.057
GAMBA IM	3	0.057
GARCIA-CERVERA CJ	3	0.057
GARON A	3	0.057
GASSER I	3	0.057
GAVER DP	3	0.057
GHAZARYAN A	3	0.057
GILL A	3	0.057
GILSINN DE	3	0.057
GOLOMB SW	3	0.057
GOLUBITSKY M	3	0.057
GOOD IJ	3	0.057
GOSSE L	3	0.057
GOTTLICH S	3	0.057
GRIFFITHS IM	3	0.057
GRINOLD RC	3	0.057
GROSS LK	3	0.057
GRUNBAUM FA	3	0.057
GUPTA RP	3	0.057
GUPTA VK	3	0.057
HALFIN S	3	0.057
