Authors	records	% of 664
AMOUYEL P	4	0.602
ARMSTRONG PW	4	0.602
ALTMAN DG	3	0.452
BERTRAND ME	3	0.452
CALIFF RM	3	0.452
CARROLI G	3	0.452
COLEMAN PG	3	0.452
COPAS AJ	3	0.452
ERENS B	3	0.452
JOHNSON AM	3	0.452
KAPP C	3	0.452
KOROVESSIS C	3	0.452
LUMBIGANON P	3	0.452
MACDOWALL W	3	0.452
MCCARTHY M	3	0.452
MCMANUS S	3	0.452
MERCER CH	3	0.452
NANCHAHAL K	3	0.452
PIAGGIO G	3	0.452
TOPOL EJ	3	0.452
VILLAR J	3	0.452
WILL RG	3	0.452
YUSUF S	3	0.452
ALONSO P	2	0.301
ANONYMOUS	2	0.301
ASKLING J	2	0.301
BELANGER F	2	0.301
BENHAMOU Y	2	0.301
BERAL V	2	0.301
BERRY A	2	0.301
BODE C	2	0.301
BOUSSER MG	2	0.301
BOYLE P	2	0.301
BRADBURY J	2	0.301
BRAUNWALD E	2	0.301
BREITHARDT G	2	0.301
BUSH A	2	0.301
CLEMENT C	2	0.301
COLE TJ	2	0.301
CUSTOVIC A	2	0.301
DAVIS S	2	0.301
DE ANGELIS C	2	0.301
DE FAIRE U	2	0.301
DE SWIET M	2	0.301
EKBOM A	2	0.301
ELBOURNE D	2	0.301
ELLERTSON C	2	0.301
ELUL B	2	0.301
ENG C	2	0.301
EVANS DGR	2	0.301
FARNOT U	2	0.301
FENTON KA	2	0.301
FERRARI MD	2	0.301
FEVRE EM	2	0.301
FIELD J	2	0.301
FISCHER A	2	0.301
FRANKLYN JA	2	0.301
FUCHS GJ	2	0.301
GEBSKI VJ	2	0.301
GOADSBY PJ	2	0.301
GUTZWILLER F	2	0.301
HANSSON L	2	0.301
HART CA	2	0.301
HIGGS R	2	0.301
HUMPHRIES SE	2	0.301
INCE C	2	0.301
IRONSIDE JW	2	0.301
ITO S	2	0.301
JONES R	2	0.301
KASTELEIN JJP	2	0.301
KENYON SL	2	0.301
KOREN G	2	0.301
LARKIN M	2	0.301
LEHTO S	2	0.301
LEMAIRE F	2	0.301
LICHTENSTEIN P	2	0.301
LIEBERMAN BA	2	0.301
LINCOFF AM	2	0.301
LUCAS A	2	0.301
MACKIE RM	2	0.301
MACMAHON S	2	0.301
MALTERUD K	2	0.301
MANNS MP	2	0.301
MARSH K	2	0.301
MARTINEZ E	2	0.301
MCKENNA WJ	2	0.301
MCMURRAY CT	2	0.301
MENENDEZ C	2	0.301
MOLLER TR	2	0.301
MOORE P	2	0.301
MSHINDA H	2	0.301
MUGFORD M	2	0.301
MULVIHILL JJ	2	0.301
NATHAN N	2	0.301
ODIIT M	2	0.301
OGILVIE CM	2	0.301
OHMAN EM	2	0.301
PELL JP	2	0.301
PEREZ I	2	0.301
PETO R	2	0.301
PINOL A	2	0.301
PLOWE CV	2	0.301
POYNARD T	2	0.301
PUKKALA E	2	0.301
REECE WHH	2	0.301
ROBERTS I	2	0.301
ROBINSON A	2	0.301
ROON KI	2	0.301
ROSEN B	2	0.301
ROSSI M	2	0.301
SAJI H	2	0.301
SCHERER J	2	0.301
SCHLONDORFF D	2	0.301
SCHULZ KF	2	0.301
SHARPE N	2	0.301
SHEPPARD MC	2	0.301
SIDI D	2	0.301
SIMES J	2	0.301
SIMES RJ	2	0.301
SINGER PA	2	0.301
SINGHAL A	2	0.301
SMITH PG	2	0.301
STAESSEN JA	2	0.301
STEWART PM	2	0.301
STIELL IG	2	0.301
STRACHAN D	2	0.301
TANNER M	2	0.301
TARNOW-MORDI W	2	0.301
TAYLOR DJ	2	0.301
THIJS L	2	0.301
THOMPSON JR	2	0.301
VAHANIAN A	2	0.301
VAN DE WERF F	2	0.301
VLIETINCK R	2	0.301
WADE A	2	0.301
WALLENTIN L	2	0.301
WALLIS C	2	0.301
WELBURN SC	2	0.301
WELLINGS K	2	0.301
WELLS GA	2	0.301
WILCOX RG	2	0.301
WINIKOFF B	2	0.301
WOODCOCK A	2	0.301
WOOLHOUSE MEJ	2	0.301
YAMASHITA S	2	0.301
ZAMBON MC	2	0.301
AALTO AM	1	0.151
AASLAND O	1	0.151
AASTVEIT AH	1	0.151
ABARCA N	1	0.151
ABBAL M	1	0.151
ABBS SJ	1	0.151
ABDEL-ALEEM H	1	0.151
ABDEL-LATIF ME	1	0.151
ABDULLA S	1	0.151
ABROUG F	1	0.151
ABU-MAREE M	1	0.151
ACCATTOLI P	1	0.151
ACHARA S	1	0.151
ADAM C	1	0.151
ADAM Z	1	0.151
ADAMS J	1	0.151
ADETORO L	1	0.151
ADEYEMI B	1	0.151
ADGY AAJ	1	0.151
ADJEI O	1	0.151
AGBAMU DA	1	0.151
AGERHOLM-LARSEN B	1	0.151
AGGARWAL A	1	0.151
AGGOUN Y	1	0.151
AGNETA A	1	0.151
AGOVINO T	1	0.151
AGRE P	1	0.151
AGUZZI A	1	0.151
AHLBOM A	1	0.151
AHMAD K	1	0.151
AHMAD SR	1	0.151
AHMED T	1	0.151
AHRENS MB	1	0.151
AIRAKSINEN J	1	0.151
AIRIO A	1	0.151
AL KHUSAIBY S	1	0.151
AL-MAZROU Y	1	0.151
AL-NAKIB L	1	0.151
AL-SANOURI I	1	0.151
ALAMOWITCH S	1	0.151
ALASPAA A	1	0.151
ALBERINO S	1	0.151
ALBRECHT JK	1	0.151
ALDRIDGE H	1	0.151
ALEXANDER GJ	1	0.151
ALEXOPOULOS A	1	0.151
ALGOTSSON L	1	0.151
ALGRA A	1	0.151
ALI B	1	0.151
ALI S	1	0.151
ALIGIANIS IA	1	0.151
ALLAHABADIA A	1	0.151
ALLARD N	1	0.151
ALLEMANN U	1	0.151
ALLEN M	1	0.151
ALLI C	1	0.151
ALLOUECHE A	1	0.151
ALLSOP J	1	0.151
ALLSOP JM	1	0.151
ALLSOPP L	1	0.151
ALMAN B	1	0.151
ALMEIDA C	1	0.151
ALMEIDA LMR	1	0.151
ALMELA M	1	0.151
ALMOND J	1	0.151
ALVES B	1	0.151
ALVES EP	1	0.151
ALVES VAF	1	0.151
AMANN W	1	0.151
AMAR M	1	0.151
AMATO RJ	1	0.151
AMBARDEKAR S	1	0.151
AMBROSIO GB	1	0.151
AMER-WAHLIN I	1	0.151
AMESS J	1	0.151
AMIT O	1	0.151
AMMANN P	1	0.151
AMOROSO U	1	0.151
ANAND P	1	0.151
