Authors	records	% of 11785
WILLIAMS R	40	0.339
RAJU TNK	38	0.322
PETO R	31	0.263
WHITE NJ	31	0.263
YUSUF S	23	0.195
COLLINS R	22	0.187
HAMPTON JR	22	0.187
WARRELL DA	22	0.187
WEATHERALL DJ	22	0.187
ADAMI HO	21	0.178
BERAL V	21	0.178
BOTTAZZO GF	20	0.170
TEDDER RS	20	0.170
BLOOM SR	19	0.161
CAMPBELL S	18	0.153
GREENWOOD BM	18	0.153
RODECK CH	18	0.153
SMITH GD	18	0.153
TOGNONI G	18	0.153
WILL RG	18	0.153
MARMOT MG	17	0.144
REMUZZI G	17	0.144
SMITH A	17	0.144
CAMM AJ	16	0.136
COOMBES RC	16	0.136
VANDENBROUCKE JP	16	0.136
BARNES PJ	15	0.127
GALE RP	15	0.127
GOLDHIRSCH A	15	0.127
JICK H	15	0.127
LOOAREESUWAN S	15	0.127
MEADE TW	15	0.127
NICHOLSON KG	15	0.127
WEISS RA	15	0.127
WHITTLE HC	15	0.127
ALBERTI KGMM	14	0.119
GAZET JC	14	0.119
HENNEKENS CH	14	0.119
MACGREGOR GA	14	0.119
QUINN TC	14	0.119
ROWE B	14	0.119
SLEIGHT P	14	0.119
TUOMILEHTO J	14	0.119
WARLOW CP	14	0.119
BIGGAR RJ	13	0.110
BULLER HR	13	0.110
CUZICK J	13	0.110
FENTIMAN IS	13	0.110
GALLO RC	13	0.110
GAZZARD B	13	0.110
HOFFBRAND AV	13	0.110
JULIAN DG	13	0.110
MACMAHON S	13	0.110
MARSH K	13	0.110
MCPHERSON K	13	0.110
SMITH PG	13	0.110
STARZL TE	13	0.110
TOPOL EJ	13	0.110
VANGIJN J	13	0.110
ANDERSON J	12	0.102
CALIFF RM	12	0.102
GASBARRINI G	12	0.102
HALL AJ	12	0.102
HODSON ME	12	0.102
HOFMAN A	12	0.102
HOWELL A	12	0.102
MARSDEN CD	12	0.102
MCMASTER P	12	0.102
MELBYE M	12	0.102
MILLER E	12	0.102
NICOLAIDES KH	12	0.102
PECKHAM CS	12	0.102
PELTOLA H	12	0.102
PETO J	12	0.102
POLAK JM	12	0.102
PRENTICE HG	12	0.102
ALTMAN DG	11	0.093
BRODIE MJ	11	0.093
EKBOM A	11	0.093
FISCHER A	11	0.093
GOLDMAN JM	11	0.093
GRAY R	11	0.093
GRIFFITHS PD	11	0.093
HARRIS AL	11	0.093
HORTON R	11	0.093
IRONSIDE JW	11	0.093
KAMM MA	11	0.093
KUMAR S	11	0.093
LEVINE MM	11	0.093
MOXON ER	11	0.093
MURRAY RM	11	0.093
PALMER SR	11	0.093
PETERS TJ	11	0.093
PIKE MC	11	0.093
PRESCOTT RJ	11	0.093
ROBERTS CJ	11	0.093
ROSE G	11	0.093
SANDERCOCK P	11	0.093
SERJEANT GR	11	0.093
SHANN F	11	0.093
SHORVON SD	11	0.093
STAMPFER MJ	11	0.093
STEEL CM	11	0.093
THOMAS HC	11	0.093
TRICHOPOULOS D	11	0.093
TURNER RC	11	0.093
WARLOW C	11	0.093
WILLIAMS G	11	0.093
AXON ATR	10	0.085
BARKER DJP	10	0.085
BLATTNER WA	10	0.085
BOYLE P	10	0.085
BRAUNWALD E	10	0.085
BROWN MJ	10	0.085
CALNE RY	10	0.085
COOPER DA	10	0.085
CUNNINGHAM D	10	0.085
EDDLESTON ALWF	10	0.085
FARLEY TMM	10	0.085
FARTHING MJG	10	0.085
GELBER RD	10	0.085
GENT M	10	0.085
GOEDERT JJ	10	0.085
GRANT A	10	0.085
HARDCASTLE JD	10	0.085
HAUTVAST JGAJ	10	0.085
HERMANS J	10	0.085
LEVIN M	10	0.085
LOWE GDO	10	0.085
LUCAS A	10	0.085
MARTYN CN	10	0.085
MCELWAIN TJ	10	0.085
MEIRIK O	10	0.085
OSMOND C	10	0.085
PEPYS MB	10	0.085
PETO TEA	10	0.085
PHILLIPS RE	10	0.085
POCOCK SJ	10	0.085
POWLES RL	10	0.085
POWLES TJ	10	0.085
PUI CH	10	0.085
ROSENDAAL FR	10	0.085
ROSNER B	10	0.085
SHAPER AG	10	0.085
SIMMONDS P	10	0.085
SIMOONS ML	10	0.085
STEWART PM	10	0.085
THOMPSON SG	10	0.085
VESSEY MP	10	0.085
WALD NJ	10	0.085
WALKER M	10	0.085
WALLENTIN L	10	0.085
WELLER IVD	10	0.085
WHITEHEAD RG	10	0.085
WILLETT WC	10	0.085
ZEIDLER M	10	0.085
AMOUYEL P	9	0.076
BANATVALA JE	9	0.076
BERGSTROM R	9	0.076
BLAND JM	9	0.076
BRIET E	9	0.076
BRITTON J	9	0.076
BROCK DJH	9	0.076
COLLINGE J	9	0.076
DIAZ R	9	0.076
DOLL R	9	0.076
ELBOURNE D	9	0.076
ELDER GH	9	0.076
FAGARD R	9	0.076
FORREST APM	9	0.076
FOWKES FGR	9	0.076
FOX K	9	0.076
GLUCKMAN E	9	0.076
GOLDSTONE AH	9	0.076
HANSSON L	9	0.076
HOFFMAN SL	9	0.076
JOHNSON AM	9	0.076
KOREN G	9	0.076
LEVY JA	9	0.076
LEWIS B	9	0.076
