Authors	records	% of 2962
ZHANG J	31	1.047
KIM H	30	1.013
ABE K	27	0.912
HOCKER A	25	0.844
KUZNETSOVA N	25	0.844
WU J	25	0.844
YU Z	25	0.844
OLSEN J	24	0.810
BAILEY S	23	0.777
ABE T	22	0.743
KIM HJ	21	0.709
LI J	21	0.709
MORII M	21	0.709
TANAKA M	21	0.709
WATANABE Y	21	0.709
BANERJEE S	20	0.675
BEST D	20	0.675
MACRI M	20	0.675
MATSUMOTO T	20	0.675
ASTON D	19	0.641
BAND HR	19	0.641
BAUER JM	19	0.641
BLAYLOCK G	19	0.641
BROWN CM	19	0.641
BROWN D	19	0.641
BUGG W	19	0.641
BUZZO A	19	0.641
CALCATERRA A	19	0.641
CHEN JC	19	0.641
COLBERG T	19	0.641
CONVERY MR	19	0.641
DE SANGRO R	19	0.641
DUNWOODIE W	19	0.641
ESCHENBURG V	19	0.641
FALCIAI D	19	0.641
FREY R	19	0.641
HERTZBACH SS	19	0.641
IWASAKI M	19	0.641
IZEN JM	19	0.641
JOHNSON JR	19	0.641
KANG JH	19	0.641
KIM P	19	0.641
LO VETERE M	19	0.641
LOU XC	19	0.641
MANCINELLI G	19	0.641
MANDELKERN M	19	0.641
MCKEMEY AK	19	0.641
MESSNER R	19	0.641
MOORE TB	19	0.641
NAUENBERG U	19	0.641
NEAL H	19	0.641
NICHOLSON H	19	0.641
PANVINI RS	19	0.641
PATRIGNANI C	19	0.641
PETERS K	19	0.641
PICCOLO M	19	0.641
PIEMONTESE L	19	0.641
PREPOST R	19	0.641
QI ND	19	0.641
RATCLIFF BN	19	0.641
REIDY J	19	0.641
ROBUTTI E	19	0.641
RONG G	19	0.641
SANTRONI A	19	0.641
SCHALK T	19	0.641
SCHUMM BA	19	0.641
SCHWIENING J	19	0.641
SINEV NB	19	0.641
STAENGLE H	19	0.641
SU D	19	0.641
TORRENCE E	19	0.641
VA'VRA J	19	0.641
WANG P	19	0.641
WEIDEMANN AW	19	0.641
WILLOCQ S	19	0.641
WILSON RJ	19	0.641
WISNIEWSKI WJ	19	0.641
YAMAMOTO RK	19	0.641
YANG S	19	0.641
YOUNG CC	19	0.641
ZHU YS	19	0.641
ABRAMS GS	18	0.608
ADYE T	18	0.608
ALBERT J	18	0.608
ALEKSAN R	18	0.608
ALLISON J	18	0.608
ALTENBURG D	18	0.608
ANGELINI C	18	0.608
ANULLI F	18	0.608
AUBERT B	18	0.608
BACK JJ	18	0.608
BALDINI-FERROLI R	18	0.608
BARLOW NR	18	0.608
BARLOW RJ	18	0.608
BARTOLDUS R	18	0.608
BATIGNANI G	18	0.608
BELLINI F	18	0.608
BENAYOUN M	18	0.608
BERGER N	18	0.608
BERINGER J	18	0.608
BERNARD D	18	0.608
BERRYHILL JW	18	0.608
BETTARINI S	18	0.608
BEVAN AJ	18	0.608
BHIMJI W	18	0.608
BIANCHI F	18	0.608
BLINOV VE	18	0.608
BLOOM P	18	0.608
BONA M	18	0.608
BONDIOLI M	18	0.608
BONNEAUD GR	18	0.608
BOREAN C	18	0.608
BORGLAND AW	18	0.608
BOSISIO L	18	0.608
BOUTIGNY D	18	0.608
BOWERMAN DA	18	0.608
BOYARSKI AM	18	0.608
BOYD JT	18	0.608
BOZZI C	18	0.608
BRANDT T	18	0.608
BRAU B	18	0.608
BRAU J	18	0.608
BREON AB	18	0.608
BRIAND H	18	0.608
BRIGLJEVIC V	18	0.608
BROCHARD F	18	0.608
BROSE J	18	0.608
BROWN DN	18	0.608
BUCCI F	18	0.608
BUCHANAN C	18	0.608
BUKIN AD	18	0.608
BURCHAT PR	18	0.608
BUTTON-SHAFER J	18	0.608
CAHN RN	18	0.608
CALDERINI G	18	0.608
CAMPAGNARI C	18	0.608
CARPINELLI M	18	0.608
CARTARO C	18	0.608
CAVALLO N	18	0.608
CAVOTO G	18	0.608
CHAO M	18	0.608
CHARLES E	18	0.608
CHAUVEAU J	18	0.608
CHEN E	18	0.608
CHENG CH	18	0.608
CHEVALIER N	18	0.608
CHRIST S	18	0.608
CLARK PJ	18	0.608
COCHRAN J	18	0.608
COHEN-TANUGI J	18	0.608
COLECCHIA F	18	0.608
CONTRI R	18	0.608
COTTINGHAM WN	18	0.608
COUPAL DP	18	0.608
COWAN G	18	0.608
COWAN R	18	0.608
CRAWLEY HB	18	0.608
CREMALDI L	18	0.608
CROSETTI G	18	0.608
DAHMES B	18	0.608
DALLAPICCOLA C	18	0.608
DASU S	18	0.608
DATTA M	18	0.608
DAUNCEY PD	18	0.608
DAVID P	18	0.608
DAVIER M	18	0.608
DAVIS CL	18	0.608
DE GROOT N	18	0.608
DE LA VAISSIERE C	18	0.608
DE MONCHENAULT GH	18	0.608
DEL RE D	18	0.608
DELLA RICCA G	18	0.608
DICKOPP M	18	0.608
DITTONGO S	18	0.608
DONG D	18	0.608
DORFAN J	18	0.608
DORIGO A	18	0.608
DUBITZKY RS	18	0.608
DUBOIS-FELSMANN GP	18	0.608
DVORETSKII A	18	0.608
EGEDE U	18	0.608
EICHENBAUM AM	18	0.608
EIGEN G	18	0.608
EISNER AM	18	0.608
ELMER P	18	0.608
EMERY S	18	0.608
ESCHRICH I	18	0.608
FABOZZI F	18	0.608
FACCINI R	18	0.608
FARBIN A	18	0.608
FERRAROTTO F	18	0.608
FERRONI F	18	0.608
FIELD RC	18	0.608
FINOCCHIARO G	18	0.608
FLAECHER HU	18	0.608
FLOOD KT	18	0.608
FORD WT	18	0.608
FORTI AC	18	0.608
FORTI F	18	0.608
FORTIN D	18	0.608
FRANEK B	18	0.608
FRY JR	18	0.608
GABATHULER E	18	0.608
GABRIEL TA	18	0.608
GAIDOT A	18	0.608
GAILLARD JM	18	0.608
GALEAZZI F	18	0.608
GAMBA D	18	0.608
GAMET R	18	0.608
GATTO C	18	0.608
GEDDES NI	18	0.608
GEORGE S	18	0.608
GILL MS	18	0.608
GIORGI MA	18	0.608
GIRAUD PF	18	0.608
GLADNEY L	18	0.608
GLANZMAN T	18	0.608
GOETZEN K	18	0.608
GOLUBEV VB	18	0.608
GOPAL GP	18	0.608
GOWDY SJ	18	0.608
GREEN MG	18	0.608
GRENIER GJ	18	0.608
GRITSAN AV	18	0.608
GROSDIDIER G	18	0.608
GROYSMAN Y	18	0.608
GUO QH	18	0.608
HADIG T	18	0.608
HAIRE M	18	0.608
HALYO V	18	0.608
HAMON O	18	0.608
HARRISON PF	18	0.608
HARRISON TJ	18	0.608
HART PA	18	0.608
HARTON JL	18	0.608
HAST C	18	0.608
HAUKE A	18	0.608
HAWKES CM	18	0.608
HEARTY C	18	0.608
HEUSCH CA	18	0.608
HICHEUR A	18	0.608
HITLIN DG	18	0.608
HRYN'OVA T	18	0.608
HU H	18	0.608
INNES WR	18	0.608
IVANCHENKO VN	18	0.608
JACKSON F	18	0.608
JACKSON PD	18	0.608
JACOBSEN RG	18	0.608
JAWAHERY A	18	0.608
JAYATILLEKE S	18	0.608
JESSOP CP	18	0.608
JUDD D	18	0.608
KADEL RW	18	0.608
KADYK J	18	0.608
KARYOTAKIS Y	18	0.608
KAY M	18	0.608
KELSEY MH	18	0.608
KERTH LT	18	0.608
KHAN A	18	0.608
KIRKBY D	18	0.608
KITAYAMA I	18	0.608
KNOWLES DJ	18	0.608
KOCH H	18	0.608
KOCIAN ML	18	0.608
KOFLER R	18	0.608
KOLOMENSKY YG	18	0.608
KOPTCHEV VB	18	0.608
KOWALEWSKI R	18	0.608
KOZANECKI W	18	0.608
KRAL JF	18	0.608
KRAVCHENKO EA	18	0.608
KRISHNAMURTHY M	18	0.608
KROEGER R	18	0.608
KURUP A	18	0.608
LACKER HM	18	0.608
LAFFERTY GD	18	0.608
LAMSA J	18	0.608
LANCERI L	18	0.608
