Authors	records	% of 35810
AMIDEI D	155	0.433
BARNETT BA	146	0.408
WILSON R	145	0.405
BEHRENDS S	144	0.402
ERREDE S	140	0.391
HAUSER J	140	0.391
ALAM MS	139	0.388
POLING R	138	0.385
KASS R	137	0.383
TAKAHASHI T	137	0.383
BODEK A	136	0.380
KAGAN H	136	0.380
PLUNKETT R	136	0.380
CIHANGIR S	135	0.377
THORNDIKE EH	135	0.377
TIPTON P	135	0.377
SLIWA K	132	0.369
BINKLEY M	131	0.366
GLADNEY L	131	0.366
COOPER J	130	0.363
DEVLIN T	130	0.363
FOSTER GW	130	0.363
KONDO K	130	0.363
LOCKYER N	130	0.363
MONETI GC	130	0.363
STONE S	130	0.363
BEBEK C	129	0.360
BERETVAS A	129	0.360
CASTRO A	129	0.360
CSORNA SE	129	0.360
EHRLICH R	129	0.360
HARTILL DL	129	0.360
KREINICK DL	129	0.360
MISTRY NB	129	0.360
AVERY P	128	0.357
CASSEL DG	128	0.357
HANDLER R	128	0.357
NORDBERG E	128	0.357
PETERSON D	128	0.357
SADOFF AJ	128	0.357
BERKELMAN K	127	0.355
PONDROM L	127	0.355
WYSS J	127	0.355
KANDASWAMY J	126	0.352
SINERVO P	126	0.352
WILLIAMS HH	126	0.352
BORTOLETTO D	125	0.349
ELIAS JE	125	0.349
GIOKARIS N	125	0.349
GITTELMAN B	125	0.349
MATTHEWS JAJ	125	0.349
MORITA Y	125	0.349
ABE F	124	0.346
CARLSMITH D	124	0.346
GOULIANOS K	124	0.346
MIYASHITA S	124	0.346
YEH GP	124	0.346
BARNES VE	123	0.343
BELLETTINI G	123	0.343
BISELLO D	123	0.343
GOLDBERG M	123	0.343
HABER C	123	0.343
KINOSHITA K	123	0.343
KIRSCH L	123	0.343
LAASANEN AT	123	0.343
MUKHERJEE A	123	0.343
NODULMAN L	123	0.343
WEBB R	123	0.343
CAMPBELL M	122	0.341
FUKUI Y	122	0.341
GARFINKEL AF	122	0.341
GOLD M	122	0.341
KUBOTA Y	122	0.341
LORETI M	122	0.341
MAESHIMA K	122	0.341
PROUDFOOT J	122	0.341
SAKUMOTO WK	122	0.341
TAKIKAWA K	122	0.341
BARBAROGALTIERI A	121	0.338
BEDESCHI F	121	0.338
BELFORTE S	121	0.338
BLOCKER C	121	0.338
BYRUM KL	121	0.338
CHIARELLI G	121	0.338
CORDELLI M	121	0.338
DEMORTIER L	121	0.338
ELY R	121	0.338
FREEMAN J	121	0.338
HAHN SR	121	0.338
HARRIS RM	121	0.338
HOLLEBEEK R	121	0.338
JENSEN H	121	0.338
JOSHI U	121	0.338
KAMON T	121	0.338
KEPHART R	121	0.338
MISCETTI S	121	0.338
NAKANO I	121	0.338
PAOLETTI R	121	0.338
PATRICK J	121	0.338
PUNZI G	121	0.338
RAGAN K	121	0.338
RIMONDI F	121	0.338
RISTORI L	121	0.338
SCHLABACH P	121	0.338
SCHMIDT EE	121	0.338
SCRIBANO A	121	0.338
SEGLER S	121	0.338
SHOCHET M	121	0.338
THERIOT D	121	0.338
TOLLESTRUP A	121	0.338
WAGNER RL	121	0.338
WATTS T	121	0.338
YAMAMOTO H	121	0.338
YASUOKA K	121	0.338
ZETTI F	121	0.338
APOLLINARI G	120	0.335
BELLINGER J	120	0.335
CARITHERS W	120	0.335
CONTRERAS M	120	0.335
FLAUGHER B	120	0.335
GIANNETTI P	120	0.335
HELTSLEY BK	120	0.335
HUTH J	120	0.335
HYLEN J	120	0.335
MCINTYRE P	120	0.335
MENZIONE A	120	0.335
SANSONI A	120	0.335
SIEGRIST J	120	0.335
STEFANINI A	120	0.335
UKEGAWA F	120	0.335
WAGNER RG	120	0.335
YOH J	120	0.335
BENSINGER J	119	0.332
CHAPMAN J	119	0.332
FRANKLIN M	119	0.332
KUHLMANN SE	119	0.332
MISHINA M	119	0.332
PHILLIPS TJ	119	0.332
SNIDER FD	119	0.332
BERTOLUCCI S	118	0.330
GIROMINI P	117	0.327
VIDAL R	117	0.327
BARINGER P	116	0.324
HARA K	116	0.324
WEINSTEIN AJ	116	0.324
BRANDENBURG G	115	0.321
DEJONGH F	115	0.321
GRAY SW	115	0.321
SHAW NM	115	0.321
ATAC M	114	0.318
BERGE JP	114	0.318
BUDD HS	114	0.318
LISS TM	114	0.318
MILLER DH	114	0.318
BACCHETTA N	113	0.316
BESSON D	113	0.316
GEER S	113	0.316
SMITH JG	113	0.316
WOLINSKI J	113	0.316
CLARK AG	112	0.313
FORD WT	112	0.313
HOLLOWAY L	112	0.313
LAMOUREUX JI	112	0.313
NELSON C	112	0.313
SEIYA Y	112	0.313
TIMKO M	112	0.313
TKACZYK S	112	0.313
WANG CH	112	0.313
DERWENT PF	111	0.310
HUGHES R	111	0.310
INCAGLI M	111	0.310
KUNS E	111	0.310
MANGANO M	111	0.310
WESTER WC	111	0.310
WICKLUND AB	111	0.310
YAGIL A	111	0.310
BAUMANN T	110	0.307
BEAN A	110	0.307
HUFFMAN BT	110	0.307
KONIGSBERG J	110	0.307
MARRINER JP	110	0.307
PAPADIMITRIOU V	110	0.307
PAULETTA G	110	0.307
LEWIS JD	109	0.304
PESCARA L	109	0.304
WICKLUND E	109	0.304
WINER BL	109	0.304
ENO S	108	0.302
KOVACS E	108	0.302
RILEY D	108	0.302
SKUBIC P	108	0.302
ZANETTI A	108	0.302
ZUCCHELLI S	108	0.302
BUSETTO G	107	0.299
KESTEN P	107	0.299
KIM YK	107	0.299
LEONE S	107	0.299
FRISCH H	106	0.296
GAN KK	106	0.296
LUKENS P	106	0.296
MARIOTTI M	106	0.296
SHIBATA EI	106	0.296
TURINI N	106	0.296
VEJCIK S	106	0.296
BAILEY MW	105	0.293
EIGEN G	105	0.293
GERDES DW	105	0.293
TARTARELLI F	105	0.293
WENZEL H	105	0.293
GRASSMANN H	104	0.290
HU P	104	0.290
KOPP S	104	0.290
NG CR	104	0.290
WILSON P	104	0.290
BENJAMIN D	103	0.288
CANER A	103	0.288
EINSWEILER K	103	0.288
MORRISON RJ	103	0.288
WANG J	103	0.288
BROWDER TE	102	0.285
PTOHOS F	102	0.285
ROBERTSON WJ	102	0.285
SPHICAS P	102	0.285
STROYNOWSKI R	102	0.285
CERVELLI F	101	0.282
DICKSON M	101	0.282
EISENSTEIN BI	101	0.282
RODRIGO T	101	0.282
BOSWELL C	100	0.279
GROSSOPILCHER C	100	0.279
MULLER T	100	0.279
BAUER G	99	0.276
COBAL M	99	0.276
KIM SH	99	0.276
SILL A	99	0.276
JESSOP CP	98	0.274
KARLINER I	98	0.274
KEUTELIAN H	98	0.274
NEWMANHOLMES C	98	0.274
TETHER S	98	0.274
KADEL RW	97	0.271
OGG M	97	0.271
SEIDEL S	97	0.271
DRELL PS	96	0.268
HORWITZ N	96	0.268
KATO Y	96	0.268
LAMMEL S	96	0.268
LINDGREN M	96	0.268
PERL ML	96	0.268
SHIPSEY IPJ	96	0.268
BARTELT J	95	0.265
DELLORSO M	95	0.265
ERREDE D	95	0.265
MUELLER J	95	0.265
SKWARNICKI T	95	0.265
STANCO L	95	0.265
SUMOROK K	95	0.265
WU X	95	0.265
YOSHIDA T	95	0.265
ARTUSO M	94	0.262
COPPAGE D	94	0.262
SCHELLMAN H	94	0.262
SKARHA J	94	0.262
TSENG J	94	0.262
BIERY K	93	0.260
CAMPAGNARI C	93	0.260
KIM SB	93	0.260
KORDAS K	93	0.260
MESCHI E	93	0.260
PARA A	93	0.260
WARBURTON A	93	0.260
YELTON J	93	0.260
LIMON P	92	0.257
LUCCHESI D	92	0.257
NEUBERGER D	92	0.257
PATTERSON JR	92	0.257
HARRAL B	91	0.254
AMMAR R	90	0.251
DAVIS R	90	0.251
GOSHAW AT	90	0.251
LEE J	90	0.251
MIAO T	90	0.251
WITHERELL MS	90	0.251
CRANE D	89	0.249
HANS RM	89	0.249
MARKELOFF R	89	0.249
MATTINGLY R	89	0.249
YUN JC	89	0.249
DEBARBARO P	88	0.246
ROSENSON L	88	0.246
SCHMIDT MP	88	0.246
TITOV A	88	0.246
ALEXANDER JP	87	0.243
BLAIR RE	87	0.243
DELLAGNELLO S	87	0.243
HUSTON J	87	0.243
KASHA H	87	0.243
MARTIN A	87	0.243
NELSON HN	87	0.243
OKUSAWA T	87	0.243
ERNST J	86	0.240
NEMATI B	86	0.240
RICHMAN JD	86	0.240
THUN R	86	0.240
ENGELS E	85	0.237
KWAK N	85	0.237
URHEIM J	85	0.237
BOLOGNESI V	84	0.235
HAWK C	84	0.235
HONSCHEID K	84	0.235
KANEKO T	84	0.235
KATAYAMA N	84	0.235
MELESE P	84	0.235
MILLER R	84	0.235
SELEN M	84	0.235
SINGH P	84	0.235
KENNEDY RD	83	0.232
KIM PC	83	0.232
LECOMPTE T	83	0.232
PARK S	83	0.232
PIACENTINO G	83	0.232
SALTZBERG D	83	0.232
STEELE J	83	0.232
SULLIVAN G	83	0.232
TERAMOTO Y	83	0.232
MILLER JS	82	0.229
YAO W	82	0.229
ZOELLER MM	82	0.229
BHATTI A	81	0.226
BURKETT K	81	0.226
DENINNO M	81	0.226
DONATI S	81	0.226
FAN Q	81	0.226
GROER L	81	0.226
INCANDELA J	81	0.226
KOEHN P	81	0.226
LINGEL K	81	0.226
OISHI R	81	0.226
PAGLIARONE C	81	0.226
PARK H	81	0.226
SCHRENK S	81	0.226
SHEPARD PF	81	0.226
SHIMOJIMA M	81	0.226
SPALDING J	81	0.226
YU I	81	0.226
BUCKLEYGEER E	80	0.223
BYONWAGNER A	80	0.223
DANIELS T	80	0.223
FIORI I	80	0.223
FRIEDMAN J	80	0.223
GALLINARO M	80	0.223
GORDON A	80	0.223
HEINRICH J	80	0.223
JAIN V	80	0.223
LOHNER M	80	0.223
LONG O	80	0.223
PETERS MD	80	0.223
PILLAI M	80	0.223
STUART D	80	0.223
CINABRO D	79	0.221
CLARK AR	79	0.221
FUJINO D	79	0.221
HAMILTON R	79	0.221
KESTENBAUM D	79	0.221
KEUP RM	79	0.221
OH SH	79	0.221
ROBERTS S	79	0.221
SAVINOV V	79	0.221
SEVERINI H	79	0.221
WENDT C	79	0.221
WILKINSON R	79	0.221
WURTHWEIN F	79	0.221
AUCHINCLOSS P	78	0.218
GRONBERG J	78	0.218
KAJFASZ E	78	0.218
KOWALD W	78	0.218
MASEK G	78	0.218
RANKIN P	78	0.218
SCARPINE V	78	0.218
SPIEGEL L	78	0.218
CONWAY J	77	0.215
KIM HS	77	0.215
KROLL J	77	0.215
STRAIT J	77	0.215
SUN CR	77	0.215
THALER JJ	77	0.215
ZHANG W	77	0.215
ALBROW MG	76	0.212
GALEOTTI S	76	0.212
GUIDA JA	76	0.212
GUIDA JM	76	0.212
KRUSE M	76	0.212
MAKSIMOVIC P	76	0.212
MICHAIL G	76	0.212
PARTRIDGE R	76	0.212
PITTS KT	76	0.212
ROSS WR	76	0.212
STEVENSON ML	76	0.212
WATTS G	76	0.212
YEH P	76	0.212
ANTOS J	75	0.209
CHENG MT	75	0.209
FRAUTSCHI M	75	0.209
GOLLIN GD	75	0.209
HAUPTMAN JM	75	0.209
SHAPIRO M	75	0.209
TAYLOR W	75	0.209
TOLLEFSON K	75	0.209
WANG MJ	75	0.209
ATHANAS M	74	0.207
BROMBERG C	74	0.207
CHAN S	74	0.207
HONG S	74	0.207
KEEBLE L	74	0.207
LIU YC	74	0.207
NEMETHY P	74	0.207
PAULINI M	74	0.207
TENG PK	74	0.207
THOMAS TL	74	0.207
BADGETT W	73	0.204
BOKHARI W	73	0.204
COFFMAN DM	73	0.204
DAHL OI	73	0.204
FAST J	73	0.204
HAUGER SA	73	0.204
JONES CD	73	0.204
KRASBERG M	73	0.204
LOKEN SC	73	0.204
MADARAS RJ	73	0.204
PAAR HP	73	0.204
SHAPIRO MD	73	0.204
WANG G	73	0.204
BENLLOCH J	72	0.201
KIM IJ	72	0.201
KOSKA W	72	0.201
LAMI S	72	0.201
NELSON TK	72	0.201
OGRADY C	72	0.201
PATTON S	72	0.201
SMITH A	72	0.201
SONG T	72	0.201
WOOD DR	72	0.201
CHADHA M	71	0.198
GONZALEZ J	71	0.198
JUNG CK	71	0.198
SGANOS G	71	0.198
SUNG M	71	0.198
TONNISON J	71	0.198
YE Y	71	0.198
GARCIASCIVERES M	70	0.195
LI J	70	0.195
LYS J	70	0.195
OGAWA S	70	0.195
SMITH DA	70	0.195
TRISCHUK W	70	0.195
KIM SK	69	0.193
MIKAMO S	69	0.193
WANG C	69	0.193
WANG R	69	0.193
AIHARA H	68	0.190
BARISH B	68	0.190
CHAO HY	68	0.190
FULTON R	68	0.190
MILLER M	68	0.190
SATO H	68	0.190
YOSEF C	68	0.190
AMENDOLIA SR	67	0.187
AZFAR F	67	0.187
BADEN AR	67	0.187
FELDMAN GJ	67	0.187
HOUK G	67	0.187
HURST P	67	0.187
JAROS JA	67	0.187
KIM DH	67	0.187
KWON Y	67	0.187
MIMASHI T	67	0.187
MORROW F	67	0.187
WOLF A	67	0.187
DENBY B	66	0.184
HADLEY NJ	66	0.184
IKEDA H	66	0.184
KARDELIS DA	66	0.184
LOOMIS C	66	0.184
PIPKIN FM	66	0.184
SCHAMBERGER RD	66	0.184
TUTS PM	66	0.184
WESTHUSING T	66	0.184
CEN Y	65	0.182
CHIOU CN	65	0.182
COUYOUMTZELIS C	65	0.182
DITTMANN JR	65	0.182
DUNN A	65	0.182
HE D	65	0.182
JAMES E	65	0.182
KALBFLEISCH G	65	0.182
LUDWIG GS	65	0.182
MIAO C	65	0.182
NINOMIYA M	65	0.182
LIU Y	64	0.179
OHSUGI T	64	0.179
SHEN Q	64	0.179
WEI C	64	0.179
CHRISTOFEK L	63	0.176
CRAWFORD G	63	0.176
DRUCKER RB	63	0.176
EDWARDS KW	63	0.176
LUSIN S	63	0.176
MASUI J	63	0.176
PERTICONE D	63	0.176
WHITE JT	63	0.176
ZHANG L	63	0.176
BLOOM K	62	0.173
DEMINA R	62	0.173
FISK HE	62	0.173
GIDAL G	62	0.173
GREEN J	62	0.173
HANCOCK N	62	0.173
KOLTICK D	62	0.173
MEVISSEN J	62	0.173
PATEL PM	62	0.173
STANLEY HE	62	0.173
VUCINIC D	62	0.173
YU J	62	0.173
ABE K	61	0.170
BENTON D	61	0.170
BURKE DL	61	0.170
CHADWICK K	61	0.170
CHO HA	61	0.170
COOPER WE	61	0.170
KUNORI S	61	0.170
LOBKOWICZ F	61	0.170
MCILWAIN RL	61	0.170
MENARY S	61	0.170
QUINTAS PZ	61	0.170
VOLOBOUEV I	61	0.170
AKIMOTO H	60	0.168
BALEST R	60	0.168
BERGFELD T	60	0.168
BUTLER F	60	0.168
CULBERTSON R	60	0.168
GAY C	60	0.168
LOW EH	60	0.168
MARUYAMA T	60	0.168
MOUNTAIN R	60	0.168
PALMER M	60	0.168
YOVANOVITCH D	60	0.168
BAO J	59	0.165
BRIERE RA	59	0.165
BUCHHOLZ D	59	0.165
CHEN W	59	0.165
FISK Z	59	0.165
GLENN S	59	0.165
GOBBI B	59	0.165
JOHNSON M	59	0.165
KUTSCHKE R	59	0.165
MAAS P	59	0.165
MANSOUR J	59	0.165
OTT E	59	0.165
PIEKARZ H	59	0.165
ROBERTS D	59	0.165
ROMANO J	59	0.165
ROSER R	59	0.165
RYD A	59	0.165
SUZUKI J	59	0.165
YASUDA T	59	0.165
BORCHERDING F	58	0.162
CHIKAMATSU T	58	0.162
FUNAKI S	58	0.162
GREEN DR	58	0.162
HOFTUN JS	58	0.162
ISO H	58	0.162
KEYVAN F	58	0.162
LUCHINI CB	58	0.162
LYON AL	58	0.162
MAGHAKIAN A	58	0.162
MAO HS	58	0.162
OHL KE	58	0.162
ONEILL JJ	58	0.162
PANVINI RS	58	0.162
PAPPAS SP	58	0.162
PFEIFFER LN	58	0.162
SNOW J	58	0.162
UEMURA N	58	0.162
WEST KW	58	0.162
YIN M	58	0.162
ADAMS DL	57	0.159
CHO K	57	0.159
DORFAN JM	57	0.159
ELIA R	57	0.159
FERBEL T	57	0.159
GOLDHABER G	57	0.159
HANSON G	57	0.159
HU T	57	0.159
INNES WR	57	0.159
IWAI J	57	0.159
KADYK JA	57	0.159
LANKFORD AJ	57	0.159
LATTERY M	57	0.159
MITSUSHIO H	57	0.159
MOULDING S	57	0.159
NAKADA H	57	0.159
PADLEY P	57	0.159
