Authors	records	% of 58820
GALLO RC	69	0.117
PETERS R	57	0.097
SIKORSKI R	57	0.097
SNYDER SH	47	0.080
BARUS C	46	0.078
AXELROD J	44	0.075
KANDEL ER	44	0.075
EISNER T	43	0.073
SHAPIRO II	43	0.073
VOGELSTEIN B	43	0.073
MAO HK	42	0.071
WONGSTAAL F	38	0.065
EWING M	37	0.063
VEVERKA J	37	0.063
AARONSON SA	36	0.061
JOHNSON TV	36	0.061
WURTMAN RJ	35	0.060
SCHULTZ PG	34	0.058
LIBBY WF	33	0.056
OSBORN HF	33	0.056
SAGAN C	33	0.056
BALTIMORE D	32	0.054
NAKAMURA Y	32	0.054
WHITESIDES GM	32	0.054
WYCKOFF RWG	32	0.054
ANDERS E	31	0.053
INGERSOLL AP	31	0.053
KINZLER KW	31	0.053
LIEBER CM	31	0.053
POLLACK JB	31	0.053
SCHUBERT G	31	0.053
THORNDIKE EL	31	0.053
LERNER RA	30	0.051
GREENGARD P	29	0.049
SQUYRES SW	29	0.049
BROECKER WS	28	0.048
HEMLEY RJ	28	0.048
LEFKOWITZ RJ	28	0.048
SMITH DE	28	0.048
VENTER JC	28	0.048
BLOOM FE	27	0.046
DELUCA HF	27	0.046
TJIAN R	27	0.046
BELL JF	26	0.044
DAVIES ME	26	0.044
GREELEY R	26	0.044
SODERBLOM LA	26	0.044
ARVIDSON RE	25	0.043
CAMPBELL DB	25	0.043
CECH TR	25	0.043
COHEN J	25	0.043
EMILIANI C	25	0.043
HAMMOND AL	25	0.043
HEAD JW	25	0.043
HOOD L	25	0.043
JOHN ER	25	0.043
LOEB J	25	0.043
NICOLL RA	25	0.043
RUBIN M	25	0.043
WILSON IA	25	0.043
ANDERSON JD	24	0.041
BROWN AM	24	0.041
BROWN RH	24	0.041
BUSECK PR	24	0.041
CASTLE WE	24	0.041
DAVIS RW	24	0.041
ESSEX M	24	0.041
EVANS HM	24	0.041
FRASER CM	24	0.041
HUNTEN DM	24	0.041
