Authors	records	% of 809
SOLOMON SC	11	1.360
HEAD JW	9	1.112
MURCHIE SL	7	0.865
MCNUTT RL	6	0.742
ELLEDGE SJ	5	0.618
MCCLINTOCK WE	5	0.618
BLEWETT DT	4	0.494
KRIMIGIS SM	4	0.494
LI L	4	0.494
MCCOY TJ	4	0.494
PHILLIPS RJ	4	0.494
ROBINSON MS	4	0.494
SLAVIN JA	4	0.494
WATTERS TR	4	0.494
ZUBER MT	4	0.494
ANTONELLI LA	3	0.371
BASTIERI D	3	0.371
CHAPMAN CR	3	0.371
CHEN J	3	0.371
COVINO S	3	0.371
DE ANGELIS A	3	0.371
DOMINGUE DL	3	0.371
DORNER R	3	0.371
HANNON GJ	3	0.371
JOUGHIN I	3	0.371
KASPI VM	3	0.371
KILLEN RM	3	0.371
KINZLER KW	3	0.371
LI W	3	0.371
LONGO F	3	0.371
PAPADOPOULOS N	3	0.371
PROCKTER LM	3	0.371
ROBBINS TW	3	0.371
SCHWILLE P	3	0.371
SPRAGUE AL	3	0.371
STROM RG	3	0.371
TORRES DF	3	0.371
VELCULESCU VE	3	0.371
VITALE V	3	0.371
VOGELSTEIN B	3	0.371
WANG Y	3	0.371
YAMADA T	3	0.371
YAMANAKA S	3	0.371
ZHAO J	3	0.371
ABE M	2	0.247
ACHTERBERG RK	2	0.247
ACUNA MH	2	0.247
ALEXANDER MH	2	0.247
ALIU E	2	0.247
ALLSHIRE RC	2	0.247
ALM EJ	2	0.247
ANDERHUB H	2	0.247
ANDERSON BJ	2	0.247
ANGENENDT P	2	0.247
ANTORANZ P	2	0.247
AOKI K	2	0.247
AWSCHALOM DD	2	0.247
BACKES M	2	0.247
BAIXERAS C	2	0.247
BARRIO JA	2	0.247
BARTKO H	2	0.247
BAUER ED	2	0.247
BECKER JK	2	0.247
BEDNAREK W	2	0.247
BEHN MD	2	0.247
BENFEY PN	2	0.247
BENKOVIC SJ	2	0.247
BERGER K	2	0.247
BERK AJ	2	0.247
BERNARDINI E	2	0.247
BESENBACHER F	2	0.247
BIANCHI AD	2	0.247
BICCARI D	2	0.247
BIGONGIARI C	2	0.247
BILAND A	2	0.247
BISHOP JL	2	0.247
BLOCH I	2	0.247
BOCK RK	2	0.247
BONNOLI G	2	0.247
BORDAS P	2	0.247
BOSCH-RAMON V	2	0.247
BOULOUFA N	2	0.247
BOURGES P	2	0.247
BOWEN KH	2	0.247
BRETZ T	2	0.247
BRITVITCH I	2	0.247
BROWNING ND	2	0.247
CAMARA M	2	0.247
CAMILO F	2	0.247
CARMONA E	2	0.247
CARTER H	2	0.247
CHANG K	2	0.247
CHANG Y	2	0.247
CHENG H	2	0.247
CHILINGARIAN A	2	0.247
COATES AJ	2	0.247
COCKE CL	2	0.247
COMMICHAU S	2	0.247
CONTRERAS JL	2	0.247
CORTINA J	2	0.247
COSTADO MT	2	0.247
CREAGER KC	2	0.247
CURTEF V	2	0.247
DAMSTE JSS	2	0.247
DAS SB	2	0.247
DAVIS RJ	2	0.247
DAZZI F	2	0.247
DE LOS REYES R	2	0.247
DE LOTTO B	2	0.247
DE MARIA M	2	0.247
DE MIRANDA MHG	2	0.247
DE SABATA F	2	0.247
DEL POZO EDC	2	0.247
DEPAOLO DJ	2	0.247
DES MARAIS DJ	2	0.247
DI BILIO AJ	2	0.247
DIAZ J	2	0.247
DIDDAMS SA	2	0.247
DOMINGUEZ A	2	0.247
DORNER D	2	0.247
DORO M	2	0.247
DOSCH H	2	0.247
DOUGHERTY MK	2	0.247
DULIEU O	2	0.247
DURR S	2	0.247
EDWARDS RL	2	0.247
EHLMANN BL	2	0.247
ELKINS-TANTON L	2	0.247
ERRANDO M	2	0.247
FAGIOLINI M	2	0.247
FERENC D	2	0.247
FERNANDEZ E	2	0.247
FIRPO R	2	0.247
FLASAR FM	2	0.247
FLETCHER LN	2	0.247
FONSECA MV	2	0.247
FONT L	2	0.247
FORTIER TM	2	0.247
FUJIWARA H	2	0.247
GACHTER S	2	0.247
GALANTE N	2	0.247
GARCZARCZYK M	2	0.247
GARNIER P	2	0.247
GAUG M	2	0.247
GEIM AK	2	0.247
GERMAIN RN	2	0.247
GILBERT MTP	2	0.247
GLOECKLER G	2	0.247
GOEBEL F	2	0.247
GOOD TC	2	0.247
GOSSARD AC	2	0.247
GOTHERSTROM A	2	0.247
GRAY HB	2	0.247
GYGI SP	2	0.247
HAMMER RE	2	0.247
HANSEN JO	2	0.247
HARTIGAN J	2	0.247
HATTORI T	2	0.247
HAYASHIDA M	2	0.247
HELGASON A	2	0.247
HERRERO A	2	0.247
HIGHAM TFG	2	0.247
HOHNE D	2	0.247
HOLSCLAW GM	2	0.247
HOLT A	2	0.247
HOLT JW	2	0.247
HORWITZ GA	2	0.247
HOSE J	2	0.247
HOWAT IM	2	0.247
HSU CC	2	0.247
HUBER S	2	0.247
ICHISAKA T	2	0.247
IZENBERG NR	2	0.247
JANDA KD	2	0.247
JIANG B	2	0.247
JIANG L	2	0.247
JOGLER T	2	0.247
JONES S	2	0.247
KAPPEL CV	2	0.247
KAPTEYN HC	2	0.247
KARCHIN R	2	0.247
KATAGIRI H	2	0.247
KAUFMANN GF	2	0.247
KEIMER B	2	0.247
KENZELMANN M	2	0.247
KING MA	2	0.247
KIRK RL	2	0.247
KNOLL AH	2	0.247
KOEBERL C	2	0.247
KORTH H	2	0.247
KRAMER M	2	0.247
KRANICH D	2	0.247
KROGAN NJ	2	0.247
KUHN RJ	2	0.247
KURDISTANI SK	2	0.247
LA BARBERA A	2	0.247
LAEGSGAARD E	2	0.247
